Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
12_11_bartomeus_spain_2008_Niebla_unp,observed,1,2,46,0.0736,1,1,0.07313195548489666
12_11_bartomeus_spain_2008_Niebla_unp,observed,2,3,15,0.024,0.19230769230769232,1,0.0029809220985691576
12_11_bartomeus_spain_2008_Niebla_unp,observed,3,3,63,0.1008,0.8076923076923077,1,0.005564387917329093
12_11_bartomeus_spain_2008_Niebla_unp,observed,4,4,60,0.096,0.3973509933774834,1,4.542357483533954e-4
12_11_bartomeus_spain_2008_Niebla_unp,observed,5,4,81,0.1296,0.5364238410596026,1,8.942766295707473e-4
12_11_bartomeus_spain_2008_Niebla_unp,observed,6,4,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,observed,7,4,10,0.016,0.06622516556291391,1,3.97456279809221e-4
12_11_bartomeus_spain_2008_Niebla_unp,observed,8,5,37,0.0592,0.10571428571428572,1,3.295435821387378e-5
12_11_bartomeus_spain_2008_Niebla_unp,observed,9,5,103,0.1648,0.29428571428571426,0.49047619047619045,9.747142100083276e-5
12_11_bartomeus_spain_2008_Niebla_unp,observed,10,5,107,0.1712,0.3057142857142857,0.5095238095238095,1.0125671890377773e-4
12_11_bartomeus_spain_2008_Niebla_unp,observed,11,5,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,observed,12,5,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,observed,13,5,84,0.1344,0.24,0.8571428571428571,1.8547959724430312e-4
12_11_bartomeus_spain_2008_Niebla_unp,observed,14,5,14,0.0224,0.04,0.14285714285714285,3.0913266207383855e-5
12_11_bartomeus_spain_2008_Niebla_unp,observed,15,5,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,observed,16,5,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,observed,17,5,5,0.008,0.014285714285714285,1,5.6779468544174426e-5
12_11_bartomeus_spain_2008_Niebla_unp,random 1,1,2,46,0.13855421686746988,1,1,0.07313195548489666
12_11_bartomeus_spain_2008_Niebla_unp,random 1,2,3,10,0.030120481927710843,0.14492753623188406,1,0.001987281399046105
12_11_bartomeus_spain_2008_Niebla_unp,random 1,3,3,59,0.17771084337349397,0.855072463768116,1,0.005211093446387564
12_11_bartomeus_spain_2008_Niebla_unp,random 1,4,4,50,0.15060240963855423,0.5263157894736842,1,3.785297902944962e-4
12_11_bartomeus_spain_2008_Niebla_unp,random 1,5,4,44,0.13253012048192772,0.4631578947368421,1,4.857798975446034e-4
12_11_bartomeus_spain_2008_Niebla_unp,random 1,6,4,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,random 1,7,4,1,0.0030120481927710845,0.010526315789473684,1,3.97456279809221e-5
12_11_bartomeus_spain_2008_Niebla_unp,random 1,8,5,27,0.08132530120481928,0.22131147540983606,1,2.4047774912826817e-5
12_11_bartomeus_spain_2008_Niebla_unp,random 1,9,5,47,0.14156626506024098,0.38524590163934425,0.5802469135802469,4.44772503596033e-5
12_11_bartomeus_spain_2008_Niebla_unp,random 1,10,5,34,0.10240963855421686,0.2786885245901639,0.41975308641975306,3.217503217503217e-5
12_11_bartomeus_spain_2008_Niebla_unp,random 1,11,5,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,random 1,12,5,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,random 1,13,5,7,0.02108433734939759,0.05737704918032787,0.5,1.5456633103691928e-5
12_11_bartomeus_spain_2008_Niebla_unp,random 1,14,5,7,0.02108433734939759,0.05737704918032787,0.5,1.5456633103691928e-5
12_11_bartomeus_spain_2008_Niebla_unp,random 1,15,5,0,0,0,0,0
12_11_bartomeus_spain_2008_Niebla_unp,random 1,16,5,0,0,0,0,0
