Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
12_3_bartomeus_spain_2008_Bonares_unp,observed,1,2,34,0.04479578392621871,1,1,0.1452991452991453
12_3_bartomeus_spain_2008_Bonares_unp,observed,2,3,19,0.025032938076416336,0.25333333333333335,1,0.0202991452991453
12_3_bartomeus_spain_2008_Bonares_unp,observed,3,3,56,0.07378129117259552,0.7466666666666667,1,0.019145299145299145
12_3_bartomeus_spain_2008_Bonares_unp,observed,4,4,51,0.06719367588932806,0.288135593220339,1,0.0021794871794871794
12_3_bartomeus_spain_2008_Bonares_unp,observed,5,4,101,0.13306982872200263,0.5706214689265536,0.9619047619047619,0.008632478632478633
12_3_bartomeus_spain_2008_Bonares_unp,observed,6,4,4,0.005270092226613966,0.022598870056497175,0.0380952380952381,3.418803418803419e-4
12_3_bartomeus_spain_2008_Bonares_unp,observed,7,4,21,0.02766798418972332,0.11864406779661017,1,0.009615384615384616
12_3_bartomeus_spain_2008_Bonares_unp,observed,8,5,27,0.03557312252964427,0.05708245243128964,1,2.0066889632107025e-4
12_3_bartomeus_spain_2008_Bonares_unp,observed,9,5,108,0.1422924901185771,0.22832980972515857,0.4186046511627907,0.001153846153846154
12_3_bartomeus_spain_2008_Bonares_unp,observed,10,5,131,0.1725955204216074,0.2769556025369979,0.5077519379844961,0.0013995726495726495
12_3_bartomeus_spain_2008_Bonares_unp,observed,11,5,19,0.025032938076416336,0.040169133192389,0.07364341085271318,2.02991452991453e-4
12_3_bartomeus_spain_2008_Bonares_unp,observed,12,5,0,0,0,0,0
12_3_bartomeus_spain_2008_Bonares_unp,observed,13,5,157,0.20685111989459815,0.33192389006342493,0.9075144508670521,0.005750915750915751
12_3_bartomeus_spain_2008_Bonares_unp,observed,14,5,2,0.002635046113306983,0.004228329809725159,0.011560693641618497,7.326007326007326e-5
12_3_bartomeus_spain_2008_Bonares_unp,observed,15,5,13,0.017127799736495388,0.02748414376321353,0.07514450867052024,4.761904761904762e-4
12_3_bartomeus_spain_2008_Bonares_unp,observed,16,5,1,0.0013175230566534915,0.0021141649048625794,0.005780346820809248,3.663003663003663e-5
12_3_bartomeus_spain_2008_Bonares_unp,observed,17,5,15,0.019762845849802372,0.03171247357293869,1,0.004578754578754579
12_3_bartomeus_spain_2008_Bonares_unp,random 1,1,2,34,0.06551059730250482,1,1,0.1452991452991453
12_3_bartomeus_spain_2008_Bonares_unp,random 1,2,3,8,0.015414258188824663,0.11267605633802817,1,0.008547008547008548
12_3_bartomeus_spain_2008_Bonares_unp,random 1,3,3,63,0.12138728323699421,0.8873239436619719,1,0.021538461538461538
12_3_bartomeus_spain_2008_Bonares_unp,random 1,4,4,74,0.14258188824662812,0.556390977443609,1,0.0031623931623931626
12_3_bartomeus_spain_2008_Bonares_unp,random 1,5,4,59,0.11368015414258188,0.44360902255639095,1,0.0050427350427350425
12_3_bartomeus_spain_2008_Bonares_unp,random 1,6,4,0,0,0,0,0
12_3_bartomeus_spain_2008_Bonares_unp,random 1,7,4,0,0,0,NA,0
12_3_bartomeus_spain_2008_Bonares_unp,random 1,8,5,57,0.10982658959537572,0.20284697508896798,1,4.2363433667781496e-4
12_3_bartomeus_spain_2008_Bonares_unp,random 1,9,5,107,0.20616570327552985,0.3807829181494662,0.5023474178403756,0.0011431623931623931
12_3_bartomeus_spain_2008_Bonares_unp,random 1,10,5,106,0.20423892100192678,0.37722419928825623,0.49765258215962443,0.0011324786324786325
12_3_bartomeus_spain_2008_Bonares_unp,random 1,11,5,0,0,0,0,0
