Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
14_1_kaiser-bunbury_2010_mauritius_control,observed,1,2,493,2.435702156609226e-4,1,1,0.10799561883899234
14_1_kaiser-bunbury_2010_mauritius_control,observed,2,3,3332,0.0016461986989496837,0.44337990685296075,1,0.027033386069530648
14_1_kaiser-bunbury_2010_mauritius_control,observed,3,3,4183,0.0020666414038735077,0.5566200931470393,1,0.022349264018379503
14_1_kaiser-bunbury_2010_mauritius_control,observed,4,4,31331,0.015479307153899322,0.2535978501934502,1,0.006199916690660152
14_1_kaiser-bunbury_2010_mauritius_control,observed,5,4,61956,0.03060980990159862,0.5014812296634452,0.8744671841919548,0.012260126982430833
14_1_kaiser-bunbury_2010_mauritius_control,observed,6,4,8894,0.004394145026548165,0.07198938047366972,0.12553281580804518,0.0017599840109390507
14_1_kaiser-bunbury_2010_mauritius_control,observed,7,4,21365,0.010555532774027609,0.17293153966943486,1,0.0098116881476736
14_1_kaiser-bunbury_2010_mauritius_control,observed,8,5,198026,0.09783617753847841,0.10463708644054989,1,0.001959312984878662
14_1_kaiser-bunbury_2010_mauritius_control,observed,9,5,474217,0.23429033866141122,0.25057661731579817,0.5453170763681022,0.003475561292737858
14_1_kaiser-bunbury_2010_mauritius_control,observed,10,5,178112,0.08799752180892138,0.09411451395321434,0.20481660317128114,0.001305392200136489
14_1_kaiser-bunbury_2010_mauritius_control,observed,11,5,192744,0.09522656723600176,0.10184607369182506,0.22164240119500883,0.0014126308964197102
14_1_kaiser-bunbury_2010_mauritius_control,observed,12,5,24544,0.01212614071639287,0.012969067948637334,0.028223919265607734,1.7988426473314535e-4
14_1_kaiser-bunbury_2010_mauritius_control,observed,13,5,416718,0.20588254184541246,0.22019410273061654,0.5891955784669417,0.004667660307800251
14_1_kaiser-bunbury_2010_mauritius_control,observed,14,5,114870,0.05675235430622754,0.06069739387467286,0.16241414121419664,0.0012866594184964767
14_1_kaiser-bunbury_2010_mauritius_control,observed,15,5,151863,0.07502901351098314,0.08024452272995077,0.21471836621582263,0.0017010181881355485
