Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
5_1_fang_2008_china,observed,1,2,603,2.01681751547481e-4,1,1,0.08255750273822562
5_1_fang_2008_china,observed,2,3,5903,0.0019743405959946605,0.6645277496341326,1,0.018579018267427076
5_1_fang_2008_china,observed,3,3,2980,9.967025200853952e-4,0.33547225036586736,1,0.00995111265460957
5_1_fang_2008_china,observed,4,4,13073,0.004372446994992072,0.08198140007399836,1,0.001616839370292206
5_1_fang_2008_china,observed,5,4,73604,0.024617883318243435,0.4615741582686893,0.9208096679760802,0.005650248367120903
5_1_fang_2008_china,observed,6,4,6330,0.0021171566953491787,0.0396957287897506,0.07919033202391973,4.85925658440782e-4
5_1_fang_2008_china,observed,7,4,66456,0.022227135125770146,0.41674871286756177,1,0.00729637219139736
5_1_fang_2008_china,observed,8,5,52305,0.017494136011096176,0.018541888964908486,1,3.23448264603128e-4
5_1_fang_2008_china,observed,9,5,338855,0.11333477598776397,0.12012258455604752,0.5337274210721958,9.634213269612732e-4
5_1_fang_2008_china,observed,10,5,194190,0.06494955113267883,0.06883948796664906,0.3058668985200446,5.521145843579396e-4
5_1_fang_2008_china,observed,11,5,95075,0.031799158421852,0.033703663002364485,0.14975176567687956,2.703140949988728e-4
5_1_fang_2008_china,observed,12,5,6764,0.0022623140422340987,0.002397807799610764,0.010653914730879972,1.9231181052562458e-5
5_1_fang_2008_china,observed,13,5,926695,0.3099460543122602,0.32850923992612313,0.6514501469584418,0.002481565513329552
5_1_fang_2008_china,observed,14,5,262342,0.08774393708867208,0.09299906767674261,0.1844217724854149,7.02516858187323e-4
5_1_fang_2008_china,observed,15,5,211770,0.07082942707331684,0.07507151947421223,0.1488705535493223,5.670917926154768e-4
5_1_fang_2008_china,observed,16,5,21704,0.007259205199977658,0.007693971094434066,0.015257527006821037,5.812041491677909e-5
5_1_fang_2008_china,observed,17,5,711210,0.2378740937281658,0.25212076953890766,1,0.003674613802847858
5_1_fang_2008_china,random 1,1,2,603,3.49924473183773e-4,1,1,0.08255750273822562
5_1_fang_2008_china,random 1,2,3,4431,0.00257133555667877,0.6342685370741483,1,0.013946066397250444
5_1_fang_2008_china,random 1,3,3,2555,0.0014826816401070316,0.3657314629258517,1,0.00853191034648572
5_1_fang_2008_china,random 1,4,4,8191,0.0047532858372276695,0.07876567428263713,1,0.0010130445408141559
5_1_fang_2008_china,random 1,5,4,58040,0.03368095592634525,0.5581198553734903,0.9434943754470382,0.004455470018310109
5_1_fang_2008_china,random 1,6,4,3476,0.0020171433976563765,0.033425648126778985,0.05650562455296183,2.6683690185468534e-4
5_1_fang_2008_china,random 1,7,4,34285,0.019895788661866764,0.3296888222170936,1,0.0037642367970094274
5_1_fang_2008_china,random 1,8,5,21330,0.012377925394709582,0.013234899928520371,1,1.3190233216680468e-4
5_1_fang_2008_china,random 1,9,5,221202,0.12836483137180257,0.1372520550393138,0.496144374015907,6.289142092236725e-4
5_1_fang_2008_china,random 1,10,5,173235,0.10052929703481081,0.10748935251370026,0.3885569327250461,4.925360215317353e-4
5_1_fang_2008_china,random 1,11,5,49237,0.028572522862602708,0.030550715789055674,0.11043598404816056,1.3998900968140415e-4
5_1_fang_2008_china,random 1,12,5,2168,0.0012581032468696848,0.001345206893813041,0.004862709210886368,6.163985884381343e-6
5_1_fang_2008_china,random 1,13,5,553935,0.3214517629403869,0.3437071866809626,0.6156447690727791,0.0014833639899062855
5_1_fang_2008_china,random 1,14,5,232274,0.13478997858090827,0.14412204153760622,0.258149914866565,6.21998767710097e-4
5_1_fang_2008_china,random 1,15,5,106234,0.06164821970846591,0.06591637876260821,0.11806873802463758,2.844804717226829e-4
5_1_fang_2008_china,random 1,16,5,7321,0.0042484196818878975,0.004542555198157414,0.008136578036018334,1.960466078168723e-5
5_1_fang_2008_china,random 1,17,5,244712,0.14200782368449,0.15183960765626242,1,0.0012643552437711857
5_1_fang_2008_china,random 2,1,2,603,3.0880604215125656e-4,1,1,0.08255750273822562
5_1_fang_2008_china,random 2,2,3,4602,0.002356758550547401,0.6202156334231806,1,0.014484269365864713
5_1_fang_2008_china,random 2,3,3,2818,0.001443143327997083,0.3797843665768194,1,0.009410146127748244
5_1_fang_2008_china,random 2,4,4,11472,0.005874996543215946,0.0996066786486416,1,0.0014188312748406784
5_1_fang_2008_china,random 2,5,4,63553,0.0325465180710428,0.5518046764432636,0.9353044194910889,0.004878678257644079
5_1_fang_2008_china,random 2,6,4,4396,0.0022512626223829585,0.03816866800378561,0.0646955805089111,3.3746116816835354e-4
5_1_fang_2008_china,random 2,7,4,35752,0.0183091768142483,0.31041997690430917,1,0.003925302434495582
5_1_fang_2008_china,random 2,8,5,42663,0.021848411569318507,0.02331966464897791,1,2.6382321599776785e-4
5_1_fang_2008_china,random 2,9,5,300771,0.15402968839780365,0.16440191398021084,0.5402078779529751,8.551421579479987e-4
5_1_fang_2008_china,random 2,10,5,180735,0.0925573134796142,0.09879004266772197,0.3246139781489271,5.13859773438036e-4
5_1_fang_2008_china,random 2,11,5,71226,0.03647598533709022,0.0389322465435647,0.12792738101438839,2.025074071037572e-4
5_1_fang_2008_china,random 2,12,5,4037,0.002067412922329391,0.0022066307148565227,0.007250762883709402,1.1477864859431496e-5
5_1_fang_2008_china,random 2,13,5,580109,0.2970831912211,0.31708851557213336,0.595562048471695,0.0015534544681606063
5_1_fang_2008_china,random 2,14,5,255914,0.13105769398191822,0.13988300539058512,0.26273108342153867,6.853035322066256e-4
5_1_fang_2008_china,random 2,15,5,128312,0.06571064822638811,0.0701355462681868,0.13172999826498147,3.4360240871736814e-4
5_1_fang_2008_china,random 2,16,5,9718,0.00497674480534977,0.005311874482778223,0.00997686984178479,2.6023506826449463e-5
5_1_fang_2008_china,random 2,17,5,256001,0.1311022480875022,0.13993055973098456,1,0.0013226822009573184
5_1_fang_2008_china,random 3,1,2,603,3.137838534010163e-4,1,1,0.08255750273822562
5_1_fang_2008_china,random 3,2,3,4696,0.0024436633094049296,0.6433758049047815,1,0.014780123629313493
5_1_fang_2008_china,random 3,3,3,2603,0.0013545263190760288,0.35662419509521853,1,0.008692196724815002
5_1_fang_2008_china,random 3,4,4,8815,0.004587072417462618,0.07808278635522131,1,0.0010902194637134395
5_1_fang_2008_china,random 3,5,4,62100,0.03231505355920914,0.5500783928144349,0.9379814518321602,0.0047671379761726005
5_1_fang_2008_china,random 3,6,4,4106,0.0021366442820308007,0.036370722719743474,0.06201854816783977,3.1519917117817553e-4
5_1_fang_2008_china,random 3,7,4,37872,0.019707499330022037,0.3354680981106003,1,0.004158062592280619
5_1_fang_2008_china,random 3,8,5,24714,0.01286045464834613,0.013723062229650565,1,1.5282860933757203e-4
5_1_fang_2008_china,random 3,9,5,250932,0.13057779419838111,0.1393362244642986,0.5109715570325482,7.134415617802487e-4
5_1_fang_2008_china,random 3,10,5,175928,0.0915478702506368,0.09768839086906064,0.3582412928029192,5.001926700495576e-4
5_1_fang_2008_china,random 3,11,5,60985,0.03173483963459532,0.03386343570750343,0.12418344573681295,1.733905346674337e-4
5_1_fang_2008_china,random 3,12,5,3243,0.0016875639080920328,0.0018007562843229256,0.006603704427719676,9.220390324284455e-6
5_1_fang_2008_china,random 3,13,5,616325,0.32071780007857603,0.34222976162051405,0.613942901542017,0.0016504360819933593
5_1_fang_2008_china,random 3,14,5,248900,0.1295203998532553,0.13820790600307623,0.2479380005578356,6.665209764461073e-4
5_1_fang_2008_china,random 3,15,5,129060,0.06715911131000855,0.07166376998295307,0.1285611826114675,3.4560545287318044e-4
5_1_fang_2008_china,random 3,16,5,9595,0.004992961979075873,0.0053278620253094265,0.009557915288679922,2.5694129244678184e-5
5_1_fang_2008_china,random 3,17,5,281228,0.1463429610684262,0.15615883081331106,1,0.001453022722609774
5_1_fang_2008_china,random 4,1,2,603,3.347870382451163e-4,1,1,0.08255750273822562
5_1_fang_2008_china,random 4,2,3,4458,0.002475092232996233,0.6299279355659178,1,0.014031045813347433
5_1_fang_2008_china,random 4,3,3,2619,0.0014540750467064007,0.37007206443408225,1,0.00874562551759143
5_1_fang_2008_china,random 4,4,4,8964,0.004976834180479639,0.08333798181513917,1,0.0011086474501108647
5_1_fang_2008_china,random 4,5,4,60373,0.03351923359862754,0.5612855841282237,0.937672786009381,0.004634563945820748
5_1_fang_2008_china,random 4,6,4,4013,0.002228027171604729,0.037308714973689594,0.06232721399061908,3.08059979039946e-4
5_1_fang_2008_china,random 4,7,4,34212,0.018994584000732867,0.3180677190829475,1,0.0037562219425196592
5_1_fang_2008_china,random 4,8,5,25342,0.014069938844457276,0.015031707043643674,1,1.5671209103474752e-4
5_1_fang_2008_china,random 4,9,5,245671,0.1363971251620497,0.14572072058712748,0.5052817118669864,6.984836606097089e-4
5_1_fang_2008_china,random 4,10,5,176761,0.09813812880140133,0.10484648286407937,0.363551663286755,5.025610280946175e-4
5_1_fang_2008_china,random 4,11,5,60564,0.03362527725419109,0.03592377497400503,0.12456448501252555,1.7219356139376e-4
5_1_fang_2008_china,random 4,12,5,3210,0.0017821996563297236,0.001904024134247344,0.006602139833733027,9.12656581589673e-6
5_1_fang_2008_china,random 4,13,5,564976,0.31367602275219375,0.335117738090507,0.6059516633811609,0.0015129303141366653
5_1_fang_2008_china,random 4,14,5,238125,0.13220756796371197,0.14124478098680648,0.2553953439484844,6.376669647096397e-4
5_1_fang_2008_china,random 4,15,5,120291,0.06678585011201209,0.07135108010365958,0.12901527063058116,3.221232413727549e-4
5_1_fang_2008_china,random 4,16,5,8986,0.004989048632952927,0.005330081268020758,0.009637722039773568,2.4063308534932588e-5
5_1_fang_2008_china,random 4,17,5,241977,0.13434620755130763,0.14352960994790329,1,0.0012502242996748022
5_1_fang_2008_china,random 5,1,2,603,3.3284262505195493e-4,1,1,0.08255750273822562
5_1_fang_2008_china,random 5,2,3,4506,0.0024872120538708274,0.6245322245322246,1,0.014182120330853193
5_1_fang_2008_china,random 5,3,3,2709,0.0014953079125468423,0.3754677754677755,1,0.009046162476958833
5_1_fang_2008_china,random 5,4,4,9818,0.005419318230116241,0.09039433585298261,1,0.0012142682580531538
5_1_fang_2008_china,random 5,5,4,61432,0.03390910139666948,0.5656044856508889,0.9395427085723025,0.004715858617588328
5_1_fang_2008_china,random 5,6,4,3953,0.0021819683197850377,0.03639527496708497,0.060457291427697485,3.03454048628185e-4
5_1_fang_2008_china,random 5,7,4,33410,0.01844157894359173,0.3076059035290435,1,0.003668168335659471
5_1_fang_2008_china,random 5,8,5,29555,0.01631370445010038,0.01743415076130993,1,1.827648114013086e-4
5_1_fang_2008_china,random 5,9,5,266184,0.1469276638587555,0.1570188457536296,0.5219836571251523,7.56805543656902e-4
5_1_fang_2008_china,random 5,10,5,178366,0.09845407572142122,0.10521602891868742,0.349773603923545,5.071243110025658e-4
5_1_fang_2008_china,random 5,11,5,61899,0.03416687503829346,0.03651350018522495,0.12138320256811001,1.7598918923308153e-4
5_1_fang_2008_china,random 5,12,5,3498,0.0019308184119929326,0.0020634295165982788,0.006859536383192763,9.94539788909868e-6
5_1_fang_2008_china,random 5,13,5,549178,0.30313407486033583,0.3239537149989736,0.5927012372540386,0.0014706253788779444
5_1_fang_2008_china,random 5,14,5,255632,0.14110319390925596,0.1507943436784023,0.2758912459743915,6.845483738484184e-4
5_1_fang_2008_china,random 5,15,5,114339,0.06311259188360775,0.06744724628311338,0.12340054912321599,3.061845798548472e-4
5_1_fang_2008_china,random 5,16,5,7419,0.004095123441559625,0.004376381813505612,0.008006967648353925,1.9867091700496868e-5
5_1_fang_2008_china,random 5,17,5,229166,0.12649454894304527,0.13518235809055495,1,0.0011840336141834792
5_1_fang_2008_china,random 6,1,2,603,2.8243361287859804e-4,1,1,0.08255750273822562
5_1_fang_2008_china,random 6,2,3,4779,0.0022383917677393367,0.6387329591018445,1,0.015041356649167201
5_1_fang_2008_china,random 6,3,3,2703,0.0012660332597194868,0.3612670408981556,1,0.009026126679667673
5_1_fang_2008_china,random 6,4,4,10180,0.00476811638325726,0.08404471376913297,1,0.0012590396075556228
