Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
3_1_dupont_2009_denmark_hl,1,2,1,1,0
3_1_dupont_2009_denmark_hl,2,3,0.0016501650165016502,0.0045388247424862135,0.052
3_1_dupont_2009_denmark_hl,3,3,0.9983498349834984,0.9954611752575138,0.946
3_1_dupont_2009_denmark_hl,4,4,0.9881337648327939,0.9857895399055875,0.596
3_1_dupont_2009_denmark_hl,5,4,0.011866235167206042,0.014194732976357977,0.404
3_1_dupont_2009_denmark_hl,6,4,0,0,0
3_1_dupont_2009_denmark_hl,7,4,0,1.5727118054542603e-5,0
3_1_dupont_2009_denmark_hl,8,5,0.9443214172730149,0.9672965304511063,0.133
3_1_dupont_2009_denmark_hl,9,5,0.02699567647368976,0.027048722313312512,0.542
3_1_dupont_2009_denmark_hl,10,5,0.028682906253295372,0.0055178524885952426,0.979
3_1_dupont_2009_denmark_hl,11,5,0,0,0
3_1_dupont_2009_denmark_hl,12,5,0,0,0
3_1_dupont_2009_denmark_hl,13,5,0,8.39559908494455e-5,0
3_1_dupont_2009_denmark_hl,14,5,0,5.293875613645193e-5,0
3_1_dupont_2009_denmark_hl,15,5,0,0,0
3_1_dupont_2009_denmark_hl,16,5,0,0,0
3_1_dupont_2009_denmark_hl,17,5,0,0,0
