Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,1,5,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,2,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,3,3,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,4,4,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,5,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,6,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,7,2,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,8,2,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,9,3,Lizards
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,10,3,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,11,3,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,12,3,Lepidoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,13,4,Coleoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,14,4,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,15,4,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,16,4,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,17,5,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,18,5,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,1,4,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,1,5,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,2,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,2,5,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,3,3,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,3,5,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,4,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,4,3,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,5,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,5,4,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,6,3,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,6,4,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,7,2,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,7,5,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,8,2,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,8,4,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,9,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,9,4,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,10,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,10,3,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,11,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,11,5,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,12,4,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,12,5,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,13,3,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,13,4,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,14,3,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,14,5,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,15,3,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,15,4,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,16,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,16,3,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,17,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,17,4,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,1,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,1,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,2,2,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,2,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,3,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,3,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,4,2,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,4,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,5,2,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,5,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,6,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,6,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,7,2,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,7,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,8,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,8,2,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,9,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,9,2,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,10,2,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,10,2,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,11,3,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,11,3,Lizards
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,12,3,Lizards
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,12,3,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,13,3,Lepidoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,13,3,Lizards
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,14,3,Lizards
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,14,3,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,15,3,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,15,3,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,16,3,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,16,3,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,17,3,Lepidoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,17,3,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,18,3,Lepidoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,18,3,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,19,3,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,19,3,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,20,3,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,20,3,Lepidoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,21,4,Coleoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,21,4,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,22,4,Coleoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,22,4,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,23,4,Coleoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,23,4,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,24,4,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,24,4,Coleoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,25,4,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,25,4,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,26,4,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,26,4,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,27,4,Non-bee-Hymenoptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,27,4,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,28,4,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,28,4,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,29,4,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,29,4,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,30,4,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,30,4,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,31,5,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,31,5,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,32,5,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,32,5,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,33,5,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,33,5,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,1,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,1,2,Birds
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,1,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,2,2,Bee
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,2,2,Non-syrphids-diptera
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,2,2,Syrphids
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,3,2,Bee
