Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
15_3_peralta_2006_mendoza_site_3,1,2,1,3,Bee
15_3_peralta_2006_mendoza_site_3,1,2,2,2,Bee
15_3_peralta_2006_mendoza_site_3,1,2,3,2,Syrphids
15_3_peralta_2006_mendoza_site_3,1,2,4,2,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,1,2,5,2,Non-bee-Hymenoptera
15_3_peralta_2006_mendoza_site_3,1,2,6,3,Non-bee-Hymenoptera
15_3_peralta_2006_mendoza_site_3,1,2,7,3,Syrphids
15_3_peralta_2006_mendoza_site_3,1,2,8,3,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,1,2,9,3,Lepidoptera
15_3_peralta_2006_mendoza_site_3,1,2,10,3,Coleoptera
15_3_peralta_2006_mendoza_site_3,1,2,11,4,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,1,2,12,4,Syrphids
15_3_peralta_2006_mendoza_site_3,2,3,1,2,Bee
15_3_peralta_2006_mendoza_site_3,2,3,1,3,Bee
15_3_peralta_2006_mendoza_site_3,2,3,2,2,Non-bee-Hymenoptera
15_3_peralta_2006_mendoza_site_3,2,3,2,3,Non-bee-Hymenoptera
15_3_peralta_2006_mendoza_site_3,2,3,3,2,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,2,3,3,3,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,2,3,4,3,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,2,3,4,4,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,2,3,5,2,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,2,3,5,4,Non-syrphids-diptera
15_3_peralta_2006_mendoza_site_3,2,3,6,2,Syrphids
15_3_peralta_2006_mendoza_site_3,2,3,6,4,Syrphids
15_3_peralta_2006_mendoza_site_3,2,3,7,3,Syrphids
15_3_peralta_2006_mendoza_site_3,2,3,7,4,Syrphids
15_3_peralta_2006_mendoza_site_3,2,3,8,2,Syrphids
15_3_peralta_2006_mendoza_site_3,2,3,8,3,Syrphids
15_3_peralta_2006_mendoza_site_3,3,3,1,2,Bee
15_3_peralta_2006_mendoza_site_3,3,3,1,2,Syrphids
