Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
3_1_dupont_2009_denmark_hl,1,2,1,5,Bee
3_1_dupont_2009_denmark_hl,1,2,2,1,Bee
3_1_dupont_2009_denmark_hl,1,2,3,2,Bee
3_1_dupont_2009_denmark_hl,1,2,4,4,Bee
3_1_dupont_2009_denmark_hl,1,2,5,1,Syrphids
3_1_dupont_2009_denmark_hl,1,2,6,1,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,1,2,7,1,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,1,2,8,1,Coleoptera
3_1_dupont_2009_denmark_hl,1,2,9,1,Lepidoptera
3_1_dupont_2009_denmark_hl,1,2,10,2,Lepidoptera
3_1_dupont_2009_denmark_hl,1,2,11,2,Syrphids
3_1_dupont_2009_denmark_hl,1,2,12,2,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,1,2,13,2,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,1,2,14,2,Coleoptera
3_1_dupont_2009_denmark_hl,1,2,15,4,Coleoptera
3_1_dupont_2009_denmark_hl,1,2,16,4,Lepidoptera
3_1_dupont_2009_denmark_hl,1,2,17,4,Syrphids
3_1_dupont_2009_denmark_hl,1,2,18,4,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,1,2,19,5,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,1,2,20,5,Syrphids
3_1_dupont_2009_denmark_hl,1,2,21,3,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,1,4,Bee
3_1_dupont_2009_denmark_hl,2,3,1,5,Bee
3_1_dupont_2009_denmark_hl,2,3,2,1,Bee
3_1_dupont_2009_denmark_hl,2,3,2,5,Bee
3_1_dupont_2009_denmark_hl,2,3,3,2,Bee
3_1_dupont_2009_denmark_hl,2,3,3,5,Bee
3_1_dupont_2009_denmark_hl,2,3,4,1,Bee
3_1_dupont_2009_denmark_hl,2,3,4,2,Bee
3_1_dupont_2009_denmark_hl,2,3,5,1,Bee
3_1_dupont_2009_denmark_hl,2,3,5,4,Bee
3_1_dupont_2009_denmark_hl,2,3,6,2,Bee
3_1_dupont_2009_denmark_hl,2,3,6,4,Bee
3_1_dupont_2009_denmark_hl,2,3,7,2,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,7,3,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,8,1,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,8,3,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,9,4,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,9,3,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,10,2,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,10,4,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,11,1,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,11,2,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,12,1,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,12,4,Coleoptera
3_1_dupont_2009_denmark_hl,2,3,13,1,Lepidoptera
3_1_dupont_2009_denmark_hl,2,3,13,2,Lepidoptera
3_1_dupont_2009_denmark_hl,2,3,14,1,Lepidoptera
3_1_dupont_2009_denmark_hl,2,3,14,4,Lepidoptera
3_1_dupont_2009_denmark_hl,2,3,15,2,Lepidoptera
3_1_dupont_2009_denmark_hl,2,3,15,4,Lepidoptera
3_1_dupont_2009_denmark_hl,2,3,16,1,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,2,3,16,2,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,2,3,17,2,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,2,3,17,5,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,2,3,18,1,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,2,3,18,5,Non-bee-Hymenoptera
3_1_dupont_2009_denmark_hl,2,3,19,1,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,2,3,19,4,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,2,3,20,2,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,2,3,20,4,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,2,3,21,1,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,2,3,21,2,Non-syrphids-diptera
3_1_dupont_2009_denmark_hl,2,3,22,1,Syrphids
3_1_dupont_2009_denmark_hl,2,3,22,4,Syrphids
