Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
7_1_lundgren_2005_greenland,1,2,1,2,Lepidoptera
7_1_lundgren_2005_greenland,1,2,2,2,Non-syrphids-diptera
7_1_lundgren_2005_greenland,1,2,3,2,Other_insects
7_1_lundgren_2005_greenland,1,2,4,2,Syrphids
7_1_lundgren_2005_greenland,3,3,1,2,Lepidoptera
7_1_lundgren_2005_greenland,3,3,1,2,Syrphids
7_1_lundgren_2005_greenland,3,3,2,2,Lepidoptera
7_1_lundgren_2005_greenland,3,3,2,2,Non-syrphids-diptera
7_1_lundgren_2005_greenland,3,3,3,2,Lepidoptera
7_1_lundgren_2005_greenland,3,3,3,2,Other_insects
7_1_lundgren_2005_greenland,3,3,4,2,Non-syrphids-diptera
7_1_lundgren_2005_greenland,3,3,4,2,Other_insects
7_1_lundgren_2005_greenland,3,3,5,2,Non-syrphids-diptera
7_1_lundgren_2005_greenland,3,3,5,2,Syrphids
7_1_lundgren_2005_greenland,3,3,6,2,Other_insects
7_1_lundgren_2005_greenland,3,3,6,2,Syrphids
7_1_lundgren_2005_greenland,4,4,1,2,Lepidoptera
7_1_lundgren_2005_greenland,4,4,1,2,Other_insects
7_1_lundgren_2005_greenland,4,4,1,2,Syrphids
7_1_lundgren_2005_greenland,4,4,2,2,Lepidoptera
7_1_lundgren_2005_greenland,4,4,2,2,Non-syrphids-diptera
7_1_lundgren_2005_greenland,4,4,2,2,Syrphids
7_1_lundgren_2005_greenland,4,4,3,2,Lepidoptera
7_1_lundgren_2005_greenland,4,4,3,2,Non-syrphids-diptera
7_1_lundgren_2005_greenland,4,4,3,2,Other_insects
7_1_lundgren_2005_greenland,4,4,4,2,Non-syrphids-diptera
7_1_lundgren_2005_greenland,4,4,4,2,Other_insects
7_1_lundgren_2005_greenland,4,4,4,2,Syrphids
7_1_lundgren_2005_greenland,8,5,1,2,Lepidoptera
7_1_lundgren_2005_greenland,8,5,1,2,Non-syrphids-diptera
7_1_lundgren_2005_greenland,8,5,1,2,Other_insects
7_1_lundgren_2005_greenland,8,5,1,2,Syrphids
