Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
8_1_olesen_2002_azores,1,2,1,5,Bee
8_1_olesen_2002_azores,1,2,2,2,Bee
8_1_olesen_2002_azores,1,2,3,3,Bee
8_1_olesen_2002_azores,1,2,4,2,Non-syrphids-diptera
8_1_olesen_2002_azores,1,2,5,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,1,2,6,2,Lepidoptera
8_1_olesen_2002_azores,1,2,7,3,Lepidoptera
8_1_olesen_2002_azores,1,2,8,5,Lepidoptera
8_1_olesen_2002_azores,1,2,9,1,Non-syrphids-diptera
8_1_olesen_2002_azores,1,2,10,4,Non-syrphids-diptera
8_1_olesen_2002_azores,1,2,11,1,Syrphids
8_1_olesen_2002_azores,2,3,1,3,Bee
8_1_olesen_2002_azores,2,3,1,5,Bee
8_1_olesen_2002_azores,2,3,2,2,Bee
8_1_olesen_2002_azores,2,3,2,5,Bee
8_1_olesen_2002_azores,2,3,3,2,Bee
8_1_olesen_2002_azores,2,3,3,3,Bee
8_1_olesen_2002_azores,2,3,4,3,Lepidoptera
8_1_olesen_2002_azores,2,3,4,5,Lepidoptera
8_1_olesen_2002_azores,2,3,5,2,Lepidoptera
8_1_olesen_2002_azores,2,3,5,5,Lepidoptera
8_1_olesen_2002_azores,2,3,6,2,Lepidoptera
8_1_olesen_2002_azores,2,3,6,3,Lepidoptera
8_1_olesen_2002_azores,2,3,7,1,Non-syrphids-diptera
8_1_olesen_2002_azores,2,3,7,4,Non-syrphids-diptera
8_1_olesen_2002_azores,2,3,8,2,Non-syrphids-diptera
8_1_olesen_2002_azores,2,3,8,1,Non-syrphids-diptera
8_1_olesen_2002_azores,2,3,9,2,Non-syrphids-diptera
8_1_olesen_2002_azores,2,3,9,4,Non-syrphids-diptera
8_1_olesen_2002_azores,3,3,1,2,Lepidoptera
8_1_olesen_2002_azores,3,3,1,2,Non-syrphids-diptera
8_1_olesen_2002_azores,3,3,2,2,Bee
8_1_olesen_2002_azores,3,3,2,2,Non-syrphids-diptera
8_1_olesen_2002_azores,3,3,3,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,3,3,3,2,Non-syrphids-diptera
8_1_olesen_2002_azores,3,3,4,2,Lepidoptera
8_1_olesen_2002_azores,3,3,4,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,3,3,5,2,Bee
8_1_olesen_2002_azores,3,3,5,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,3,3,6,2,Bee
8_1_olesen_2002_azores,3,3,6,2,Lepidoptera
8_1_olesen_2002_azores,3,3,7,3,Bee
8_1_olesen_2002_azores,3,3,7,3,Lepidoptera
8_1_olesen_2002_azores,3,3,8,5,Bee
8_1_olesen_2002_azores,3,3,8,5,Lepidoptera
8_1_olesen_2002_azores,3,3,9,1,Non-syrphids-diptera
8_1_olesen_2002_azores,3,3,9,1,Syrphids
8_1_olesen_2002_azores,4,4,1,2,Bee
8_1_olesen_2002_azores,4,4,1,2,Lepidoptera
8_1_olesen_2002_azores,4,4,1,2,Non-syrphids-diptera
8_1_olesen_2002_azores,4,4,2,2,Lepidoptera
8_1_olesen_2002_azores,4,4,2,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,4,4,2,2,Non-syrphids-diptera
8_1_olesen_2002_azores,4,4,3,2,Bee
8_1_olesen_2002_azores,4,4,3,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,4,4,3,2,Non-syrphids-diptera
8_1_olesen_2002_azores,4,4,4,2,Bee
8_1_olesen_2002_azores,4,4,4,2,Lepidoptera
8_1_olesen_2002_azores,4,4,4,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,5,4,1,2,Bee
8_1_olesen_2002_azores,5,4,1,5,Bee
8_1_olesen_2002_azores,5,4,1,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,5,4,2,2,Bee
8_1_olesen_2002_azores,5,4,2,5,Bee
8_1_olesen_2002_azores,5,4,2,2,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,3,2,Bee
8_1_olesen_2002_azores,5,4,3,3,Bee
8_1_olesen_2002_azores,5,4,3,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,5,4,4,2,Bee
8_1_olesen_2002_azores,5,4,4,3,Bee
8_1_olesen_2002_azores,5,4,4,2,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,5,2,Lepidoptera
8_1_olesen_2002_azores,5,4,5,2,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,5,4,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,6,2,Non-bee-Hymenoptera
8_1_olesen_2002_azores,5,4,6,2,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,6,4,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,7,2,Bee
8_1_olesen_2002_azores,5,4,7,2,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,7,4,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,8,2,Bee
8_1_olesen_2002_azores,5,4,8,2,Non-syrphids-diptera
8_1_olesen_2002_azores,5,4,8,1,Non-syrphids-diptera
