Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
9_1_small_1976_canada,1,2,1,4,Bee
9_1_small_1976_canada,1,2,2,1,Bee
9_1_small_1976_canada,1,2,3,2,Bee
9_1_small_1976_canada,1,2,4,3,Bee
9_1_small_1976_canada,1,2,5,1,Syrphids
9_1_small_1976_canada,1,2,6,2,Syrphids
9_1_small_1976_canada,1,2,7,2,Non-syrphids-diptera
9_1_small_1976_canada,1,2,8,2,Coleoptera
9_1_small_1976_canada,1,2,9,2,Lepidoptera
9_1_small_1976_canada,1,2,10,3,Non-syrphids-diptera
9_1_small_1976_canada,1,2,11,3,Syrphids
9_1_small_1976_canada,1,2,12,4,Syrphids
9_1_small_1976_canada,1,2,13,4,Non-syrphids-diptera
9_1_small_1976_canada,1,2,14,4,Coleoptera
9_1_small_1976_canada,1,2,15,4,Lepidoptera
9_1_small_1976_canada,1,2,16,5,Lepidoptera
9_1_small_1976_canada,1,2,17,5,Syrphids
9_1_small_1976_canada,2,3,1,3,Bee
9_1_small_1976_canada,2,3,1,4,Bee
9_1_small_1976_canada,2,3,2,1,Bee
9_1_small_1976_canada,2,3,2,4,Bee
9_1_small_1976_canada,2,3,3,2,Bee
9_1_small_1976_canada,2,3,3,4,Bee
9_1_small_1976_canada,2,3,4,1,Bee
9_1_small_1976_canada,2,3,4,2,Bee
9_1_small_1976_canada,2,3,5,1,Bee
9_1_small_1976_canada,2,3,5,3,Bee
9_1_small_1976_canada,2,3,6,2,Bee
9_1_small_1976_canada,2,3,6,3,Bee
9_1_small_1976_canada,2,3,7,2,Coleoptera
9_1_small_1976_canada,2,3,7,4,Coleoptera
9_1_small_1976_canada,2,3,8,2,Lepidoptera
9_1_small_1976_canada,2,3,8,4,Lepidoptera
9_1_small_1976_canada,2,3,9,4,Lepidoptera
9_1_small_1976_canada,2,3,9,5,Lepidoptera
9_1_small_1976_canada,2,3,10,2,Lepidoptera
9_1_small_1976_canada,2,3,10,5,Lepidoptera
9_1_small_1976_canada,2,3,11,2,Non-syrphids-diptera
9_1_small_1976_canada,2,3,11,4,Non-syrphids-diptera
9_1_small_1976_canada,2,3,12,3,Non-syrphids-diptera
9_1_small_1976_canada,2,3,12,4,Non-syrphids-diptera
9_1_small_1976_canada,2,3,13,2,Non-syrphids-diptera
9_1_small_1976_canada,2,3,13,3,Non-syrphids-diptera
9_1_small_1976_canada,2,3,14,2,Syrphids
9_1_small_1976_canada,2,3,14,4,Syrphids
9_1_small_1976_canada,2,3,15,2,Syrphids
9_1_small_1976_canada,2,3,15,3,Syrphids
9_1_small_1976_canada,2,3,16,1,Syrphids
9_1_small_1976_canada,2,3,16,2,Syrphids
9_1_small_1976_canada,2,3,17,2,Syrphids
9_1_small_1976_canada,2,3,17,5,Syrphids
9_1_small_1976_canada,2,3,18,4,Syrphids
9_1_small_1976_canada,2,3,18,5,Syrphids
9_1_small_1976_canada,2,3,19,3,Syrphids
9_1_small_1976_canada,2,3,19,4,Syrphids
9_1_small_1976_canada,2,3,20,1,Syrphids
9_1_small_1976_canada,2,3,20,4,Syrphids
9_1_small_1976_canada,2,3,21,1,Syrphids
9_1_small_1976_canada,2,3,21,3,Syrphids
9_1_small_1976_canada,2,3,22,3,Syrphids
9_1_small_1976_canada,2,3,22,5,Syrphids
9_1_small_1976_canada,2,3,23,1,Syrphids
9_1_small_1976_canada,2,3,23,5,Syrphids
9_1_small_1976_canada,3,3,1,4,Bee
9_1_small_1976_canada,3,3,1,4,Syrphids
9_1_small_1976_canada,3,3,2,4,Bee
9_1_small_1976_canada,3,3,2,4,Non-syrphids-diptera
9_1_small_1976_canada,3,3,3,4,Bee
9_1_small_1976_canada,3,3,3,4,Lepidoptera
9_1_small_1976_canada,3,3,4,4,Bee
9_1_small_1976_canada,3,3,4,4,Coleoptera
9_1_small_1976_canada,3,3,5,1,Bee
