Network_id,Motif_pattern_id,Nodes,Motif_number,Type,Node_id,Degree,Position,Functional_group,Motif_functional_ID
10_1_souza_2017_brazil_chaco,1,2,1,Plant,5,1,1,5,5_Bee
10_1_souza_2017_brazil_chaco,1,2,1,Pollinator,Bee,1,2,Bee,5_Bee
10_1_souza_2017_brazil_chaco,1,2,2,Plant,1,1,1,1,1_Bee
10_1_souza_2017_brazil_chaco,1,2,2,Pollinator,Bee,1,2,Bee,1_Bee
10_1_souza_2017_brazil_chaco,1,2,3,Plant,2,1,1,2,2_Bee
10_1_souza_2017_brazil_chaco,1,2,3,Pollinator,Bee,1,2,Bee,2_Bee
10_1_souza_2017_brazil_chaco,1,2,4,Plant,3,1,1,3,3_Bee
10_1_souza_2017_brazil_chaco,1,2,4,Pollinator,Bee,1,2,Bee,3_Bee
10_1_souza_2017_brazil_chaco,1,2,5,Plant,1,1,1,1,1_Syrphids
10_1_souza_2017_brazil_chaco,1,2,5,Pollinator,Syrphids,1,2,Syrphids,1_Syrphids
10_1_souza_2017_brazil_chaco,1,2,6,Plant,1,1,1,1,1_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,1,2,6,Pollinator,Non-bee-Hymenoptera,1,2,Non-bee-Hymenoptera,1_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,1,2,7,Plant,1,1,1,1,1_Lepidoptera
10_1_souza_2017_brazil_chaco,1,2,7,Pollinator,Lepidoptera,1,2,Lepidoptera,1_Lepidoptera
10_1_souza_2017_brazil_chaco,1,2,8,Plant,1,1,1,1,1_Coleoptera
10_1_souza_2017_brazil_chaco,1,2,8,Pollinator,Coleoptera,1,2,Coleoptera,1_Coleoptera
10_1_souza_2017_brazil_chaco,1,2,9,Plant,2,1,1,2,2_Coleoptera
10_1_souza_2017_brazil_chaco,1,2,9,Pollinator,Coleoptera,1,2,Coleoptera,2_Coleoptera
10_1_souza_2017_brazil_chaco,1,2,10,Plant,2,1,1,2,2_Lepidoptera
10_1_souza_2017_brazil_chaco,1,2,10,Pollinator,Lepidoptera,1,2,Lepidoptera,2_Lepidoptera
10_1_souza_2017_brazil_chaco,1,2,11,Plant,2,1,1,2,2_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,1,2,11,Pollinator,Non-bee-Hymenoptera,1,2,Non-bee-Hymenoptera,2_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,1,2,12,Plant,3,1,1,3,3_Coleoptera
10_1_souza_2017_brazil_chaco,1,2,12,Pollinator,Coleoptera,1,2,Coleoptera,3_Coleoptera
10_1_souza_2017_brazil_chaco,1,2,13,Plant,3,1,1,3,3_Lepidoptera
10_1_souza_2017_brazil_chaco,1,2,13,Pollinator,Lepidoptera,1,2,Lepidoptera,3_Lepidoptera
10_1_souza_2017_brazil_chaco,1,2,14,Plant,3,1,1,3,3_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,1,2,14,Pollinator,Non-bee-Hymenoptera,1,2,Non-bee-Hymenoptera,3_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,1,2,15,Plant,3,1,1,3,3_Birds
10_1_souza_2017_brazil_chaco,1,2,15,Pollinator,Birds,1,2,Birds,3_Birds
10_1_souza_2017_brazil_chaco,1,2,16,Plant,3,1,1,3,3_Syrphids
10_1_souza_2017_brazil_chaco,1,2,16,Pollinator,Syrphids,1,2,Syrphids,3_Syrphids
10_1_souza_2017_brazil_chaco,1,2,17,Plant,3,1,1,3,3_Non-syrphids-diptera
10_1_souza_2017_brazil_chaco,1,2,17,Pollinator,Non-syrphids-diptera,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
10_1_souza_2017_brazil_chaco,1,2,18,Plant,4,1,1,4,4_Lepidoptera
10_1_souza_2017_brazil_chaco,1,2,18,Pollinator,Lepidoptera,1,2,Lepidoptera,4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,1,Plant,3,1,3,3,3_5_Bee
10_1_souza_2017_brazil_chaco,2,3,1,Plant,5,1,3,5,3_5_Bee
10_1_souza_2017_brazil_chaco,2,3,1,Pollinator,Bee,2,4,Bee,3_5_Bee
10_1_souza_2017_brazil_chaco,2,3,2,Plant,1,1,3,1,1_5_Bee
10_1_souza_2017_brazil_chaco,2,3,2,Plant,5,1,3,5,1_5_Bee
10_1_souza_2017_brazil_chaco,2,3,2,Pollinator,Bee,2,4,Bee,1_5_Bee
10_1_souza_2017_brazil_chaco,2,3,3,Plant,2,1,3,2,2_5_Bee
10_1_souza_2017_brazil_chaco,2,3,3,Plant,5,1,3,5,2_5_Bee
10_1_souza_2017_brazil_chaco,2,3,3,Pollinator,Bee,2,4,Bee,2_5_Bee
10_1_souza_2017_brazil_chaco,2,3,4,Plant,1,1,3,1,1_2_Bee
10_1_souza_2017_brazil_chaco,2,3,4,Plant,2,1,3,2,1_2_Bee
10_1_souza_2017_brazil_chaco,2,3,4,Pollinator,Bee,2,4,Bee,1_2_Bee
10_1_souza_2017_brazil_chaco,2,3,5,Plant,1,1,3,1,1_3_Bee
10_1_souza_2017_brazil_chaco,2,3,5,Plant,3,1,3,3,1_3_Bee
10_1_souza_2017_brazil_chaco,2,3,5,Pollinator,Bee,2,4,Bee,1_3_Bee
10_1_souza_2017_brazil_chaco,2,3,6,Plant,2,1,3,2,2_3_Bee
10_1_souza_2017_brazil_chaco,2,3,6,Plant,3,1,3,3,2_3_Bee
10_1_souza_2017_brazil_chaco,2,3,6,Pollinator,Bee,2,4,Bee,2_3_Bee
10_1_souza_2017_brazil_chaco,2,3,7,Plant,1,1,3,1,1_2_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,7,Plant,2,1,3,2,1_2_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,7,Pollinator,Coleoptera,2,4,Coleoptera,1_2_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,8,Plant,1,1,3,1,1_3_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,8,Plant,3,1,3,3,1_3_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,8,Pollinator,Coleoptera,2,4,Coleoptera,1_3_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,9,Plant,2,1,3,2,2_3_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,9,Plant,3,1,3,3,2_3_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,9,Pollinator,Coleoptera,2,4,Coleoptera,2_3_Coleoptera
10_1_souza_2017_brazil_chaco,2,3,10,Plant,2,1,3,2,2_3_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,10,Plant,3,1,3,3,2_3_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,10,Pollinator,Lepidoptera,2,4,Lepidoptera,2_3_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,11,Plant,1,1,3,1,1_3_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,11,Plant,3,1,3,3,1_3_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,11,Pollinator,Lepidoptera,2,4,Lepidoptera,1_3_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,12,Plant,3,1,3,3,3_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,12,Plant,4,1,3,4,3_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,12,Pollinator,Lepidoptera,2,4,Lepidoptera,3_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,13,Plant,1,1,3,1,1_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,13,Plant,4,1,3,4,1_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,13,Pollinator,Lepidoptera,2,4,Lepidoptera,1_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,14,Plant,1,1,3,1,1_2_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,14,Plant,2,1,3,2,1_2_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,14,Pollinator,Lepidoptera,2,4,Lepidoptera,1_2_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,15,Plant,2,1,3,2,2_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,15,Plant,4,1,3,4,2_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,15,Pollinator,Lepidoptera,2,4,Lepidoptera,2_4_Lepidoptera
10_1_souza_2017_brazil_chaco,2,3,16,Plant,2,1,3,2,2_3_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,16,Plant,3,1,3,3,2_3_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,16,Pollinator,Non-bee-Hymenoptera,2,4,Non-bee-Hymenoptera,2_3_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,17,Plant,1,1,3,1,1_2_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,17,Plant,2,1,3,2,1_2_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,17,Pollinator,Non-bee-Hymenoptera,2,4,Non-bee-Hymenoptera,1_2_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,18,Plant,1,1,3,1,1_3_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,18,Plant,3,1,3,3,1_3_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,18,Pollinator,Non-bee-Hymenoptera,2,4,Non-bee-Hymenoptera,1_3_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,2,3,19,Plant,1,1,3,1,1_3_Syrphids
10_1_souza_2017_brazil_chaco,2,3,19,Plant,3,1,3,3,1_3_Syrphids
10_1_souza_2017_brazil_chaco,2,3,19,Pollinator,Syrphids,2,4,Syrphids,1_3_Syrphids
10_1_souza_2017_brazil_chaco,3,3,1,Plant,1,2,5,1,1_Bee_Syrphids
10_1_souza_2017_brazil_chaco,3,3,1,Pollinator,Bee,1,6,Bee,1_Bee_Syrphids
10_1_souza_2017_brazil_chaco,3,3,1,Pollinator,Syrphids,1,6,Syrphids,1_Bee_Syrphids
10_1_souza_2017_brazil_chaco,3,3,2,Plant,1,2,5,1,1_Coleoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,2,Pollinator,Coleoptera,1,6,Coleoptera,1_Coleoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,2,Pollinator,Syrphids,1,6,Syrphids,1_Coleoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,3,Plant,1,2,5,1,1_Non-bee-Hymenoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,3,Pollinator,Non-bee-Hymenoptera,1,6,Non-bee-Hymenoptera,1_Non-bee-Hymenoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,3,Pollinator,Syrphids,1,6,Syrphids,1_Non-bee-Hymenoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,4,Plant,1,2,5,1,1_Lepidoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,4,Pollinator,Lepidoptera,1,6,Lepidoptera,1_Lepidoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,4,Pollinator,Syrphids,1,6,Syrphids,1_Lepidoptera_Syrphids
10_1_souza_2017_brazil_chaco,3,3,5,Plant,1,2,5,1,1_Lepidoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,5,Pollinator,Lepidoptera,1,6,Lepidoptera,1_Lepidoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,5,Pollinator,Non-bee-Hymenoptera,1,6,Non-bee-Hymenoptera,1_Lepidoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,6,Plant,1,2,5,1,1_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,6,Pollinator,Bee,1,6,Bee,1_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,6,Pollinator,Non-bee-Hymenoptera,1,6,Non-bee-Hymenoptera,1_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,7,Plant,1,2,5,1,1_Coleoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,7,Pollinator,Coleoptera,1,6,Coleoptera,1_Coleoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,7,Pollinator,Non-bee-Hymenoptera,1,6,Non-bee-Hymenoptera,1_Coleoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,8,Plant,1,2,5,1,1_Bee_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,8,Pollinator,Bee,1,6,Bee,1_Bee_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,8,Pollinator,Lepidoptera,1,6,Lepidoptera,1_Bee_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,9,Plant,1,2,5,1,1_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,9,Pollinator,Bee,1,6,Bee,1_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,9,Pollinator,Coleoptera,1,6,Coleoptera,1_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,10,Plant,1,2,5,1,1_Coleoptera_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,10,Pollinator,Coleoptera,1,6,Coleoptera,1_Coleoptera_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,10,Pollinator,Lepidoptera,1,6,Lepidoptera,1_Coleoptera_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,11,Plant,2,2,5,2,2_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,11,Pollinator,Bee,1,6,Bee,2_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,11,Pollinator,Coleoptera,1,6,Coleoptera,2_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,12,Plant,2,2,5,2,2_Coleoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,12,Pollinator,Coleoptera,1,6,Coleoptera,2_Coleoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,12,Pollinator,Non-bee-Hymenoptera,1,6,Non-bee-Hymenoptera,2_Coleoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,13,Plant,2,2,5,2,2_Coleoptera_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,13,Pollinator,Coleoptera,1,6,Coleoptera,2_Coleoptera_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,13,Pollinator,Lepidoptera,1,6,Lepidoptera,2_Coleoptera_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,14,Plant,2,2,5,2,2_Bee_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,14,Pollinator,Bee,1,6,Bee,2_Bee_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,14,Pollinator,Lepidoptera,1,6,Lepidoptera,2_Bee_Lepidoptera
10_1_souza_2017_brazil_chaco,3,3,15,Plant,2,2,5,2,2_Lepidoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,15,Pollinator,Lepidoptera,1,6,Lepidoptera,2_Lepidoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,15,Pollinator,Non-bee-Hymenoptera,1,6,Non-bee-Hymenoptera,2_Lepidoptera_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,16,Plant,2,2,5,2,2_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,16,Pollinator,Bee,1,6,Bee,2_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,16,Pollinator,Non-bee-Hymenoptera,1,6,Non-bee-Hymenoptera,2_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,17,Plant,3,2,5,3,3_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,17,Pollinator,Bee,1,6,Bee,3_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,17,Pollinator,Coleoptera,1,6,Coleoptera,3_Bee_Coleoptera
10_1_souza_2017_brazil_chaco,3,3,18,Plant,3,2,5,3,3_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,18,Pollinator,Bee,1,6,Bee,3_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,18,Pollinator,Non-bee-Hymenoptera,1,6,Non-bee-Hymenoptera,3_Bee_Non-bee-Hymenoptera
10_1_souza_2017_brazil_chaco,3,3,19,Plant,3,2,5,3,3_Bee_Lepidoptera
