Network_id,Motif_pattern_id,Nodes,Motif_number,Type,Node_id,Degree,Position,Functional_group,Motif_functional_ID
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,1,Plant,5,1,1,5,5_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,1,Pollinator,Bee,1,2,Bee,5_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,2,Plant,2,1,1,2,2_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,2,Pollinator,Bee,1,2,Bee,2_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,3,Plant,3,1,1,3,3_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,3,Pollinator,Bee,1,2,Bee,3_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,4,Plant,3,1,1,3,3_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,4,Pollinator,Syrphids,1,2,Syrphids,3_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,5,Plant,3,1,1,3,3_Coleoptera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,5,Pollinator,Coleoptera,1,2,Coleoptera,3_Coleoptera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,6,Plant,3,1,1,3,3_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,6,Pollinator,Non-syrphids-diptera,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,7,Plant,5,1,1,5,5_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,7,Pollinator,Non-syrphids-diptera,1,2,Non-syrphids-diptera,5_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,1,Plant,3,1,3,3,3_5_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,1,Plant,5,1,3,5,3_5_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,1,Pollinator,Bee,2,4,Bee,3_5_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,2,Plant,2,1,3,2,2_5_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,2,Plant,5,1,3,5,2_5_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,2,Pollinator,Bee,2,4,Bee,2_5_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,3,Plant,2,1,3,2,2_3_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,3,Plant,3,1,3,3,2_3_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,3,Pollinator,Bee,2,4,Bee,2_3_Bee
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,4,Plant,3,1,3,3,3_5_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,4,Plant,5,1,3,5,3_5_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,2,3,4,Pollinator,Non-syrphids-diptera,2,4,Non-syrphids-diptera,3_5_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,1,Plant,3,2,5,3,3_Bee_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,1,Pollinator,Bee,1,6,Bee,3_Bee_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,1,Pollinator,Syrphids,1,6,Syrphids,3_Bee_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,2,Plant,3,2,5,3,3_Bee_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,2,Pollinator,Bee,1,6,Bee,3_Bee_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,2,Pollinator,Non-syrphids-diptera,1,6,Non-syrphids-diptera,3_Bee_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,3,Plant,3,2,5,3,3_Bee_Coleoptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,3,Pollinator,Bee,1,6,Bee,3_Bee_Coleoptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,3,Pollinator,Coleoptera,1,6,Coleoptera,3_Bee_Coleoptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,4,Plant,3,2,5,3,3_Coleoptera_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,4,Pollinator,Coleoptera,1,6,Coleoptera,3_Coleoptera_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,4,Pollinator,Syrphids,1,6,Syrphids,3_Coleoptera_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,5,Plant,3,2,5,3,3_Non-syrphids-diptera_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,5,Pollinator,Non-syrphids-diptera,1,6,Non-syrphids-diptera,3_Non-syrphids-diptera_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,5,Pollinator,Syrphids,1,6,Syrphids,3_Non-syrphids-diptera_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,6,Plant,3,2,5,3,3_Coleoptera_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,6,Pollinator,Coleoptera,1,6,Coleoptera,3_Coleoptera_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,6,Pollinator,Non-syrphids-diptera,1,6,Non-syrphids-diptera,3_Coleoptera_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,7,Plant,5,2,5,5,5_Bee_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,7,Pollinator,Bee,1,6,Bee,5_Bee_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,3,3,7,Pollinator,Non-syrphids-diptera,1,6,Non-syrphids-diptera,5_Bee_Non-syrphids-diptera
12_10_bartomeus_spain_2008_Lasmulas_unp,4,4,1,Plant,3,3,7,3,3_Bee_Coleoptera_Syrphids
12_10_bartomeus_spain_2008_Lasmulas_unp,4,4,1,Pollinator,Bee,1,8,Bee,3_Bee_Coleoptera_Syrphids
