Network_id,Motif_pattern_id,Nodes,Motif_number,Type,Node_id,Degree,Position,Functional_group,Motif_functional_ID
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,1,Plant,5,1,1,5,5_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,1,Pollinator,Bee,1,2,Bee,5_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,2,Plant,1,1,1,1,1_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,2,Pollinator,Bee,1,2,Bee,1_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,3,Plant,3,1,1,3,3_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,3,Pollinator,Bee,1,2,Bee,3_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,4,Plant,3,1,1,3,3_Syrphids
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,4,Pollinator,Syrphids,1,2,Syrphids,3_Syrphids
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,5,Plant,5,1,1,5,5_Non-syrphids-diptera
12_14_bartomeus_spain_2008_Urbanizaciones_unp,1,2,5,Pollinator,Non-syrphids-diptera,1,2,Non-syrphids-diptera,5_Non-syrphids-diptera
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,1,Plant,3,1,3,3,3_5_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,1,Plant,5,1,3,5,3_5_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,1,Pollinator,Bee,2,4,Bee,3_5_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,2,Plant,1,1,3,1,1_5_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,2,Plant,5,1,3,5,1_5_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,2,Pollinator,Bee,2,4,Bee,1_5_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,3,Plant,1,1,3,1,1_3_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,3,Plant,3,1,3,3,1_3_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,2,3,3,Pollinator,Bee,2,4,Bee,1_3_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,3,3,1,Plant,3,2,5,3,3_Bee_Syrphids
12_14_bartomeus_spain_2008_Urbanizaciones_unp,3,3,1,Pollinator,Bee,1,6,Bee,3_Bee_Syrphids
12_14_bartomeus_spain_2008_Urbanizaciones_unp,3,3,1,Pollinator,Syrphids,1,6,Syrphids,3_Bee_Syrphids
12_14_bartomeus_spain_2008_Urbanizaciones_unp,3,3,2,Plant,5,2,5,5,5_Bee_Non-syrphids-diptera
12_14_bartomeus_spain_2008_Urbanizaciones_unp,3,3,2,Pollinator,Bee,1,6,Bee,5_Bee_Non-syrphids-diptera
12_14_bartomeus_spain_2008_Urbanizaciones_unp,3,3,2,Pollinator,Non-syrphids-diptera,1,6,Non-syrphids-diptera,5_Bee_Non-syrphids-diptera
12_14_bartomeus_spain_2008_Urbanizaciones_unp,5,4,1,Plant,3,1,9,3,3_5_Non-syrphids-diptera_Bee
12_14_bartomeus_spain_2008_Urbanizaciones_unp,5,4,1,Plant,5,2,10,5,3_5_Non-syrphids-diptera_Bee
