Network_id,Motif_pattern_id,Nodes,Motif_number,Type,Node_id,Degree,Position,Functional_group,Motif_functional_ID
3_2_dupont_2009_denmark_ib,1,2,1,Plant,3,1,1,3,3_Bee
3_2_dupont_2009_denmark_ib,1,2,1,Pollinator,Bee,1,2,Bee,3_Bee
3_2_dupont_2009_denmark_ib,1,2,2,Plant,1,1,1,1,1_Bee
3_2_dupont_2009_denmark_ib,1,2,2,Pollinator,Bee,1,2,Bee,1_Bee
3_2_dupont_2009_denmark_ib,1,2,3,Plant,2,1,1,2,2_Bee
3_2_dupont_2009_denmark_ib,1,2,3,Pollinator,Bee,1,2,Bee,2_Bee
3_2_dupont_2009_denmark_ib,1,2,4,Plant,1,1,1,1,1_Syrphids
3_2_dupont_2009_denmark_ib,1,2,4,Pollinator,Syrphids,1,2,Syrphids,1_Syrphids
3_2_dupont_2009_denmark_ib,1,2,5,Plant,1,1,1,1,1_Non-syrphids-diptera
3_2_dupont_2009_denmark_ib,1,2,5,Pollinator,Non-syrphids-diptera,1,2,Non-syrphids-diptera,1_Non-syrphids-diptera
3_2_dupont_2009_denmark_ib,1,2,6,Plant,1,1,1,1,1_Coleoptera
3_2_dupont_2009_denmark_ib,1,2,6,Pollinator,Coleoptera,1,2,Coleoptera,1_Coleoptera
3_2_dupont_2009_denmark_ib,1,2,7,Plant,1,1,1,1,1_Non-bee-Hymenoptera
3_2_dupont_2009_denmark_ib,1,2,7,Pollinator,Non-bee-Hymenoptera,1,2,Non-bee-Hymenoptera,1_Non-bee-Hymenoptera
3_2_dupont_2009_denmark_ib,1,2,8,Plant,2,1,1,2,2_Non-bee-Hymenoptera
3_2_dupont_2009_denmark_ib,1,2,8,Pollinator,Non-bee-Hymenoptera,1,2,Non-bee-Hymenoptera,2_Non-bee-Hymenoptera
3_2_dupont_2009_denmark_ib,1,2,9,Plant,2,1,1,2,2_Syrphids
3_2_dupont_2009_denmark_ib,1,2,9,Pollinator,Syrphids,1,2,Syrphids,2_Syrphids
