Network_id,Motif_pattern_id,Motif_functional_ID,Counts
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2_Bee,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2_Birds,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2_Coleoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2_Lizards,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,4_Bee,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,4_Coleoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,4_Lepidoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,4_Lizards,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,4_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,4_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,1,4_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,2,2_4_Bee,1
11_6_kaiser-bunbury_2017_seychelles_salazie,2,2_4_Coleoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,2,2_4_Lizards,1
11_6_kaiser-bunbury_2017_seychelles_salazie,2,2_4_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,2,2_4_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,2,2_4_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Bee_Birds,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Bee_Coleoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Bee_Lizards,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Bee_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Bee_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Bee_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Birds_Coleoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Birds_Lizards,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Birds_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Birds_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Birds_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Coleoptera_Lizards,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Coleoptera_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Coleoptera_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Coleoptera_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Lizards_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Lizards_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Lizards_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Non-bee-Hymenoptera_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Non-bee-Hymenoptera_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,2_Non-syrphids-diptera_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Bee_Coleoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Bee_Lepidoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Bee_Lizards,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Bee_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Bee_Non-syrphids-diptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Bee_Syrphids,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Coleoptera_Lepidoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Coleoptera_Lizards,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Coleoptera_Non-bee-Hymenoptera,1
11_6_kaiser-bunbury_2017_seychelles_salazie,3,4_Coleoptera_Non-syrphids-diptera,1
