Network_id,Motif_pattern_id,Motif_functional_ID,Counts
12_3_bartomeus_spain_2008_Bonares_unp,1,2_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,1,2_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,1,2_Other_insects,1
12_3_bartomeus_spain_2008_Bonares_unp,1,3_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,1,3_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,1,3_Syrphids,1
12_3_bartomeus_spain_2008_Bonares_unp,1,5_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,1,5_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,1,5_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,2,2_3_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,2,2_5_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,2,2_5_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,2,3_5_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,2,3_5_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,3,2_Bee_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,3,2_Bee_Other_insects,1
12_3_bartomeus_spain_2008_Bonares_unp,3,2_Non-bee-Hymenoptera_Other_insects,1
12_3_bartomeus_spain_2008_Bonares_unp,3,3_Bee_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,3,3_Bee_Syrphids,1
12_3_bartomeus_spain_2008_Bonares_unp,3,3_Non-syrphids-diptera_Syrphids,1
12_3_bartomeus_spain_2008_Bonares_unp,3,5_Bee_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,3,5_Bee_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,3,5_Non-bee-Hymenoptera_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,4,2_Bee_Non-bee-Hymenoptera_Other_insects,1
12_3_bartomeus_spain_2008_Bonares_unp,4,3_Bee_Non-syrphids-diptera_Syrphids,1
12_3_bartomeus_spain_2008_Bonares_unp,4,5_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,5,2_3_Non-syrphids-diptera_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,5,2_3_Syrphids_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,5,2_5_Non-syrphids-diptera_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,5,2_5_Non-syrphids-diptera_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,5,3_2_Non-bee-Hymenoptera_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,5,3_2_Other_insects_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,5,3_5_Non-bee-Hymenoptera_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,5,3_5_Non-bee-Hymenoptera_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,5,5_2_Other_insects_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,5,5_2_Other_insects_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,5,5_3_Syrphids_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,5,5_3_Syrphids_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,6,2_5_Bee_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,6,3_5_Bee_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,7,2_3_5_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,9,2_3_Non-syrphids-diptera_Syrphids_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,9,3_2_Non-bee-Hymenoptera_Other_insects_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,10,2_3_Non-bee-Hymenoptera_Non-syrphids-diptera_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,10,2_3_Non-bee-Hymenoptera_Syrphids_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,10,2_3_Non-syrphids-diptera_Other_insects_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,10,2_3_Other_insects_Syrphids_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,10,2_5_Non-syrphids-diptera_Other_insects_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,10,2_5_Non-syrphids-diptera_Other_insects_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,10,3_5_Non-bee-Hymenoptera_Syrphids_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,10,3_5_Non-bee-Hymenoptera_Syrphids_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,11,2_5_Non-syrphids-diptera_Bee_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,11,3_5_Non-bee-Hymenoptera_Bee_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,11,5_2_Other_insects_Bee_Non-bee-Hymenoptera,1
12_3_bartomeus_spain_2008_Bonares_unp,11,5_3_Syrphids_Bee_Non-syrphids-diptera,1
12_3_bartomeus_spain_2008_Bonares_unp,13,2_5_3_Syrphids_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,13,3_5_2_Other_insects_Bee,1
12_3_bartomeus_spain_2008_Bonares_unp,14,2_3_5_Non-bee-Hymenoptera_Non-syrphids-diptera,1
