Network_id,Motif_pattern_id,Motif_functional_ID,Counts
12_7_bartomeus_spain_2008_Esparragal_unp,1,1_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,1,2_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,1,2_Non-bee-Hymenoptera,1
12_7_bartomeus_spain_2008_Esparragal_unp,1,3_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,1,3_Coleoptera,1
12_7_bartomeus_spain_2008_Esparragal_unp,1,3_Syrphids,1
12_7_bartomeus_spain_2008_Esparragal_unp,1,5_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,1,5_Lepidoptera,1
12_7_bartomeus_spain_2008_Esparragal_unp,2,1_2_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,2,1_3_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,2,1_5_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,2,2_3_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,2,2_5_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,2,3_5_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,3,2_Bee_Non-bee-Hymenoptera,1
12_7_bartomeus_spain_2008_Esparragal_unp,3,3_Bee_Coleoptera,1
12_7_bartomeus_spain_2008_Esparragal_unp,3,3_Bee_Syrphids,1
12_7_bartomeus_spain_2008_Esparragal_unp,3,3_Coleoptera_Syrphids,1
12_7_bartomeus_spain_2008_Esparragal_unp,3,5_Bee_Lepidoptera,1
12_7_bartomeus_spain_2008_Esparragal_unp,4,3_Bee_Coleoptera_Syrphids,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,1_2_Non-bee-Hymenoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,1_3_Coleoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,1_3_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,1_5_Lepidoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,2_3_Coleoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,2_3_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,2_5_Lepidoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,3_2_Non-bee-Hymenoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,3_5_Lepidoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,5_2_Non-bee-Hymenoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,5_3_Coleoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,5,5_3_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,7,1_2_3_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,7,1_2_5_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,7,1_3_5_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,7,2_3_5_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,9,1_3_Coleoptera_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,9,2_3_Coleoptera_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,9,5_3_Coleoptera_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,10,2_3_Coleoptera_Non-bee-Hymenoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,10,2_3_Non-bee-Hymenoptera_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,10,2_5_Lepidoptera_Non-bee-Hymenoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,10,3_5_Coleoptera_Lepidoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,10,3_5_Lepidoptera_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,1_2_3_Coleoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,1_2_3_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,1_2_5_Lepidoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,1_3_2_Non-bee-Hymenoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,1_3_5_Lepidoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,1_5_2_Non-bee-Hymenoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,1_5_3_Coleoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,1_5_3_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,2_3_5_Lepidoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,2_5_3_Coleoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,2_5_3_Syrphids_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,13,3_5_2_Non-bee-Hymenoptera_Bee,1
12_7_bartomeus_spain_2008_Esparragal_unp,17,1_2_3_5_Bee,1
