Network_id,Motif_pattern_id,Motif_functional_ID,Counts
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,2_Bee,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,2_Birds,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,2_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,2_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,2_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,2_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,3_Bee,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,3_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,3_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,3_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,3_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,3_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,4_Bee,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,4_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,4_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,4_Lizards,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,4_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,4_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,1,4_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_3_Bee,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_3_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_3_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_3_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_3_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_4_Bee,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_4_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_4_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_4_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,2_4_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,3_4_Bee,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,3_4_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,3_4_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,3_4_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,3_4_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,3_4_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Bee_Birds,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Bee_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Bee_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Bee_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Bee_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Birds_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Birds_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Birds_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Birds_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Coleoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Coleoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Coleoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,2_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Bee_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Bee_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Bee_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Bee_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Bee_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Coleoptera_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Coleoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Coleoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Coleoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Lepidoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Lepidoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Lepidoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,3_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Bee_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Bee_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Bee_Lizards,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Bee_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Bee_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Bee_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Coleoptera_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Coleoptera_Lizards,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Coleoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Coleoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Coleoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Lepidoptera_Lizards,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Lepidoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Lepidoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Lepidoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Lizards_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Lizards_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Lizards_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,4_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Birds_Coleoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Birds_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Birds_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Birds_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Coleoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Coleoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Coleoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Bee_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Birds_Coleoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Birds_Coleoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Birds_Coleoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Birds_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Birds_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Birds_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Coleoptera_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Coleoptera_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,2_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Coleoptera_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Coleoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Coleoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Coleoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Lepidoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Lepidoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Lepidoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Bee_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Coleoptera_Lepidoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Coleoptera_Lepidoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Coleoptera_Lepidoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Coleoptera_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Coleoptera_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Lepidoptera_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Lepidoptera_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,3_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Coleoptera_Lepidoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Coleoptera_Lizards,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Coleoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Coleoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Coleoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Lepidoptera_Lizards,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Lepidoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Lepidoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Lepidoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Lizards_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Lizards_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Lizards_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Bee_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Lepidoptera_Lizards,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Lepidoptera_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Lepidoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Lepidoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Lizards_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Lizards_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Lizards_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Non-bee-Hymenoptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Coleoptera_Non-syrphids-diptera_Syrphids,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Lepidoptera_Lizards_Non-bee-Hymenoptera,1
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,4_Lepidoptera_Lizards_Non-syrphids-diptera,1
