Network_id,Motif_pattern_id,Motif_functional_ID,Counts
14_2_kaiser-bunbury_2010_mauritius_restored,1,1_Bee,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,1_Non-bee-Hymenoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,1_Non-syrphids-diptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Bee,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Birds,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Coleoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Lepidoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Lizards,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Non-bee-Hymenoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Non-syrphids-diptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Other_insects,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,2_Syrphids,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,3_Bee,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,3_Birds,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,3_Coleoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,3_Lepidoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,3_Lizards,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,3_Non-bee-Hymenoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,3_Non-syrphids-diptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,3_Syrphids,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Bee,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Birds,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Coleoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Lepidoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Lizards,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Non-bee-Hymenoptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Non-syrphids-diptera,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Other_insects,1
14_2_kaiser-bunbury_2010_mauritius_restored,1,4_Syrphids,1
