Network_id,Motif_pattern_id,Motif_functional_ID,Counts
15_3_peralta_2006_mendoza_site_3,1,2_Bee,1
15_3_peralta_2006_mendoza_site_3,1,2_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,1,2_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,1,2_Syrphids,1
15_3_peralta_2006_mendoza_site_3,1,3_Bee,1
15_3_peralta_2006_mendoza_site_3,1,3_Coleoptera,1
15_3_peralta_2006_mendoza_site_3,1,3_Lepidoptera,1
15_3_peralta_2006_mendoza_site_3,1,3_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,1,3_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,1,3_Syrphids,1
15_3_peralta_2006_mendoza_site_3,1,4_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,1,4_Syrphids,1
15_3_peralta_2006_mendoza_site_3,2,2_3_Bee,1
15_3_peralta_2006_mendoza_site_3,2,2_3_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,2,2_3_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,2,2_3_Syrphids,1
15_3_peralta_2006_mendoza_site_3,2,2_4_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,2,2_4_Syrphids,1
15_3_peralta_2006_mendoza_site_3,2,3_4_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,2,3_4_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,2_Bee_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,3,2_Bee_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,3,2_Bee_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,2_Non-bee-Hymenoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,3,2_Non-bee-Hymenoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,2_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,3_Bee_Coleoptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Bee_Lepidoptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Bee_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Bee_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Bee_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,3_Coleoptera_Lepidoptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Coleoptera_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Coleoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Coleoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,3_Lepidoptera_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Lepidoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Lepidoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,3_Non-bee-Hymenoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,3,3_Non-bee-Hymenoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,3_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,3,4_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,4,2_Bee_Non-bee-Hymenoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,2_Bee_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,2_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Coleoptera_Lepidoptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Coleoptera_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Coleoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Coleoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Lepidoptera_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Lepidoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Lepidoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Non-bee-Hymenoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Bee_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Coleoptera_Lepidoptera_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Coleoptera_Lepidoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Coleoptera_Lepidoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Coleoptera_Non-bee-Hymenoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Coleoptera_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,4,3_Lepidoptera_Non-bee-Hymenoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Lepidoptera_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,4,3_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,5,2_3_Coleoptera_Bee,1
15_3_peralta_2006_mendoza_site_3,5,2_3_Coleoptera_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,5,2_3_Coleoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,5,2_3_Coleoptera_Syrphids,1
15_3_peralta_2006_mendoza_site_3,5,2_3_Lepidoptera_Bee,1
15_3_peralta_2006_mendoza_site_3,5,2_3_Lepidoptera_Non-bee-Hymenoptera,1
15_3_peralta_2006_mendoza_site_3,5,2_3_Lepidoptera_Non-syrphids-diptera,1
15_3_peralta_2006_mendoza_site_3,5,2_3_Lepidoptera_Syrphids,1
