Network_id,Motif_pattern_id,Motif_functional_ID,Counts
18_1_bundgaard_2003_denmark,1,1_Bee,1
18_1_bundgaard_2003_denmark,1,1_Coleoptera,1
18_1_bundgaard_2003_denmark,1,1_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,1,2_Bee,1
18_1_bundgaard_2003_denmark,1,2_Coleoptera,1
18_1_bundgaard_2003_denmark,1,2_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,1,3_Bee,1
18_1_bundgaard_2003_denmark,1,3_Coleoptera,1
18_1_bundgaard_2003_denmark,1,3_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,1,4_Bee,1
18_1_bundgaard_2003_denmark,1,4_Coleoptera,1
18_1_bundgaard_2003_denmark,1,4_Lepidoptera,1
18_1_bundgaard_2003_denmark,1,4_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,1,5_Bee,1
18_1_bundgaard_2003_denmark,1,5_Coleoptera,1
18_1_bundgaard_2003_denmark,1,5_Lepidoptera,1
18_1_bundgaard_2003_denmark,1,5_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,1_2_Bee,1
18_1_bundgaard_2003_denmark,2,1_2_Coleoptera,1
18_1_bundgaard_2003_denmark,2,1_2_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,1_3_Bee,1
18_1_bundgaard_2003_denmark,2,1_3_Coleoptera,1
18_1_bundgaard_2003_denmark,2,1_3_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,1_4_Bee,1
18_1_bundgaard_2003_denmark,2,1_4_Coleoptera,1
18_1_bundgaard_2003_denmark,2,1_4_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,1_5_Bee,1
18_1_bundgaard_2003_denmark,2,1_5_Coleoptera,1
18_1_bundgaard_2003_denmark,2,1_5_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,2_3_Bee,1
18_1_bundgaard_2003_denmark,2,2_3_Coleoptera,1
18_1_bundgaard_2003_denmark,2,2_3_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,2_4_Bee,1
18_1_bundgaard_2003_denmark,2,2_4_Coleoptera,1
18_1_bundgaard_2003_denmark,2,2_4_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,2_5_Bee,1
18_1_bundgaard_2003_denmark,2,2_5_Coleoptera,1
18_1_bundgaard_2003_denmark,2,2_5_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,3_4_Bee,1
18_1_bundgaard_2003_denmark,2,3_4_Coleoptera,1
18_1_bundgaard_2003_denmark,2,3_4_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,3_5_Bee,1
18_1_bundgaard_2003_denmark,2,3_5_Coleoptera,1
18_1_bundgaard_2003_denmark,2,3_5_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,2,4_5_Bee,1
18_1_bundgaard_2003_denmark,2,4_5_Coleoptera,1
18_1_bundgaard_2003_denmark,2,4_5_Lepidoptera,1
18_1_bundgaard_2003_denmark,2,4_5_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,1_Bee_Coleoptera,1
18_1_bundgaard_2003_denmark,3,1_Bee_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,1_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,2_Bee_Coleoptera,1
18_1_bundgaard_2003_denmark,3,2_Bee_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,2_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,3_Bee_Coleoptera,1
18_1_bundgaard_2003_denmark,3,3_Bee_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,3_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,4_Bee_Coleoptera,1
18_1_bundgaard_2003_denmark,3,4_Bee_Lepidoptera,1
18_1_bundgaard_2003_denmark,3,4_Bee_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,4_Coleoptera_Lepidoptera,1
18_1_bundgaard_2003_denmark,3,4_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,4_Lepidoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,5_Bee_Coleoptera,1
18_1_bundgaard_2003_denmark,3,5_Bee_Lepidoptera,1
18_1_bundgaard_2003_denmark,3,5_Bee_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,5_Coleoptera_Lepidoptera,1
18_1_bundgaard_2003_denmark,3,5_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,3,5_Lepidoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,1_Bee_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,2_Bee_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,3_Bee_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,4_Bee_Coleoptera_Lepidoptera,1
18_1_bundgaard_2003_denmark,4,4_Bee_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,4_Bee_Lepidoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,4_Coleoptera_Lepidoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,5_Bee_Coleoptera_Lepidoptera,1
18_1_bundgaard_2003_denmark,4,5_Bee_Coleoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,5_Bee_Lepidoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,4,5_Coleoptera_Lepidoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,5,1_4_Lepidoptera_Bee,1
18_1_bundgaard_2003_denmark,5,1_4_Lepidoptera_Coleoptera,1
18_1_bundgaard_2003_denmark,5,1_4_Lepidoptera_Non-syrphids-diptera,1
18_1_bundgaard_2003_denmark,5,1_5_Lepidoptera_Bee,1
18_1_bundgaard_2003_denmark,5,1_5_Lepidoptera_Coleoptera,1
18_1_bundgaard_2003_denmark,5,1_5_Lepidoptera_Non-syrphids-diptera,1
