Network_id,Motif_pattern_id,Motif_functional_ID,Counts
2_1_dicks_2002_england_shelfanger,1,1_Bee,1
2_1_dicks_2002_england_shelfanger,1,1_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,1,1_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,1,1_Syrphids,1
2_1_dicks_2002_england_shelfanger,1,2_Bee,1
2_1_dicks_2002_england_shelfanger,1,2_Coleoptera,1
2_1_dicks_2002_england_shelfanger,1,2_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,1,2_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,1,2_Syrphids,1
2_1_dicks_2002_england_shelfanger,1,3_Bee,1
2_1_dicks_2002_england_shelfanger,1,3_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,1,3_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,1,3_Syrphids,1
2_1_dicks_2002_england_shelfanger,1,4_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,1,4_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,1,4_Syrphids,1
2_1_dicks_2002_england_shelfanger,1,5_Bee,1
2_1_dicks_2002_england_shelfanger,1,5_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,1,5_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,1,5_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,1_2_Bee,1
2_1_dicks_2002_england_shelfanger,2,1_2_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,1_2_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,1_2_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,1_3_Bee,1
2_1_dicks_2002_england_shelfanger,2,1_3_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,1_3_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,1_3_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,1_4_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,1_4_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,1_4_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,1_5_Bee,1
2_1_dicks_2002_england_shelfanger,2,1_5_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,1_5_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,1_5_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,2_3_Bee,1
2_1_dicks_2002_england_shelfanger,2,2_3_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,2_3_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,2_3_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,2_4_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,2_4_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,2_4_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,2_5_Bee,1
2_1_dicks_2002_england_shelfanger,2,2_5_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,2_5_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,2_5_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,3_4_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,3_4_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,3_4_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,3_5_Bee,1
2_1_dicks_2002_england_shelfanger,2,3_5_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,3_5_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,3_5_Syrphids,1
2_1_dicks_2002_england_shelfanger,2,4_5_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,2,4_5_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,2,4_5_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,1_Bee_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,3,1_Bee_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,1_Bee_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,1_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,1_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,1_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,2_Bee_Coleoptera,1
2_1_dicks_2002_england_shelfanger,3,2_Bee_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,3,2_Bee_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,2_Bee_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,2_Coleoptera_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,3,2_Coleoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,2_Coleoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,2_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,2_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,2_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,3_Bee_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,3,3_Bee_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,3_Bee_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,3_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,3_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,3_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,4_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,4_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,4_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,5_Bee_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,3,5_Bee_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,5_Bee_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,5_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,3,5_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,3,5_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,1_Bee_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,4,1_Bee_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,1_Bee_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,1_Lepidoptera_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,2_Bee_Coleoptera_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,4,2_Bee_Coleoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,4,2_Bee_Coleoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,2_Bee_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,4,2_Bee_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,2_Bee_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,2_Coleoptera_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,4,2_Coleoptera_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,2_Coleoptera_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,2_Lepidoptera_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,3_Bee_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,4,3_Bee_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,3_Bee_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,3_Lepidoptera_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,4_Lepidoptera_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,5_Bee_Lepidoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,4,5_Bee_Lepidoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,5_Bee_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,4,5_Lepidoptera_Non-syrphids-diptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,5,1_2_Coleoptera_Bee,1
2_1_dicks_2002_england_shelfanger,5,1_2_Coleoptera_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,5,1_2_Coleoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,5,1_2_Coleoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,5,3_2_Coleoptera_Bee,1
2_1_dicks_2002_england_shelfanger,5,3_2_Coleoptera_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,5,3_2_Coleoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,5,3_2_Coleoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,5,4_1_Bee_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,5,4_1_Bee_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,5,4_1_Bee_Syrphids,1
2_1_dicks_2002_england_shelfanger,5,4_2_Bee_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,5,4_2_Bee_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,5,4_2_Bee_Syrphids,1
2_1_dicks_2002_england_shelfanger,5,4_2_Coleoptera_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,5,4_2_Coleoptera_Non-syrphids-diptera,1
2_1_dicks_2002_england_shelfanger,5,4_2_Coleoptera_Syrphids,1
2_1_dicks_2002_england_shelfanger,5,4_3_Bee_Lepidoptera,1
2_1_dicks_2002_england_shelfanger,5,4_3_Bee_Non-syrphids-diptera,1
