Network_id,Motif_pattern_id,Motif_functional_ID,Counts
8_1_olesen_2002_azores,1,1_Non-syrphids-diptera,1
8_1_olesen_2002_azores,1,1_Syrphids,1
8_1_olesen_2002_azores,1,2_Bee,1
8_1_olesen_2002_azores,1,2_Lepidoptera,1
8_1_olesen_2002_azores,1,2_Non-bee-Hymenoptera,1
8_1_olesen_2002_azores,1,2_Non-syrphids-diptera,1
8_1_olesen_2002_azores,1,3_Bee,1
8_1_olesen_2002_azores,1,3_Lepidoptera,1
8_1_olesen_2002_azores,1,4_Non-syrphids-diptera,1
8_1_olesen_2002_azores,1,5_Bee,1
8_1_olesen_2002_azores,1,5_Lepidoptera,1
8_1_olesen_2002_azores,2,1_2_Non-syrphids-diptera,1
8_1_olesen_2002_azores,2,1_4_Non-syrphids-diptera,1
8_1_olesen_2002_azores,2,2_3_Bee,1
8_1_olesen_2002_azores,2,2_3_Lepidoptera,1
8_1_olesen_2002_azores,2,2_4_Non-syrphids-diptera,1
8_1_olesen_2002_azores,2,2_5_Bee,1
8_1_olesen_2002_azores,2,2_5_Lepidoptera,1
8_1_olesen_2002_azores,2,3_5_Bee,1
8_1_olesen_2002_azores,2,3_5_Lepidoptera,1
8_1_olesen_2002_azores,3,1_Non-syrphids-diptera_Syrphids,1
8_1_olesen_2002_azores,3,2_Bee_Lepidoptera,1
8_1_olesen_2002_azores,3,2_Bee_Non-bee-Hymenoptera,1
8_1_olesen_2002_azores,3,2_Bee_Non-syrphids-diptera,1
8_1_olesen_2002_azores,3,2_Lepidoptera_Non-bee-Hymenoptera,1
8_1_olesen_2002_azores,3,2_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,3,2_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,3,3_Bee_Lepidoptera,1
8_1_olesen_2002_azores,3,5_Bee_Lepidoptera,1
8_1_olesen_2002_azores,4,2_Bee_Lepidoptera_Non-bee-Hymenoptera,1
8_1_olesen_2002_azores,4,2_Bee_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,4,2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,4,2_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,1_2_Bee_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,1_2_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,1_2_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,2_1_Syrphids_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,3_2_Non-bee-Hymenoptera_Bee,1
8_1_olesen_2002_azores,5,3_2_Non-bee-Hymenoptera_Lepidoptera,1
8_1_olesen_2002_azores,5,3_2_Non-syrphids-diptera_Bee,1
8_1_olesen_2002_azores,5,3_2_Non-syrphids-diptera_Lepidoptera,1
8_1_olesen_2002_azores,5,4_1_Syrphids_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,4_2_Bee_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,4_2_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,4_2_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,5,5_2_Non-bee-Hymenoptera_Bee,1
8_1_olesen_2002_azores,5,5_2_Non-bee-Hymenoptera_Lepidoptera,1
8_1_olesen_2002_azores,5,5_2_Non-syrphids-diptera_Bee,1
8_1_olesen_2002_azores,5,5_2_Non-syrphids-diptera_Lepidoptera,1
8_1_olesen_2002_azores,6,2_3_Bee_Lepidoptera,1
8_1_olesen_2002_azores,6,2_5_Bee_Lepidoptera,1
8_1_olesen_2002_azores,6,3_5_Bee_Lepidoptera,1
8_1_olesen_2002_azores,7,1_2_4_Non-syrphids-diptera,1
8_1_olesen_2002_azores,7,2_3_5_Bee,1
8_1_olesen_2002_azores,7,2_3_5_Lepidoptera,1
8_1_olesen_2002_azores,8,2_Bee_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,9,1_2_Bee_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,9,1_2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,9,1_2_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,9,3_2_Non-bee-Hymenoptera_Non-syrphids-diptera_Bee,1
8_1_olesen_2002_azores,9,3_2_Non-bee-Hymenoptera_Non-syrphids-diptera_Lepidoptera,1
8_1_olesen_2002_azores,9,4_2_Bee_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,9,4_2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,9,4_2_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,9,5_2_Non-bee-Hymenoptera_Non-syrphids-diptera_Bee,1
8_1_olesen_2002_azores,9,5_2_Non-bee-Hymenoptera_Non-syrphids-diptera_Lepidoptera,1
8_1_olesen_2002_azores,10,1_2_Bee_Syrphids_Non-syrphids-diptera,1
8_1_olesen_2002_azores,10,1_2_Lepidoptera_Syrphids_Non-syrphids-diptera,1
8_1_olesen_2002_azores,10,1_2_Non-bee-Hymenoptera_Syrphids_Non-syrphids-diptera,1
8_1_olesen_2002_azores,11,3_2_Non-bee-Hymenoptera_Bee_Lepidoptera,1
8_1_olesen_2002_azores,11,3_2_Non-syrphids-diptera_Bee_Lepidoptera,1
8_1_olesen_2002_azores,11,5_2_Non-bee-Hymenoptera_Bee_Lepidoptera,1
8_1_olesen_2002_azores,11,5_2_Non-syrphids-diptera_Bee_Lepidoptera,1
8_1_olesen_2002_azores,13,1_4_2_Bee_Non-syrphids-diptera,1
8_1_olesen_2002_azores,13,1_4_2_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,13,1_4_2_Non-bee-Hymenoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,13,2_4_1_Syrphids_Non-syrphids-diptera,1
8_1_olesen_2002_azores,13,3_5_2_Non-bee-Hymenoptera_Bee,1
8_1_olesen_2002_azores,13,3_5_2_Non-bee-Hymenoptera_Lepidoptera,1
8_1_olesen_2002_azores,13,3_5_2_Non-syrphids-diptera_Bee,1
8_1_olesen_2002_azores,13,3_5_2_Non-syrphids-diptera_Lepidoptera,1
8_1_olesen_2002_azores,14,1_3_2_Bee_Non-syrphids-diptera,1
8_1_olesen_2002_azores,14,1_3_2_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,14,1_5_2_Bee_Non-syrphids-diptera,1
8_1_olesen_2002_azores,14,1_5_2_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,14,3_4_2_Bee_Non-syrphids-diptera,1
8_1_olesen_2002_azores,14,3_4_2_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,14,4_5_2_Bee_Non-syrphids-diptera,1
8_1_olesen_2002_azores,14,4_5_2_Lepidoptera_Non-syrphids-diptera,1
8_1_olesen_2002_azores,16,2_3_5_Bee_Lepidoptera,1
