Network_id,Motif_pattern_id,Motif_functional_ID,Counts
8_2_olesen_2002_mauritius,1,1_Bee,1
8_2_olesen_2002_mauritius,1,1_Lepidoptera,1
8_2_olesen_2002_mauritius,1,1_Lizards,1
8_2_olesen_2002_mauritius,1,1_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,1,2_Bee,1
8_2_olesen_2002_mauritius,1,2_Coleoptera,1
8_2_olesen_2002_mauritius,1,2_Lepidoptera,1
8_2_olesen_2002_mauritius,1,2_Lizards,1
8_2_olesen_2002_mauritius,1,2_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,1,2_Syrphids,1
8_2_olesen_2002_mauritius,1,5_Bee,1
8_2_olesen_2002_mauritius,1,5_Lizards,1
8_2_olesen_2002_mauritius,2,1_2_Bee,1
8_2_olesen_2002_mauritius,2,1_2_Lepidoptera,1
8_2_olesen_2002_mauritius,2,1_2_Lizards,1
8_2_olesen_2002_mauritius,2,1_2_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,2,1_5_Bee,1
8_2_olesen_2002_mauritius,2,1_5_Lizards,1
8_2_olesen_2002_mauritius,2,2_5_Bee,1
8_2_olesen_2002_mauritius,2,2_5_Lizards,1
8_2_olesen_2002_mauritius,3,1_Bee_Lepidoptera,1
8_2_olesen_2002_mauritius,3,1_Bee_Lizards,1
8_2_olesen_2002_mauritius,3,1_Bee_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,3,1_Lepidoptera_Lizards,1
8_2_olesen_2002_mauritius,3,1_Lepidoptera_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,3,1_Lizards_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,3,2_Bee_Coleoptera,1
8_2_olesen_2002_mauritius,3,2_Bee_Lepidoptera,1
8_2_olesen_2002_mauritius,3,2_Bee_Lizards,1
8_2_olesen_2002_mauritius,3,2_Bee_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,3,2_Bee_Syrphids,1
8_2_olesen_2002_mauritius,3,2_Coleoptera_Lepidoptera,1
8_2_olesen_2002_mauritius,3,2_Coleoptera_Lizards,1
8_2_olesen_2002_mauritius,3,2_Coleoptera_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,3,2_Coleoptera_Syrphids,1
8_2_olesen_2002_mauritius,3,2_Lepidoptera_Lizards,1
8_2_olesen_2002_mauritius,3,2_Lepidoptera_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,3,2_Lepidoptera_Syrphids,1
8_2_olesen_2002_mauritius,3,2_Lizards_Non-syrphids-diptera,1
8_2_olesen_2002_mauritius,3,2_Lizards_Syrphids,1
8_2_olesen_2002_mauritius,3,2_Non-syrphids-diptera_Syrphids,1
8_2_olesen_2002_mauritius,3,5_Bee_Lizards,1
8_2_olesen_2002_mauritius,4,1_Bee_Lepidoptera_Lizards,1
8_2_olesen_2002_mauritius,4,1_Bee_Lepidoptera_Non-syrphids-diptera,1
