Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,1,Cistus ladanifer,Lasioglossum malachurum
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,2,Cistus crispus,Lasioglossum malachurum
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,3,Cistus crispus,Flavipanurgus venustus
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,4,Cistus crispus,Apis mellifera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,5,Cistus crispus,Dasypoda albimana
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,6,Cistus crispus,Eucera chrysopyga
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,7,Cistus ladanifer,Apis mellifera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,8,Thapsia villosa,Apis mellifera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,9,Rosmarinus officinalis,Apis mellifera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,10,Lavandula stoechas,Apis mellifera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,11,Cistus salviifolius,Apis mellifera
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,12,Cistus ladanifer,Anthophora hispanica
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,13,Cistus ladanifer,Andrena flavipes
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,14,Cistus ladanifer,Empis sp.
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,15,Cistus ladanifer,Eristalis similis
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,16,Cistus ladanifer,Empis testacea
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,17,Cistus monspeliensis,Lasioglossum imminutus
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,18,Cistus monspeliensis,Mycterus curculioides
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,19,Cistus salviifolius,Heliotaurus ruficollis
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,20,Echium plantagineum,Andrena nigroaenaea
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,21,Lavandula stoechas,Eucera sp.
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,22,Lavandula stoechas,Xylocopa cantabrita
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,23,Lavandula stoechas,Conopidae sp.
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,24,Lavandula stoechas,Bombylius sp.
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,25,Lavandula stoechas,Anthophora dispar
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,26,Rosmarinus officinalis,Xylocopa cantabrita
12_10_bartomeus_spain_2008_Lasmulas_unp,1,2,27,Ranunculus sp.,Panurgus calcaratus
