Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,1,Andryala integrifolia,Panurgus dargius
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,2,Cistus libanotis,Chrysura refulgens
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,3,Cistus libanotis,Bombus terrestris
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,4,Cistus libanotis,Colletes sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,5,Cistus libanotis,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,6,Ulex parviflorus,Bombus terrestris
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,7,Diplotaxis virgata,Colletes sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,8,Spartium junceum,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,9,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,10,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,11,Cistus salviifolius,Lasioglossum bimaculatus
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,12,Cistus salviifolius,Nomada melathoracica
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,13,Cistus salviifolius,Lasioglossum malachurum
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,14,Cistus salviifolius,Psilothrix viridicoerulea
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,15,Cistus salviifolius,Lasioglossum sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,16,Cistus salviifolius,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,17,Cistus salviifolius,Dasypoda crassicornis
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,18,Spartium junceum,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,19,Rosmarinus officinalis,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,20,Diplotaxis virgata,Tenthredo corynetes
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,1,2,21,Diplotaxis virgata,Colletes acutus
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,1,Cistus libanotis,Bombus terrestris
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,1,Ulex parviflorus,Bombus terrestris
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,2,Cistus libanotis,Colletes sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,2,Diplotaxis virgata,Colletes sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,3,Cistus libanotis,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,3,Spartium junceum,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,4,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,4,Spartium junceum,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,5,Cistus libanotis,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,5,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,6,Cistus salviifolius,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,6,Spartium junceum,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,7,Rosmarinus officinalis,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,7,Spartium junceum,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,8,Cistus salviifolius,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,2,3,8,Rosmarinus officinalis,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,1,Cistus libanotis,Chrysura refulgens
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,1,Cistus libanotis,Colletes sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,2,Cistus libanotis,Chrysura refulgens
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,2,Cistus libanotis,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,3,Cistus libanotis,Chrysura refulgens
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,3,Cistus libanotis,Bombus terrestris
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,4,Cistus libanotis,Bombus terrestris
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,4,Cistus libanotis,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,5,Cistus libanotis,Colletes sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,5,Cistus libanotis,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,6,Cistus libanotis,Bombus terrestris
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,6,Cistus libanotis,Colletes sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,7,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,7,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,8,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,8,Cistus salviifolius,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,9,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,9,Cistus salviifolius,Lasioglossum sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,10,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,10,Cistus salviifolius,Dasypoda crassicornis
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,11,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,11,Cistus salviifolius,Lasioglossum bimaculatus
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,12,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,12,Cistus salviifolius,Nomada melathoracica
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,13,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,13,Cistus salviifolius,Lasioglossum malachurum
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,14,Cistus salviifolius,Xylocopa cantabrita
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,14,Cistus salviifolius,Psilothrix viridicoerulea
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,15,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,15,Cistus salviifolius,Psilothrix viridicoerulea
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,16,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,16,Cistus salviifolius,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,17,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,17,Cistus salviifolius,Lasioglossum sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,18,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,18,Cistus salviifolius,Dasypoda crassicornis
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,19,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,19,Cistus salviifolius,Lasioglossum bimaculatus
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,20,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,20,Cistus salviifolius,Nomada melathoracica
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,21,Cistus salviifolius,Colletes nigricans
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,21,Cistus salviifolius,Lasioglossum malachurum
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,22,Cistus salviifolius,Lasioglossum malachurum
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,22,Cistus salviifolius,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,23,Cistus salviifolius,Psilothrix viridicoerulea
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,23,Cistus salviifolius,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,24,Cistus salviifolius,Lasioglossum sp.
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,24,Cistus salviifolius,Apis mellifera
12_12_bartomeus_spain_2008_PinaresdeHinojos_unp,3,3,25,Cistus salviifolius,Dasypoda crassicornis
