Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,1,Cistus crispus,Panurgus cephalotes
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,2,Cistus crispus,Dasypoda cingulata
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,3,Cistus crispus,Lasioglossum imminutus
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,4,Cistus crispus,Eumenes coarctatus
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,5,Cistus crispus,Panurgus banksianus
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,6,Cistus crispus,Dischistus senex
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,7,Cistus crispus,Flavipanurgus venustus
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,8,Cistus crispus,Lasioglossum malachurum
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,9,Cistus crispus,Bembix oculata
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,10,Cistus crispus,Andrena hispania
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,11,Cistus crispus,Apis mellifera
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,12,Cistus crispus,Eucera collaris
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,13,Rosmarinus officinalis,Lasioglossum malachurum
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,14,Rosmarinus officinalis,Apis mellifera
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,15,Spartium junceum,Apis mellifera
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,16,Cistus ladanifer,Apis mellifera
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,17,Genista hirsuta,Apis mellifera
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,18,Cistus salviifolius,Apis mellifera
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,19,Cistus ladanifer,Eristalis sp.
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,20,Cistus ladanifer,Vespula germanica
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,21,Cistus ladanifer,Musca sp.
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,22,Cistus ladanifer,Andrena fertoni
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,2,23,Cistus ladanifer,Oxythyrea funesta
