Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,1,Andryala integrifolia,Exosoma lusitanicum
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,2,Andryala integrifolia,Panurgus banksianus
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,3,Andryala integrifolia,Panurgus calcaratus
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,4,Halimium halimifolium,Dasypoda crassicornis
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,5,Armeria velutina,Dasypoda crassicornis
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,6,Armeria velutina,Dasypoda cingulata
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,7,Armeria velutina,Machimus sp.
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,8,Halimium halimifolium,Dasypoda cingulata
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,9,Cistus crispus,Pangonius micans
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,10,Cistus crispus,Andrena nigroaenaea
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,11,Cistus crispus,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,12,Cistus crispus,Andrena flavipes
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,13,Halimium halimifolium,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,14,Rosmarinus officinalis,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,15,Cistus salviifolius,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,16,Lavandula stoechas,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,17,Genista hirsuta,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,18,Cistus salviifolius,Eucera bolivari
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,19,Cistus salviifolius,Eristalinus taeniops
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,20,Cistus salviifolius,Bibio sp.
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,21,Cistus salviifolius,Empis sp.
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,22,Cistus salviifolius,Sphaerophoria scripta
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,23,Cistus salviifolius,Lasioglossum malachurum
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,24,Cistus salviifolius,Panurgus dargius
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,25,Cistus salviifolius,Merodon sp.
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,26,Cistus salviifolius,Eucera collaris
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,27,Cistus salviifolius,Calliphora sp.
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,28,Cistus salviifolius,Eucera sp.
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,29,Cistus salviifolius,Dasypoda iberica
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,30,Lavandula stoechas,Empis sp.
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,31,Convolvulus arvensis,Panurgus dargius
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,32,Halimium halimifolium,Dasypoda albimana
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,33,Lavandula stoechas,Nomada sp.
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,34,Rosmarinus officinalis,Pieris rapae
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,1,Armeria velutina,Dasypoda crassicornis
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,1,Halimium halimifolium,Dasypoda crassicornis
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,2,Armeria velutina,Dasypoda cingulata
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,2,Halimium halimifolium,Dasypoda cingulata
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,3,Cistus crispus,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,3,Halimium halimifolium,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,4,Halimium halimifolium,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,4,Rosmarinus officinalis,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,5,Halimium halimifolium,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,5,Lavandula stoechas,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,6,Genista hirsuta,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,6,Halimium halimifolium,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,7,Cistus salviifolius,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,7,Halimium halimifolium,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,8,Cistus salviifolius,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,8,Rosmarinus officinalis,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,9,Cistus crispus,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,9,Rosmarinus officinalis,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,10,Lavandula stoechas,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,10,Rosmarinus officinalis,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,11,Genista hirsuta,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,11,Rosmarinus officinalis,Apis mellifera
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,12,Cistus crispus,Apis mellifera
