Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,1,Teucrium fruticans,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,2,Asphodelus fistulosus,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,3,Rosmarinus officinalis,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,4,Lavandula stoechas,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,5,Lavandula pedunculata,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,6,Cistus salviifolius,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,7,Cistus crispus,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,8,Cistus monspeliensis,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,9,Cistus ladanifer,Apis mellifera
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,10,Asphodelus fistulosus,Bombus terrestris
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,11,Asphodelus fistulosus,Calliphora sp.
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,12,Asphodelus fistulosus,Empis sp.1
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,13,Teucrium fruticans,Bombus terrestris
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,14,Cistus crispus,Flavipanurgus venustus
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,15,Cistus crispus,Hoplitis adunca
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,16,Cistus crispus,Panurgus calcaratus
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,17,Cistus crispus,Xylocopa cantabrita
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,18,Cistus crispus,Andrena nigroaenaea
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,19,Cistus crispus,Pseudoanthidium lituratum
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,20,Cistus crispus,Eucera elongatula
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,21,Cistus crispus,Andrena tenuistriata
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,22,Cistus crispus,Eucera codinai
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,23,Cistus crispus,Eucera hispaliensis
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,24,Cistus crispus,Heliotaurus ruficollis
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,25,Cistus crispus,Andrena nitidiuscula
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,26,Cistus crispus,Eristalis arbustorum
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,27,Cistus crispus,Dasypoda cingulata
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,28,Cistus crispus,Dasypoda argentata
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,29,Cistus crispus,Osmia leaiana
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,30,Echium plantagineum,Hoplitis adunca
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,2,31,Malva multiflora,Osmia leaiana
