Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,1,Teucrium fruticans,Xylocopa cantabrita
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,2,Cistus crispus,Xylocopa cantabrita
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,3,Rosmarinus officinalis,Xylocopa cantabrita
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,4,Halimium halimifolium,Xylocopa cantabrita
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,5,Cistus ladanifer,Exosoma lusitanicum
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,6,Cistus ladanifer,Apis mellifera
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,7,Cistus ladanifer,Oxythyrea funesta
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,8,Cistus ladanifer,Eucera alternans
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,9,Cistus ladanifer,Tropinota squalida
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,10,Rosmarinus officinalis,Apis mellifera
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,11,Spartium junceum,Apis mellifera
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,12,Teucrium fruticans,Apis mellifera
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,13,Retama sp.,Apis mellifera
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,14,Cistus salviifolius,Apis mellifera
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,15,Lavandula stoechas,Apis mellifera
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,16,Cistus salviifolius,Chasmatopterus villosulus
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,1,2,17,Halimium halimifolium,Ammophila heydeni
