Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,1,Cistus salviifolius,Psilothrix viridicoerulea
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,2,Cistus albidus,Psilothrix viridicoerulea
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,3,Cistus albidus,Bombus terrestris
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,4,Cistus albidus,Apis mellifera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,5,Cistus albidus,Empis tessellata
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,6,Cistus albidus,Andrena nigroaenaea
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,7,Lavandula stoechas,Bombus terrestris
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,8,Lavandula stoechas,Apis mellifera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,9,Rosmarinus officinalis,Apis mellifera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,10,Rosmarinus officinalis,Andrena nigroaenaea
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,11,Convolvulus arvensis,Eucera alternans
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,12,Halimium commutatum,Platynochaetus setosus
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,13,Lavandula stoechas,Lestica clypeata
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,14,Rosmarinus officinalis,Xylocopa cantabrita
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,15,Rosmarinus officinalis,Eucera sp.
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,16,Rosmarinus officinalis,Andrena ferrugineicrus
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,17,Rosmarinus officinalis,Ceratina cucurbitina
12_5_bartomeus_spain_2008_Elpinar_unp,2,3,1,Cistus albidus,Psilothrix viridicoerulea
12_5_bartomeus_spain_2008_Elpinar_unp,2,3,1,Cistus salviifolius,Psilothrix viridicoerulea
12_5_bartomeus_spain_2008_Elpinar_unp,2,3,2,Cistus albidus,Bombus terrestris
12_5_bartomeus_spain_2008_Elpinar_unp,2,3,2,Lavandula stoechas,Bombus terrestris
12_5_bartomeus_spain_2008_Elpinar_unp,2,3,3,Cistus albidus,Apis mellifera
12_5_bartomeus_spain_2008_Elpinar_unp,2,3,3,Lavandula stoechas,Apis mellifera
