Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,1,Armeria velutina,Apidae sp.
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,2,Armeria velutina,Tenthredo sp.
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,3,Armeria velutina,Halictus tridivisus
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,4,Armeria velutina,Cerceris sp.1
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,5,Armeria velutina,Usia sp.1
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,6,Armeria velutina,Osmia fulviventris
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,7,Armeria velutina,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,8,Scabiosa atropurpurea,Halictus tridivisus
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,9,Halimium commutatum,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,10,Cistus salviifolius,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,11,Chamaemelum fuscatum,Lasioglossum sp.1
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,12,Cistus libanotis,Episyrphus balteatus
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,13,Cistus libanotis,Dasypoda sp.
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,14,Cistus salviifolius,Lasioglossum bimaculatus
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,15,Cistus salviifolius,Andrena sp.
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,16,Cistus salviifolius,Chasmatopterus illigeri
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,17,Cistus salviifolius,Lasioglossum leucozonium
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,18,Halimium commutatum,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,19,Lavandula pedunculata,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,20,Lavandula stoechas,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,21,Lavandula pedunculata,Anthophora atroalba
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,22,Lavandula pedunculata,Pieris rapae
12_7_bartomeus_spain_2008_Esparragal_unp,1,2,23,Lavandula stoechas,Eucera collaris
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,1,Armeria velutina,Halictus tridivisus
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,1,Scabiosa atropurpurea,Halictus tridivisus
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,2,Armeria velutina,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,2,Halimium commutatum,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,3,Armeria velutina,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,3,Cistus salviifolius,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,4,Cistus salviifolius,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,4,Halimium commutatum,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,5,Halimium commutatum,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,5,Lavandula stoechas,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,6,Lavandula pedunculata,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,6,Lavandula stoechas,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,7,Halimium commutatum,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,2,3,7,Lavandula pedunculata,Apis mellifera
12_7_bartomeus_spain_2008_Esparragal_unp,3,3,1,Armeria velutina,Apidae sp.
12_7_bartomeus_spain_2008_Esparragal_unp,3,3,1,Armeria velutina,Osmia fulviventris
12_7_bartomeus_spain_2008_Esparragal_unp,3,3,2,Armeria velutina,Apidae sp.
12_7_bartomeus_spain_2008_Esparragal_unp,3,3,2,Armeria velutina,Lasioglossum malachurum
12_7_bartomeus_spain_2008_Esparragal_unp,3,3,3,Armeria velutina,Apidae sp.
12_7_bartomeus_spain_2008_Esparragal_unp,3,3,3,Armeria velutina,Tenthredo sp.
