Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
6_1_inouye_1988_australia,1,2,1,Gentianella diemensis,Lasioglossum sp.9
6_1_inouye_1988_australia,1,2,2,Achillea millefolium,Lasioglossum sp.9
6_1_inouye_1988_australia,1,2,3,Achillea millefolium,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,4,Wahlenbergia ceracea,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,5,Prostanthera cuneata,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,6,Oxylobium ellipticum,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,7,Orites lancifolius,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,8,Microseris lanceolata,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,9,Kunzea muelleri,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,10,Acrothamnus montanus,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,11,Hypochaeris radicata,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,12,Euphrasia collina,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,13,Epacris petrophila,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,14,Celmisia asteliifolia,Lasioglossum sp.6
6_1_inouye_1988_australia,1,2,15,Celmisia asteliifolia,Musca vetustissima
6_1_inouye_1988_australia,1,2,16,Gentianella diemensis,Musca vetustissima
6_1_inouye_1988_australia,1,2,17,Aciphylla glacialis,Musca vetustissima
6_1_inouye_1988_australia,1,2,18,Leucochrysum albicans,Musca vetustissima
6_1_inouye_1988_australia,1,2,19,Anaphalioides alpinum,Musca vetustissima
6_1_inouye_1988_australia,1,2,20,Orites lancifolius,Musca vetustissima
6_1_inouye_1988_australia,1,2,21,Baeckea gunniana,Musca vetustissima
6_1_inouye_1988_australia,1,2,22,Epilobium gunnianum,Musca vetustissima
6_1_inouye_1988_australia,1,2,23,Acrothamnus montanus,Musca vetustissima
6_1_inouye_1988_australia,1,2,24,Hypochaeris radicata,Musca vetustissima
6_1_inouye_1988_australia,1,2,25,Epacris petrophila,Musca vetustissima
6_1_inouye_1988_australia,1,2,26,Aciphylla glacialis,Scaptomyza australis
6_1_inouye_1988_australia,1,2,27,Aciphylla glacialis,Comptosia sylvana
6_1_inouye_1988_australia,1,2,28,Hypochaeris radicata,Scaptomyza australis
6_1_inouye_1988_australia,1,2,29,Orites lancifolius,Comptosia sylvana
6_1_inouye_1988_australia,1,2,30,Aciphylla simplicifolia,Sphenella marginata
6_1_inouye_1988_australia,1,2,31,Epacris petrophila,Tabanus froggatti
6_1_inouye_1988_australia,1,2,32,Pentachondra pumila,Tabanus froggatti
6_1_inouye_1988_australia,1,2,33,Baeckea gunniana,Tabanus froggatti
6_1_inouye_1988_australia,1,2,34,Baeckea gunniana,Tapeigaster nigricornis
6_1_inouye_1988_australia,1,2,35,Celmisia asteliifolia,Lasioglossum sp.8
6_1_inouye_1988_australia,1,2,36,Hypochaeris radicata,Lasioglossum sp.8
6_1_inouye_1988_australia,1,2,37,Prostanthera cuneata,Lasioglossum sp.8
6_1_inouye_1988_australia,1,2,38,Senecio lautus,Lasioglossum sp.8
6_1_inouye_1988_australia,1,2,39,Oxylobium ellipticum,Lasioglossum sp.8
