Network_id,Motif_pattern_id,Nodes,Motif_number,Type,Node_id,Degree,Position,Functional_group,Motif_functional_ID
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,1,Plant,Rosmarinus officinalis,1,1,2,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,1,Pollinator,Andrena nigroaenaea,1,2,Bee,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,2,Plant,Cistus albidus,1,1,3,3_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,2,Pollinator,Andrena nigroaenaea,1,2,Bee,3_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,3,Plant,Cistus albidus,1,1,3,3_Non-syrphids-diptera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,3,Pollinator,Empis tessellata,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,4,Plant,Cistus albidus,1,1,3,3_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,4,Pollinator,Apis mellifera,1,2,Bee,3_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,5,Plant,Cistus albidus,1,1,3,3_Coleoptera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,5,Pollinator,Psilothrix viridicoerulea,1,2,Coleoptera,3_Coleoptera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,6,Plant,Cistus albidus,1,1,3,3_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,6,Pollinator,Bombus terrestris,1,2,Bee,3_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,7,Plant,Rosmarinus officinalis,1,1,2,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,7,Pollinator,Apis mellifera,1,2,Bee,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,8,Plant,Lavandula stoechas,1,1,2,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,8,Pollinator,Apis mellifera,1,2,Bee,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,9,Plant,Cistus salviifolius,1,1,3,3_Coleoptera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,9,Pollinator,Psilothrix viridicoerulea,1,2,Coleoptera,3_Coleoptera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,10,Plant,Lavandula stoechas,1,1,2,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,10,Pollinator,Bombus terrestris,1,2,Bee,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,11,Plant,Convolvulus arvensis,1,1,3,3_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,11,Pollinator,Eucera alternans,1,2,Bee,3_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,12,Plant,Halimium commutatum,1,1,3,3_Syrphids
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,12,Pollinator,Platynochaetus setosus,1,2,Syrphids,3_Syrphids
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,13,Plant,Lavandula stoechas,1,1,2,2_Non-bee-Hymenoptera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,13,Pollinator,Lestica clypeata,1,2,Non-bee-Hymenoptera,2_Non-bee-Hymenoptera
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,14,Plant,Rosmarinus officinalis,1,1,2,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,14,Pollinator,Andrena ferrugineicrus,1,2,Bee,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,15,Plant,Rosmarinus officinalis,1,1,2,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,15,Pollinator,Eucera sp.,1,2,Bee,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,16,Plant,Rosmarinus officinalis,1,1,2,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,16,Pollinator,Ceratina cucurbitina,1,2,Bee,2_Bee
12_5_bartomeus_spain_2008_Elpinar_unp,1,2,17,Plant,Rosmarinus officinalis,1,1,2,2_Bee
