Network_id,Motif_pattern_id,Nodes,Motif_number,Type,Node_id,Degree,Position,Functional_group,Motif_functional_ID
15_2_peralta_2006_mendoza_site_2,1,2,1,Plant,Aloysia gratissima,1,1,1,1_Syrphids
15_2_peralta_2006_mendoza_site_2,1,2,1,Pollinator,Copestilum sp.2,1,2,Syrphids,1_Syrphids
15_2_peralta_2006_mendoza_site_2,1,2,2,Plant,Acantholippia seriphioides,1,1,3,3_Syrphids
15_2_peralta_2006_mendoza_site_2,1,2,2,Pollinator,Copestilum sp.2,1,2,Syrphids,3_Syrphids
15_2_peralta_2006_mendoza_site_2,1,2,3,Plant,Acantholippia seriphioides,1,1,3,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,3,Pollinator,Chrysanthrax sp.1,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,4,Plant,Acantholippia seriphioides,1,1,3,3_Lepidoptera
15_2_peralta_2006_mendoza_site_2,1,2,4,Pollinator,Strymon eurytulus,1,2,Lepidoptera,3_Lepidoptera
15_2_peralta_2006_mendoza_site_2,1,2,5,Plant,Prosopis flexuosa,1,1,3,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,5,Pollinator,Chrysanthrax sp.1,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,6,Plant,Condalia microphylla,1,1,3,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,6,Pollinator,Chrysanthrax sp.1,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,7,Plant,Prosopis flexuosa,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,7,Pollinator,Apis mellifera,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,8,Plant,Condalia microphylla,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,8,Pollinator,Apis mellifera,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,9,Plant,Aloysia gratissima,1,1,1,1_Bee
15_2_peralta_2006_mendoza_site_2,1,2,9,Pollinator,Apis mellifera,1,2,Bee,1_Bee
15_2_peralta_2006_mendoza_site_2,1,2,10,Plant,Lycium chilense,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,10,Pollinator,Apis mellifera,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,11,Plant,Larrea divaricata,1,1,2,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,11,Pollinator,Apis mellifera,1,2,Bee,2_Bee
