Network_id,Motif_pattern_id,Motif_functional_ID,Counts
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,771
11_4_kaiser-bunbury_2017_seychelles_reserve,13,13_2_2_4_Non-syrphids-diptera_Bee,557
11_4_kaiser-bunbury_2017_seychelles_reserve,13,13_2_4_4_Non-syrphids-diptera_Bee,536
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,520
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_2_4_Bee_Non-syrphids-diptera_Bee,367
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,333
11_4_kaiser-bunbury_2017_seychelles_reserve,13,13_2_3_4_Non-syrphids-diptera_Bee,318
11_4_kaiser-bunbury_2017_seychelles_reserve,5,5_2_4_Non-syrphids-diptera_Bee,259
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,258
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,258
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,253
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,252
11_4_kaiser-bunbury_2017_seychelles_reserve,4,4_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,246
11_4_kaiser-bunbury_2017_seychelles_reserve,11,11_4_4_Non-syrphids-diptera_Bee_Non-syrphids-diptera,245
11_4_kaiser-bunbury_2017_seychelles_reserve,13,13_1_2_4_Non-syrphids-diptera_Bee,241
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_2_4_Non-bee-Hymenoptera_Non-syrphids-diptera_Bee,236
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_2_4_Non-syrphids-diptera_Syrphids_Bee,236
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Bee_Lizards_Non-syrphids-diptera_Non-syrphids-diptera,234
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,234
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,228
11_4_kaiser-bunbury_2017_seychelles_reserve,17,17_2_2_4_4_Bee,190
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_3_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,185
11_4_kaiser-bunbury_2017_seychelles_reserve,15,15_2_4_4_Non-syrphids-diptera_Bee,179
11_4_kaiser-bunbury_2017_seychelles_reserve,13,13_2_4_2_Non-syrphids-diptera_Bee,178
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_3_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,175
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,174
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,174
11_4_kaiser-bunbury_2017_seychelles_reserve,4,4_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,173
11_4_kaiser-bunbury_2017_seychelles_reserve,10,10_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,173
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Lizards_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,172
11_4_kaiser-bunbury_2017_seychelles_reserve,17,17_2_2_3_4_Bee,170
11_4_kaiser-bunbury_2017_seychelles_reserve,8,8_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,169
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_2_4_Lizards_Non-syrphids-diptera_Bee,168
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,168
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-bee-Hymenoptera,162
11_4_kaiser-bunbury_2017_seychelles_reserve,10,10_2_4_Bee_Non-syrphids-diptera_Bee,153
11_4_kaiser-bunbury_2017_seychelles_reserve,9,9_2_4_Coleoptera_Non-syrphids-diptera_Bee,151
