Network_id,Motif_pattern_id,Motif_functional_ID,Counts
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Bee_Non-bee-Hymenoptera,178
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_3_3_Bee_Bee_Bee,160
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Bee_Bee,136
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,4,4_3_Bee_Bee_Bee,104
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Bee_Non-syrphids-diptera,104
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,13,13_3_3_3_Bee_Bee,90
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,4,4_3_Bee_Bee_Non-bee-Hymenoptera,82
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,82
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_3_3_Bee_Non-bee-Hymenoptera_Bee,82
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,10,10_3_3_Bee_Bee_Bee,82
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,10,10_3_5_Bee_Bee_Bee,76
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,5,5_3_3_Bee_Bee,68
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_3_3_Bee_Non-syrphids-diptera_Bee,68
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,3,3_3_Bee_Bee,56
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,4,4_3_Bee_Bee_Non-syrphids-diptera,56
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_3_3_Bee_Syrphids_Bee,54
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_5_3_Bee_Bee_Bee,54
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,13,13_3_5_3_Bee_Bee,54
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,10,10_3_3_Bee_Syrphids_Bee,42
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Non-bee-Hymenoptera_Non-bee-Hymenoptera,36
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_3_3_Bee_Coleoptera_Bee,36
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,10,10_3_3_Bee_Non-syrphids-diptera_Bee,36
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_5_3_Bee_Non-bee-Hymenoptera_Bee,32
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,13,13_3_3_5_Bee_Bee,32
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,4,4_3_Bee_Bee_Syrphids,30
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Bee_Syrphids,30
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Coleoptera_Syrphids,30
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Non-syrphids-diptera_Syrphids,30
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_3_5_Bee_Bee_Bee,30
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,10,10_3_3_Bee_Non-bee-Hymenoptera_Bee,30
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,10,10_3_3_Bee_Coleoptera_Bee,28
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,5,5_3_5_Bee_Bee,24
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,5,5_5_3_Bee_Bee,24
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,9,9_5_3_Bee_Non-syrphids-diptera_Bee,24
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,3,3_3_Bee_Non-bee-Hymenoptera,23
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,4,4_3_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,23
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,1,1_3_Bee,21
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,4,4_3_Bee_Bee_Coleoptera,20
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Bee_Coleoptera,20
12_15_bartomeus_spain_2008_Villamanriqueeste_unp,8,8_3_Bee_Bee_Coleoptera_Non-syrphids-diptera,20
