Network_id,Motif_pattern_id,Motif_functional_ID,Counts
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_3_Bee_Bee_Bee_Bee,1366
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_5_3_Bee_Bee_Bee,640
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_3_Bee_Bee_Bee_Syrphids,468
12_1_bartomeus_spain_2008_Aznalcazar_unp,4,4_3_Bee_Bee_Bee,460
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_3_Bee_Bee_Bee_Coleoptera,455
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_3_3_Bee_Bee_Bee,411
12_1_bartomeus_spain_2008_Aznalcazar_unp,10,10_3_5_Bee_Bee_Bee,306
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_3_5_3_Bee_Bee,252
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_3_5_Bee_Bee_Bee,218
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_5_Bee_Bee_Bee_Bee,210
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_5_5_Bee_Bee_Bee,164
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_5_3_Bee_Syrphids_Bee,160
12_1_bartomeus_spain_2008_Aznalcazar_unp,5,5_5_3_Bee_Bee,128
12_1_bartomeus_spain_2008_Aznalcazar_unp,10,10_3_3_Bee_Syrphids_Bee,128
12_1_bartomeus_spain_2008_Aznalcazar_unp,4,4_3_Bee_Bee_Syrphids,126
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_3_5_5_Bee_Bee,124
12_1_bartomeus_spain_2008_Aznalcazar_unp,4,4_5_Bee_Bee_Bee,120
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_5_Bee_Bee_Bee_Lepidoptera,120
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_5_Bee_Bee_Bee_Non-bee-Hymenoptera,120
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_5_Bee_Bee_Bee_Non-syrphids-diptera,120
12_1_bartomeus_spain_2008_Aznalcazar_unp,3,3_3_Bee_Bee,114
12_1_bartomeus_spain_2008_Aznalcazar_unp,10,10_3_5_Bee_Syrphids_Bee,114
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_5_5_3_Bee_Bee,108
12_1_bartomeus_spain_2008_Aznalcazar_unp,4,4_3_Bee_Bee_Coleoptera,105
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_3_Bee_Bee_Coleoptera_Syrphids,105
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_5_3_Bee_Coleoptera_Bee,104
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_1_3_Bee_Bee_Bee,95
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_3_3_Bee_Syrphids_Bee,94
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_2_3_Bee_Bee_Bee,91
12_1_bartomeus_spain_2008_Aznalcazar_unp,5,5_3_3_Bee_Bee,83
12_1_bartomeus_spain_2008_Aznalcazar_unp,10,10_3_3_Bee_Bee_Bee,82
12_1_bartomeus_spain_2008_Aznalcazar_unp,5,5_3_5_Bee_Bee,70
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_1_5_3_Bee_Bee,68
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_3_5_Bee_Lepidoptera_Bee,67
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_3_5_Bee_Non-bee-Hymenoptera_Bee,67
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_3_5_Bee_Non-syrphids-diptera_Bee,67
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_3_3_Bee_Coleoptera_Bee,66
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_3_3_3_Bee_Bee,64
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_3_5_3_Syrphids_Bee,64
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_3_3_5_Bee_Bee,62
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_1_5_Bee_Bee_Bee,56
12_1_bartomeus_spain_2008_Aznalcazar_unp,11,11_5_3_Bee_Bee_Bee,56
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_1_3_3_Bee_Bee,51
12_1_bartomeus_spain_2008_Aznalcazar_unp,11,11_3_5_Bee_Bee_Bee,50
12_1_bartomeus_spain_2008_Aznalcazar_unp,3,3_5_Bee_Bee,47
12_1_bartomeus_spain_2008_Aznalcazar_unp,5,5_5_5_Bee_Bee,46
12_1_bartomeus_spain_2008_Aznalcazar_unp,4,4_5_Bee_Bee_Lepidoptera,45
12_1_bartomeus_spain_2008_Aznalcazar_unp,4,4_5_Bee_Bee_Non-bee-Hymenoptera,45
12_1_bartomeus_spain_2008_Aznalcazar_unp,4,4_5_Bee_Bee_Non-syrphids-diptera,45
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_5_Bee_Bee_Lepidoptera_Non-bee-Hymenoptera,45
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_5_Bee_Bee_Lepidoptera_Non-syrphids-diptera,45
12_1_bartomeus_spain_2008_Aznalcazar_unp,8,8_5_Bee_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,45
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_2_5_Bee_Bee_Lepidoptera,45
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_5_5_3_Syrphids_Bee,44
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_5_5_Bee_Lepidoptera_Bee,43
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_5_5_Bee_Non-bee-Hymenoptera_Bee,43
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_5_5_Bee_Non-syrphids-diptera_Bee,43
12_1_bartomeus_spain_2008_Aznalcazar_unp,5,5_5_3_Syrphids_Bee,42
12_1_bartomeus_spain_2008_Aznalcazar_unp,10,10_3_5_Bee_Lepidoptera_Bee,41
12_1_bartomeus_spain_2008_Aznalcazar_unp,10,10_3_5_Bee_Non-bee-Hymenoptera_Bee,41
12_1_bartomeus_spain_2008_Aznalcazar_unp,10,10_3_5_Bee_Non-syrphids-diptera_Bee,41
12_1_bartomeus_spain_2008_Aznalcazar_unp,17,17_3_3_5_5_Bee,39
12_1_bartomeus_spain_2008_Aznalcazar_unp,11,11_3_3_Bee_Bee_Bee,32
12_1_bartomeus_spain_2008_Aznalcazar_unp,3,3_3_Bee_Syrphids,31
12_1_bartomeus_spain_2008_Aznalcazar_unp,7,7_3_3_5_Bee,30
12_1_bartomeus_spain_2008_Aznalcazar_unp,7,7_3_5_5_Bee,28
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_1_3_5_Bee_Bee,28
12_1_bartomeus_spain_2008_Aznalcazar_unp,2,2_3_5_Bee,26
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_5_5_5_Bee_Bee,26
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_1_3_Bee_Syrphids_Bee,25
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_1_5_5_Bee_Bee,25
12_1_bartomeus_spain_2008_Aznalcazar_unp,9,9_5_3_Syrphids_Syrphids_Bee,24
12_1_bartomeus_spain_2008_Aznalcazar_unp,13,13_1_5_3_Syrphids_Bee,24
12_1_bartomeus_spain_2008_Aznalcazar_unp,17,17_1_3_3_5_Bee,24
