Network_id,Motif_pattern_id,Motif_functional_ID,Counts
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,9,9_3_5_Bee_Syrphids_Bee,30
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,5_3_5_Bee_Bee,25
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,13,13_3_5_3_Coleoptera_Bee,24
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,9,9_3_5_Bee_Bee_Bee,20
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,10,10_3_5_Bee_Coleoptera_Bee,20
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,13,13_3_3_5_Bee_Bee,20
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,13,13_3_5_5_Bee_Bee,20
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,13,13_3_5_5_Syrphids_Bee,16
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,2,2_3_5_Bee,13
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,4,4_5_Bee_Bee_Syrphids,12
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,5_5_3_Coleoptera_Bee,12
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,9,9_5_5_Bee_Syrphids_Bee,12
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,13,13_5_5_3_Coleoptera_Bee,12
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,14,14_3_3_5_Bee_Bee,12
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,7,7_3_3_5_Bee,11
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,7,7_3_5_5_Bee,11
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,5_3_5_Syrphids_Bee,10
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,10,10_3_5_Bee_Non-bee-Hymenoptera_Bee,10
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,15,15_3_5_5_Bee_Bee,10
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,17,17_3_3_5_5_Bee,10
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,3_5_Bee_Bee,9
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,9,9_5_3_Bee_Coleoptera_Bee,9
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,9,9_5_3_Coleoptera_Coleoptera_Bee,9
