Network_id,Motif_pattern_id,Motif_functional_ID,Counts
13_1_kaiser-bunbury_2011_seychelles_bernica,17,17_2_2_3_4_Bee,618
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_4_2_Non-syrphids-diptera_Bee,580
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Coleoptera_Non-syrphids-diptera_Bee,542
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,484
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_4_4_Non-syrphids-diptera_Bee,442
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_3_2_Non-syrphids-diptera_Bee,433
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Coleoptera_Non-syrphids-diptera_Syrphids,408
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_3_4_Non-syrphids-diptera_Bee,396
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_2_2_Non-syrphids-diptera_Bee,389
13_1_kaiser-bunbury_2011_seychelles_bernica,17,17_2_2_4_4_Bee,388
13_1_kaiser-bunbury_2011_seychelles_bernica,17,17_2_2_2_4_Bee,372
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,362
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_2_4_Non-syrphids-diptera_Bee,362
13_1_kaiser-bunbury_2011_seychelles_bernica,17,17_2_3_4_4_Bee,360
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,354
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,348
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Non-syrphids-diptera_Syrphids_Bee,332
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,328
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_2_4_Coleoptera_Bee,310
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_3_4_Coleoptera_Bee,307
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_3_4_2_Non-syrphids-diptera_Bee,260
13_1_kaiser-bunbury_2011_seychelles_bernica,15,15_2_2_4_Non-syrphids-diptera_Bee,256
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_4_4_Coleoptera_Bee,249
13_1_kaiser-bunbury_2011_seychelles_bernica,11,11_2_4_Non-syrphids-diptera_Bee_Non-syrphids-diptera,245
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,236
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_3_4_Coleoptera_Non-syrphids-diptera_Bee,236
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,232
13_1_kaiser-bunbury_2011_seychelles_bernica,17,17_2_2_2_3_Bee,232
13_1_kaiser-bunbury_2011_seychelles_bernica,7,7_2_2_4_Bee,218
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Bee_Coleoptera_Non-syrphids-diptera,216
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_4_4_Coleoptera_Non-syrphids-diptera_Bee,216
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,206
13_1_kaiser-bunbury_2011_seychelles_bernica,7,7_2_3_4_Bee,204
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Coleoptera_Coleoptera_Non-syrphids-diptera,204
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,204
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Coleoptera_Syrphids_Bee,202
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_4_2_Bee_Bee,202
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_3_4_Syrphids_Bee,200
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_3_4_4_Non-syrphids-diptera_Bee,197
13_1_kaiser-bunbury_2011_seychelles_bernica,5,5_2_2_Non-syrphids-diptera_Bee,194
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,193
13_1_kaiser-bunbury_2011_seychelles_bernica,17,17_2_3_3_4_Bee,192
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,186
13_1_kaiser-bunbury_2011_seychelles_bernica,11,11_2_4_Coleoptera_Bee_Non-syrphids-diptera,182
13_1_kaiser-bunbury_2011_seychelles_bernica,5,5_2_4_Non-syrphids-diptera_Bee,181
13_1_kaiser-bunbury_2011_seychelles_bernica,10,10_2_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,181
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Bee_Non-syrphids-diptera_Bee,178
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Coleoptera_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,174
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_3_4_Non-syrphids-diptera_Syrphids_Bee,174
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,172
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Non-syrphids-diptera_Syrphids_Non-syrphids-diptera,172
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_3_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,170
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_3_2_Syrphids_Bee,168
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_4_4_Syrphids_Bee,167
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Coleoptera_Non-syrphids-diptera_Syrphids,166
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_4_2_Syrphids_Bee,162
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Bee_Non-syrphids-diptera_Syrphids,158
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_2_4_Syrphids_Bee,157
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_4_4_Non-syrphids-diptera_Syrphids_Bee,156
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_4_Lizards_Non-syrphids-diptera_Bee,153
13_1_kaiser-bunbury_2011_seychelles_bernica,4,4_4_Bee_Coleoptera_Non-syrphids-diptera,152
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Coleoptera_Lizards_Non-syrphids-diptera,152
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,152
13_1_kaiser-bunbury_2011_seychelles_bernica,9,9_2_2_Bee_Non-syrphids-diptera_Bee,151
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_3_2_Bee_Bee,150
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Coleoptera_Coleoptera_Non-syrphids-diptera_Syrphids,148
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_2_4_Lizards_Bee,148
13_1_kaiser-bunbury_2011_seychelles_bernica,10,10_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,147
13_1_kaiser-bunbury_2011_seychelles_bernica,11,11_2_4_Non-syrphids-diptera_Bee_Bee,141
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_2_4_2_Non-bee-Hymenoptera_Bee,140
13_1_kaiser-bunbury_2011_seychelles_bernica,10,10_2_4_Coleoptera_Non-syrphids-diptera_Bee,139
13_1_kaiser-bunbury_2011_seychelles_bernica,7,7_2_2_3_Bee,135
13_1_kaiser-bunbury_2011_seychelles_bernica,15,15_2_2_4_Bee_Bee,135
13_1_kaiser-bunbury_2011_seychelles_bernica,13,13_4_4_2_Non-syrphids-diptera_Bee,131
13_1_kaiser-bunbury_2011_seychelles_bernica,4,4_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,130
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Lizards_Non-syrphids-diptera_Non-syrphids-diptera,130
13_1_kaiser-bunbury_2011_seychelles_bernica,8,8_4_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,130
