Network_id,Motif_pattern_id,Motif_functional_ID,Counts
15_4_peralta_2006_mendoza_site_4,8,2_Bee_Bee_Bee_Non-syrphids-diptera,112
15_4_peralta_2006_mendoza_site_4,9,3_2_Bee_Bee_Non-syrphids-diptera,112
15_4_peralta_2006_mendoza_site_4,9,3_2_Bee_Bee_Bee,81
15_4_peralta_2006_mendoza_site_4,8,2_Bee_Bee_Bee_Bee,70
15_4_peralta_2006_mendoza_site_4,9,3_2_Bee_Non-syrphids-diptera_Bee,68
15_4_peralta_2006_mendoza_site_4,4,2_Bee_Bee_Bee,56
15_4_peralta_2006_mendoza_site_4,4,2_Bee_Bee_Non-syrphids-diptera,56
15_4_peralta_2006_mendoza_site_4,8,2_Bee_Bee_Bee_Lepidoptera,56
15_4_peralta_2006_mendoza_site_4,8,2_Bee_Bee_Bee_Syrphids,56
15_4_peralta_2006_mendoza_site_4,8,2_Bee_Bee_Lepidoptera_Non-syrphids-diptera,56
15_4_peralta_2006_mendoza_site_4,8,2_Bee_Bee_Non-syrphids-diptera_Syrphids,56
15_4_peralta_2006_mendoza_site_4,9,1_2_Bee_Bee_Bee,42
15_4_peralta_2006_mendoza_site_4,9,1_2_Bee_Bee_Non-syrphids-diptera,42
15_4_peralta_2006_mendoza_site_4,5,3_2_Bee_Bee,34
15_4_peralta_2006_mendoza_site_4,9,3_2_Bee_Syrphids_Bee,34
15_4_peralta_2006_mendoza_site_4,5,3_2_Bee_Non-syrphids-diptera,32
15_4_peralta_2006_mendoza_site_4,9,3_2_Bee_Lepidoptera_Non-syrphids-diptera,32
15_4_peralta_2006_mendoza_site_4,9,3_2_Bee_Syrphids_Non-syrphids-diptera,32
15_4_peralta_2006_mendoza_site_4,3,2_Bee_Bee,28
15_4_peralta_2006_mendoza_site_4,4,2_Bee_Bee_Lepidoptera,28
15_4_peralta_2006_mendoza_site_4,4,2_Bee_Bee_Syrphids,28
15_4_peralta_2006_mendoza_site_4,8,2_Bee_Bee_Lepidoptera_Syrphids,28
