Network_id,Motif_pattern_id,Motif_functional_ID,Counts
16_1_burkle_usa_2013,8,8_2_Bee_Bee_Bee_Bee,50050
16_1_burkle_usa_2013,9,9_2_2_Bee_Bee_Bee,27105
16_1_burkle_usa_2013,9,9_3_2_Bee_Bee_Bee,21374
16_1_burkle_usa_2013,11,11_2_2_Bee_Bee_Bee,13379
16_1_burkle_usa_2013,8,8_4_Bee_Bee_Bee_Bee,12650
16_1_burkle_usa_2013,10,10_2_2_Bee_Bee_Bee,10198
16_1_burkle_usa_2013,9,9_5_2_Bee_Bee_Bee,9264
16_1_burkle_usa_2013,4,4_2_Bee_Bee_Bee,8152
16_1_burkle_usa_2013,9,9_2_4_Bee_Bee_Bee,8020
16_1_burkle_usa_2013,10,10_2_5_Bee_Bee_Bee,7851
16_1_burkle_usa_2013,10,10_2_3_Bee_Bee_Bee,7693
16_1_burkle_usa_2013,13,13_2_3_2_Bee_Bee,7327
16_1_burkle_usa_2013,9,9_3_4_Bee_Bee_Bee,6260
16_1_burkle_usa_2013,11,11_2_4_Bee_Bee_Bee,5527
16_1_burkle_usa_2013,10,10_2_4_Bee_Bee_Bee,5130
16_1_burkle_usa_2013,11,11_3_2_Bee_Bee_Bee,4945
16_1_burkle_usa_2013,13,13_2_2_2_Bee_Bee,4646
16_1_burkle_usa_2013,11,11_5_2_Bee_Bee_Bee,3884
16_1_burkle_usa_2013,5,5_2_2_Bee_Bee,3808
16_1_burkle_usa_2013,9,9_2_5_Bee_Bee_Bee,3717
16_1_burkle_usa_2013,8,8_5_Bee_Bee_Bee_Bee,3570
16_1_burkle_usa_2013,11,11_4_2_Bee_Bee_Bee,3423
16_1_burkle_usa_2013,13,13_2_5_2_Bee_Bee,3235
16_1_burkle_usa_2013,9,9_2_3_Bee_Bee_Bee,2815
16_1_burkle_usa_2013,14,14_2_3_2_Bee_Bee,2612
16_1_burkle_usa_2013,8,8_3_Bee_Bee_Bee_Bee,2594
16_1_burkle_usa_2013,9,9_3_5_Bee_Bee_Bee,2566
16_1_burkle_usa_2013,5,5_3_2_Bee_Bee,2541
16_1_burkle_usa_2013,11,11_2_5_Bee_Bee_Bee,2466
16_1_burkle_usa_2013,9,9_4_2_Bee_Bee_Bee,2382
16_1_burkle_usa_2013,9,9_5_4_Bee_Bee_Bee,2326
16_1_burkle_usa_2013,4,4_4_Bee_Bee_Bee,2300
16_1_burkle_usa_2013,11,11_2_3_Bee_Bee_Bee,2284
16_1_burkle_usa_2013,13,13_2_3_4_Bee_Bee,2177
16_1_burkle_usa_2013,15,15_2_2_2_Bee_Bee,2167
16_1_burkle_usa_2013,13,13_3_5_2_Bee_Bee,2132
16_1_burkle_usa_2013,10,10_3_5_Bee_Bee_Bee,2015
16_1_burkle_usa_2013,9,9_3_3_Bee_Bee_Bee,1880
16_1_burkle_usa_2013,15,15_3_2_2_Bee_Bee,1855
16_1_burkle_usa_2013,12,12_2_4_Bee_Bee_Bee,1830
16_1_burkle_usa_2013,11,11_3_4_Bee_Bee_Bee,1790
16_1_burkle_usa_2013,12,12_2_2_Bee_Bee_Bee,1771
16_1_burkle_usa_2013,13,13_3_3_2_Bee_Bee,1770
16_1_burkle_usa_2013,15,15_2_2_4_Bee_Bee,1729
16_1_burkle_usa_2013,9,9_1_2_Bee_Bee_Bee,1725
16_1_burkle_usa_2013,11,11_5_4_Bee_Bee_Bee,1699
16_1_burkle_usa_2013,13,13_2_2_4_Bee_Bee,1525
16_1_burkle_usa_2013,14,14_2_2_2_Bee_Bee,1490
16_1_burkle_usa_2013,13,13_2_3_5_Bee_Bee,1485
16_1_burkle_usa_2013,15,15_2_2_3_Bee_Bee,1475
16_1_burkle_usa_2013,10,10_3_4_Bee_Bee_Bee,1470
16_1_burkle_usa_2013,14,14_2_5_2_Bee_Bee,1445
16_1_burkle_usa_2013,13,13_2_4_2_Bee_Bee,1434
16_1_burkle_usa_2013,13,13_2_3_3_Bee_Bee,1317
16_1_burkle_usa_2013,13,13_2_2_3_Bee_Bee,1316
16_1_burkle_usa_2013,15,15_2_2_5_Bee_Bee,1288
16_1_burkle_usa_2013,15,15_3_2_4_Bee_Bee,1243
16_1_burkle_usa_2013,5,5_5_2_Bee_Bee,1235
16_1_burkle_usa_2013,5,5_2_4_Bee_Bee,1178
16_1_burkle_usa_2013,13,13_2_2_5_Bee_Bee,1172
16_1_burkle_usa_2013,3,3_2_Bee_Bee,1134
16_1_burkle_usa_2013,10,10_4_5_Bee_Bee_Bee,1100
16_1_burkle_usa_2013,4,4_5_Bee_Bee_Bee,1056
16_1_burkle_usa_2013,15,15_3_2_3_Bee_Bee,995
16_1_burkle_usa_2013,14,14_3_3_2_Bee_Bee,974
16_1_burkle_usa_2013,13,13_2_5_4_Bee_Bee,952
16_1_burkle_usa_2013,14,14_3_5_2_Bee_Bee,952
16_1_burkle_usa_2013,13,13_3_4_2_Bee_Bee,946
16_1_burkle_usa_2013,15,15_3_2_5_Bee_Bee,931
16_1_burkle_usa_2013,5,5_2_3_Bee_Bee,905
16_1_burkle_usa_2013,5,5_2_5_Bee_Bee,903
16_1_burkle_usa_2013,11,11_3_5_Bee_Bee_Bee,900
16_1_burkle_usa_2013,14,14_2_3_4_Bee_Bee,887
16_1_burkle_usa_2013,10,10_3_3_Bee_Bee_Bee,873
16_1_burkle_usa_2013,4,4_3_Bee_Bee_Bee,852
16_1_burkle_usa_2013,9,9_1_4_Bee_Bee_Bee,840
16_1_burkle_usa_2013,12,12_2_3_Bee_Bee_Bee,834
16_1_burkle_usa_2013,11,11_5_3_Bee_Bee_Bee,803
16_1_burkle_usa_2013,9,9_5_3_Bee_Bee_Bee,771
16_1_burkle_usa_2013,15,15_5_2_2_Bee_Bee,760
16_1_burkle_usa_2013,12,12_2_5_Bee_Bee_Bee,746
16_1_burkle_usa_2013,17,17_2_2_2_3_Bee,734
16_1_burkle_usa_2013,9,9_5_5_Bee_Bee_Bee,703
16_1_burkle_usa_2013,5,5_3_4_Bee_Bee,700
16_1_burkle_usa_2013,13,13_2_5_3_Bee_Bee,699
16_1_burkle_usa_2013,6,6_2_2_Bee_Bee,687
16_1_burkle_usa_2013,14,14_2_3_5_Bee_Bee,664
16_1_burkle_usa_2013,17,17_2_2_3_5_Bee,663
16_1_burkle_usa_2013,14,14_2_2_4_Bee_Bee,612
16_1_burkle_usa_2013,16,16_2_2_3_Bee_Bee,566
16_1_burkle_usa_2013,15,15_2_3_5_Bee_Bee,558
16_1_burkle_usa_2013,10,10_5_5_Bee_Bee_Bee,550
16_1_burkle_usa_2013,15,15_5_2_4_Bee_Bee,549
16_1_burkle_usa_2013,13,13_3_5_4_Bee_Bee,538
16_1_burkle_usa_2013,15,15_2_4_5_Bee_Bee,537
16_1_burkle_usa_2013,14,14_2_3_3_Bee_Bee,525
16_1_burkle_usa_2013,13,13_4_5_2_Bee_Bee,519
16_1_burkle_usa_2013,17,17_2_2_3_3_Bee,517
16_1_burkle_usa_2013,5,5_3_5_Bee_Bee,515
16_1_burkle_usa_2013,15,15_2_3_4_Bee_Bee,506
16_1_burkle_usa_2013,5,5_4_2_Bee_Bee,499
16_1_burkle_usa_2013,13,13_3_3_4_Bee_Bee,497
16_1_burkle_usa_2013,14,14_2_5_4_Bee_Bee,491
16_1_burkle_usa_2013,15,15_5_2_3_Bee_Bee,489
16_1_burkle_usa_2013,7,7_2_2_3_Bee,486
16_1_burkle_usa_2013,12,12_4_5_Bee_Bee_Bee,484
16_1_burkle_usa_2013,6,6_2_4_Bee_Bee,479
16_1_burkle_usa_2013,17,17_2_2_3_4_Bee,464
16_1_burkle_usa_2013,16,16_2_2_4_Bee_Bee,461
16_1_burkle_usa_2013,11,11_4_5_Bee_Bee_Bee,458
16_1_burkle_usa_2013,14,14_2_5_3_Bee_Bee,446
16_1_burkle_usa_2013,6,6_2_3_Bee_Bee,442
16_1_burkle_usa_2013,13,13_2_5_5_Bee_Bee,441
16_1_burkle_usa_2013,14,14_2_2_5_Bee_Bee,441
16_1_burkle_usa_2013,5,5_3_3_Bee_Bee,426
16_1_burkle_usa_2013,16,16_2_2_2_Bee_Bee,404
16_1_burkle_usa_2013,12,12_3_4_Bee_Bee_Bee,400
16_1_burkle_usa_2013,16,16_2_2_5_Bee_Bee,398
16_1_burkle_usa_2013,11,11_3_3_Bee_Bee_Bee,397
16_1_burkle_usa_2013,14,14_1_2_2_Bee_Bee,379
16_1_burkle_usa_2013,14,14_2_2_3_Bee_Bee,365
16_1_burkle_usa_2013,16,16_2_3_4_Bee_Bee,365
16_1_burkle_usa_2013,6,6_2_5_Bee_Bee,363
16_1_burkle_usa_2013,11,11_4_3_Bee_Bee_Bee,357
16_1_burkle_usa_2013,5,5_5_4_Bee_Bee,350
16_1_burkle_usa_2013,11,11_5_5_Bee_Bee_Bee,350
16_1_burkle_usa_2013,13,13_2_4_3_Bee_Bee,344
16_1_burkle_usa_2013,9,9_1_5_Bee_Bee_Bee,340
16_1_burkle_usa_2013,13,13_1_3_2_Bee_Bee,338
16_1_burkle_usa_2013,16,16_2_3_5_Bee_Bee,337
16_1_burkle_usa_2013,14,14_2_4_2_Bee_Bee,336
16_1_burkle_usa_2013,17,17_2_2_2_5_Bee,330
16_1_burkle_usa_2013,15,15_3_4_5_Bee_Bee,325
16_1_burkle_usa_2013,13,13_3_5_3_Bee_Bee,320
16_1_burkle_usa_2013,12,12_3_5_Bee_Bee_Bee,314
16_1_burkle_usa_2013,16,16_2_4_5_Bee_Bee,313
16_1_burkle_usa_2013,10,10_1_2_Bee_Bee_Bee,312
16_1_burkle_usa_2013,9,9_1_3_Bee_Bee_Bee,309
16_1_burkle_usa_2013,14,14_3_5_4_Bee_Bee,303
16_1_burkle_usa_2013,3,3_4_Bee_Bee,300
16_1_burkle_usa_2013,14,14_3_3_4_Bee_Bee,297
16_1_burkle_usa_2013,13,13_1_2_2_Bee_Bee,292
16_1_burkle_usa_2013,13,13_2_4_5_Bee_Bee,292
16_1_burkle_usa_2013,5,5_5_3_Bee_Bee,291
16_1_burkle_usa_2013,13,13_3_3_5_Bee_Bee,280
16_1_burkle_usa_2013,15,15_3_3_4_Bee_Bee,279
16_1_burkle_usa_2013,13,13_5_5_2_Bee_Bee,278
16_1_burkle_usa_2013,7,7_2_3_5_Bee,276
16_1_burkle_usa_2013,15,15_3_3_5_Bee_Bee,270
16_1_burkle_usa_2013,17,17_2_3_4_5_Bee,262
16_1_burkle_usa_2013,14,14_2_5_5_Bee_Bee,255
16_1_burkle_usa_2013,17,17_2_3_3_5_Bee,255
16_1_burkle_usa_2013,15,15_5_2_5_Bee_Bee,251
16_1_burkle_usa_2013,7,7_2_2_2_Bee,250
16_1_burkle_usa_2013,13,13_3_5_5_Bee_Bee,250
16_1_burkle_usa_2013,7,7_2_2_5_Bee,248
16_1_burkle_usa_2013,17,17_2_2_4_5_Bee,236
16_1_burkle_usa_2013,3,3_3_Bee_Bee,235
16_1_burkle_usa_2013,3,3_5_Bee_Bee,234
16_1_burkle_usa_2013,17,17_2_2_2_4_Bee,234
16_1_burkle_usa_2013,17,17_2_2_2_2_Bee,232
16_1_burkle_usa_2013,2,2_2_3_Bee,217
16_1_burkle_usa_2013,14,14_3_3_5_Bee_Bee,209
16_1_burkle_usa_2013,14,14_3_5_3_Bee_Bee,207
16_1_burkle_usa_2013,2,2_2_2_Bee,206
16_1_burkle_usa_2013,14,14_3_4_2_Bee_Bee,196
16_1_burkle_usa_2013,7,7_2_3_3_Bee,195
16_1_burkle_usa_2013,7,7_2_3_4_Bee,194
16_1_burkle_usa_2013,15,15_4_2_2_Bee_Bee,194
16_1_burkle_usa_2013,13,13_1_5_2_Bee_Bee,192
16_1_burkle_usa_2013,17,17_2_3_3_4_Bee,187
16_1_burkle_usa_2013,5,5_1_2_Bee_Bee,186
16_1_burkle_usa_2013,13,13_3_3_3_Bee_Bee,185
16_1_burkle_usa_2013,14,14_1_2_4_Bee_Bee,184
16_1_burkle_usa_2013,14,14_1_3_2_Bee_Bee,177
16_1_burkle_usa_2013,7,7_2_2_4_Bee,174
16_1_burkle_usa_2013,5,5_5_5_Bee_Bee,162
16_1_burkle_usa_2013,14,14_3_3_3_Bee_Bee,156
16_1_burkle_usa_2013,14,14_5_5_2_Bee_Bee,155
16_1_burkle_usa_2013,13,13_1_2_4_Bee_Bee,153
16_1_burkle_usa_2013,13,13_1_3_4_Bee_Bee,145
16_1_burkle_usa_2013,15,15_5_3_4_Bee_Bee,143
16_1_burkle_usa_2013,6,6_3_5_Bee_Bee,141
16_1_burkle_usa_2013,14,14_1_2_3_Bee_Bee,140
16_1_burkle_usa_2013,6,6_4_5_Bee_Bee,137
16_1_burkle_usa_2013,13,13_1_2_5_Bee_Bee,132
16_1_burkle_usa_2013,6,6_3_4_Bee_Bee,130
16_1_burkle_usa_2013,1,1_2_Bee,129
16_1_burkle_usa_2013,14,14_3_5_5_Bee_Bee,129
16_1_burkle_usa_2013,11,11_1_4_Bee_Bee_Bee,126
16_1_burkle_usa_2013,13,13_3_4_5_Bee_Bee,125
16_1_burkle_usa_2013,2,2_2_5_Bee,123
16_1_burkle_usa_2013,11,11_1_2_Bee_Bee_Bee,123
16_1_burkle_usa_2013,15,15_1_2_4_Bee_Bee,120
16_1_burkle_usa_2013,10,10_1_5_Bee_Bee_Bee,119
16_1_burkle_usa_2013,13,13_3_4_3_Bee_Bee,113
16_1_burkle_usa_2013,7,7_2_4_5_Bee,111
16_1_burkle_usa_2013,16,16_3_4_5_Bee_Bee,109
16_1_burkle_usa_2013,15,15_2_3_3_Bee_Bee,107
16_1_burkle_usa_2013,9,9_4_5_Bee_Bee_Bee,106
16_1_burkle_usa_2013,15,15_1_2_3_Bee_Bee,106
16_1_burkle_usa_2013,15,15_5_3_5_Bee_Bee,106
16_1_burkle_usa_2013,15,15_1_2_5_Bee_Bee,101
16_1_burkle_usa_2013,17,17_2_3_5_5_Bee,100
16_1_burkle_usa_2013,15,15_1_2_2_Bee_Bee,98
16_1_burkle_usa_2013,14,14_1_2_5_Bee_Bee,97
16_1_burkle_usa_2013,10,10_1_3_Bee_Bee_Bee,95
16_1_burkle_usa_2013,13,13_1_2_3_Bee_Bee,95
16_1_burkle_usa_2013,15,15_5_4_5_Bee_Bee,94
16_1_burkle_usa_2013,5,5_4_3_Bee_Bee,91
16_1_burkle_usa_2013,17,17_2_3_3_3_Bee,91
16_1_burkle_usa_2013,14,14_4_5_2_Bee_Bee,90
16_1_burkle_usa_2013,2,2_2_4_Bee,89
16_1_burkle_usa_2013,9,9_4_3_Bee_Bee_Bee,89
16_1_burkle_usa_2013,13,13_4_5_3_Bee_Bee,89
16_1_burkle_usa_2013,16,16_2_3_3_Bee_Bee,87
16_1_burkle_usa_2013,17,17_2_2_5_5_Bee,86
16_1_burkle_usa_2013,5,5_1_4_Bee_Bee,84
16_1_burkle_usa_2013,5,5_4_5_Bee_Bee,84
16_1_burkle_usa_2013,15,15_2_5_5_Bee_Bee,81
16_1_burkle_usa_2013,13,13_5_5_4_Bee_Bee,80
16_1_burkle_usa_2013,14,14_1_3_4_Bee_Bee,80
16_1_burkle_usa_2013,15,15_4_2_3_Bee_Bee,72
16_1_burkle_usa_2013,13,13_1_3_5_Bee_Bee,68
16_1_burkle_usa_2013,13,13_1_4_2_Bee_Bee,66
16_1_burkle_usa_2013,13,13_1_5_5_Bee_Bee,66
16_1_burkle_usa_2013,13,13_1_5_4_Bee_Bee,64
16_1_burkle_usa_2013,14,14_1_5_2_Bee_Bee,63
16_1_burkle_usa_2013,13,13_5_5_3_Bee_Bee,62
16_1_burkle_usa_2013,2,2_3_5_Bee,61
16_1_burkle_usa_2013,5,5_1_3_Bee_Bee,61
16_1_burkle_usa_2013,14,14_1_3_3_Bee_Bee,60
16_1_burkle_usa_2013,16,16_2_5_5_Bee_Bee,58
16_1_burkle_usa_2013,5,5_1_5_Bee_Bee,57
16_1_burkle_usa_2013,1,1_3_Bee,56
16_1_burkle_usa_2013,13,13_4_5_5_Bee_Bee,54
16_1_burkle_usa_2013,7,7_3_4_5_Bee,51
16_1_burkle_usa_2013,14,14_1_3_5_Bee_Bee,51
16_1_burkle_usa_2013,14,14_2_4_5_Bee_Bee,48
16_1_burkle_usa_2013,15,15_3_5_5_Bee_Bee,48
16_1_burkle_usa_2013,15,15_4_2_5_Bee_Bee,48
16_1_burkle_usa_2013,13,13_1_3_3_Bee_Bee,47
16_1_burkle_usa_2013,14,14_5_5_3_Bee_Bee,47
16_1_burkle_usa_2013,15,15_3_3_3_Bee_Bee,47
16_1_burkle_usa_2013,7,7_3_3_5_Bee,46
16_1_burkle_usa_2013,13,13_1_5_3_Bee_Bee,46
16_1_burkle_usa_2013,13,13_2_3_1_Bee_Bee,46
16_1_burkle_usa_2013,15,15_1_3_5_Bee_Bee,46
16_1_burkle_usa_2013,11,11_1_3_Bee_Bee_Bee,44
16_1_burkle_usa_2013,15,15_1_3_4_Bee_Bee,44
16_1_burkle_usa_2013,14,14_1_5_4_Bee_Bee,43
16_1_burkle_usa_2013,14,14_2_3_1_Bee_Bee,43
16_1_burkle_usa_2013,14,14_5_5_4_Bee_Bee,43
16_1_burkle_usa_2013,7,7_2_5_5_Bee,42
16_1_burkle_usa_2013,17,17_1_2_3_5_Bee,42
16_1_burkle_usa_2013,17,17_2_4_5_5_Bee,42
16_1_burkle_usa_2013,17,17_3_3_4_5_Bee,42
16_1_burkle_usa_2013,14,14_3_4_5_Bee_Bee,41
16_1_burkle_usa_2013,15,15_1_4_5_Bee_Bee,41
16_1_burkle_usa_2013,2,2_3_4_Bee,40
16_1_burkle_usa_2013,14,14_4_5_3_Bee_Bee,40
16_1_burkle_usa_2013,17,17_1_2_2_3_Bee,39
16_1_burkle_usa_2013,2,2_3_3_Bee,38
16_1_burkle_usa_2013,12,12_3_3_Bee_Bee_Bee,37
16_1_burkle_usa_2013,15,15_5_3_3_Bee_Bee,37
16_1_burkle_usa_2013,1,1_5_Bee,36
16_1_burkle_usa_2013,17,17_1_2_2_5_Bee,36
16_1_burkle_usa_2013,12,12_5_5_Bee_Bee_Bee,35
16_1_burkle_usa_2013,7,7_3_3_4_Bee,34
16_1_burkle_usa_2013,14,14_2_4_3_Bee_Bee,34
16_1_burkle_usa_2013,6,6_3_3_Bee_Bee,33
16_1_burkle_usa_2013,15,15_4_3_5_Bee_Bee,31
16_1_burkle_usa_2013,7,7_1_2_3_Bee,30
16_1_burkle_usa_2013,17,17_1_2_3_4_Bee,30
16_1_burkle_usa_2013,13,13_2_5_1_Bee_Bee,29
16_1_burkle_usa_2013,16,16_3_3_5_Bee_Bee,29
16_1_burkle_usa_2013,14,14_1_5_3_Bee_Bee,28
16_1_burkle_usa_2013,2,2_4_5_Bee,26
16_1_burkle_usa_2013,11,11_1_5_Bee_Bee_Bee,26
16_1_burkle_usa_2013,16,16_3_5_5_Bee_Bee,26
16_1_burkle_usa_2013,17,17_1_2_3_3_Bee,26
16_1_burkle_usa_2013,1,1_4_Bee,25
16_1_burkle_usa_2013,14,14_3_4_3_Bee_Bee,24
16_1_burkle_usa_2013,15,15_2_1_2_Bee_Bee,24
16_1_burkle_usa_2013,5,5_2_1_Bee_Bee,23
16_1_burkle_usa_2013,15,15_2_1_4_Bee_Bee,23
16_1_burkle_usa_2013,6,6_5_5_Bee_Bee,22
16_1_burkle_usa_2013,7,7_3_5_5_Bee,22
16_1_burkle_usa_2013,7,7_1_2_5_Bee,21
16_1_burkle_usa_2013,14,14_2_2_1_Bee_Bee,21
16_1_burkle_usa_2013,16,16_4_5_5_Bee_Bee,21
16_1_burkle_usa_2013,17,17_1_2_4_5_Bee,21
16_1_burkle_usa_2013,16,16_3_3_4_Bee_Bee,20
16_1_burkle_usa_2013,17,17_3_4_5_5_Bee,20
16_1_burkle_usa_2013,5,5_3_1_Bee_Bee,19
16_1_burkle_usa_2013,13,13_2_2_1_Bee_Bee,19
16_1_burkle_usa_2013,13,13_5_5_5_Bee_Bee,19
16_1_burkle_usa_2013,15,15_3_1_4_Bee_Bee,19
16_1_burkle_usa_2013,14,14_3_5_1_Bee_Bee,18
16_1_burkle_usa_2013,15,15_5_1_2_Bee_Bee,18
16_1_burkle_usa_2013,17,17_1_2_5_5_Bee,18
16_1_burkle_usa_2013,7,7_1_2_2_Bee,17
16_1_burkle_usa_2013,13,13_1_4_3_Bee_Bee,17
16_1_burkle_usa_2013,17,17_1_2_2_4_Bee,17
16_1_burkle_usa_2013,17,17_3_3_3_5_Bee,17
16_1_burkle_usa_2013,17,17_3_3_5_5_Bee,17
16_1_burkle_usa_2013,13,13_1_4_5_Bee_Bee,16
16_1_burkle_usa_2013,13,13_3_3_1_Bee_Bee,16
16_1_burkle_usa_2013,14,14_3_3_1_Bee_Bee,16
16_1_burkle_usa_2013,15,15_3_1_2_Bee_Bee,16
16_1_burkle_usa_2013,7,7_3_3_3_Bee,15
16_1_burkle_usa_2013,17,17_3_3_3_4_Bee,15
16_1_burkle_usa_2013,9,9_3_1_Bee_Bee_Bee,14
16_1_burkle_usa_2013,2,2_1_2_Bee,13
16_1_burkle_usa_2013,7,7_1_2_4_Bee,13
16_1_burkle_usa_2013,9,9_2_1_Bee_Bee_Bee,13
16_1_burkle_usa_2013,13,13_3_5_1_Bee_Bee,13
16_1_burkle_usa_2013,15,15_2_1_3_Bee_Bee,12
16_1_burkle_usa_2013,15,15_4_3_3_Bee_Bee,12
16_1_burkle_usa_2013,17,17_1_2_2_2_Bee,12
16_1_burkle_usa_2013,5,5_5_1_Bee_Bee,11
16_1_burkle_usa_2013,15,15_1_5_5_Bee_Bee,11
16_1_burkle_usa_2013,15,15_5_1_4_Bee_Bee,11
16_1_burkle_usa_2013,2,2_5_5_Bee,10
16_1_burkle_usa_2013,7,7_1_3_5_Bee,10
16_1_burkle_usa_2013,11,11_2_1_Bee_Bee_Bee,10
16_1_burkle_usa_2013,14,14_2_5_1_Bee_Bee,10
16_1_burkle_usa_2013,14,14_4_5_5_Bee_Bee,10
16_1_burkle_usa_2013,17,17_1_3_4_5_Bee,10
16_1_burkle_usa_2013,2,2_1_3_Bee,9
16_1_burkle_usa_2013,7,7_1_3_4_Bee,9
16_1_burkle_usa_2013,7,7_4_5_5_Bee,9
16_1_burkle_usa_2013,15,15_1_3_3_Bee_Bee,9
16_1_burkle_usa_2013,15,15_5_1_3_Bee_Bee,9
16_1_burkle_usa_2013,6,6_1_2_Bee_Bee,8
16_1_burkle_usa_2013,7,7_1_3_3_Bee,8
16_1_burkle_usa_2013,13,13_5_5_1_Bee_Bee,8
16_1_burkle_usa_2013,15,15_2_1_5_Bee_Bee,8
16_1_burkle_usa_2013,15,15_3_1_3_Bee_Bee,8
16_1_burkle_usa_2013,16,16_1_2_3_Bee_Bee,8
16_1_burkle_usa_2013,16,16_1_2_4_Bee_Bee,8
16_1_burkle_usa_2013,17,17_1_3_3_4_Bee,8
16_1_burkle_usa_2013,17,17_1_3_5_5_Bee,8
16_1_burkle_usa_2013,9,9_5_1_Bee_Bee_Bee,7
16_1_burkle_usa_2013,15,15_5_5_5_Bee_Bee,7
16_1_burkle_usa_2013,3,3_1_Bee_Bee,6
16_1_burkle_usa_2013,6,6_1_4_Bee_Bee,6
