Network_id,Motif_pattern_id,Motif_functional_ID,Counts
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2010
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Lepidoptera_Non-syrphids-diptera,1992
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,1644
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,1638
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,1638
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Bee_Non-syrphids-diptera,1572
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,1554
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,1344
17_1_arroyo_correa_new_zealand_2019_1,9,3_4_Bee_Non-syrphids-diptera_Bee,1014
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Non-syrphids-diptera_NA,924
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Bee_Lepidoptera,892
17_1_arroyo_correa_new_zealand_2019_1,8,2_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,858
17_1_arroyo_correa_new_zealand_2019_1,8,2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,858
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Bee_Coleoptera_Non-syrphids-diptera,819
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Bee_Non-syrphids-diptera_Syrphids,819
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Coleoptera_Non-syrphids-diptera_Syrphids,819
17_1_arroyo_correa_new_zealand_2019_1,8,2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,716
17_1_arroyo_correa_new_zealand_2019_1,8,2_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,702
17_1_arroyo_correa_new_zealand_2019_1,9,3_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,675
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Lepidoptera_Non-syrphids-diptera_NA,672
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,654
17_1_arroyo_correa_new_zealand_2019_1,9,1_4_Bee_Non-syrphids-diptera_Bee,635
17_1_arroyo_correa_new_zealand_2019_1,9,3_2_Bee_Non-syrphids-diptera_Bee,631
17_1_arroyo_correa_new_zealand_2019_1,9,3_4_Bee_Bee_Bee,631
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Lepidoptera_Lepidoptera_Non-syrphids-diptera,600
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,570
17_1_arroyo_correa_new_zealand_2019_1,4,2_Bee_Non-syrphids-diptera_Non-syrphids-diptera,558
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,546
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Non-syrphids-diptera_Non-syrphids-diptera_NA,546
17_1_arroyo_correa_new_zealand_2019_1,9,3_4_Bee_Lepidoptera_Bee,530
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Lepidoptera_NA,528
17_1_arroyo_correa_new_zealand_2019_1,10,2_4_Bee_Non-syrphids-diptera_Bee,523
17_1_arroyo_correa_new_zealand_2019_1,4,4_Bee_Bee_Non-syrphids-diptera,510
17_1_arroyo_correa_new_zealand_2019_1,9,2_4_Bee_Non-syrphids-diptera_Bee,510
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_NA,504
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Bee_Bee,496
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Coleoptera_Non-syrphids-diptera,462
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Bee_Bee_Non-syrphids-diptera,455
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Bee_NA,440
17_1_arroyo_correa_new_zealand_2019_1,9,4_2_Bee_Non-syrphids-diptera_Non-syrphids-diptera,438
17_1_arroyo_correa_new_zealand_2019_1,4,4_Bee_Lepidoptera_Non-syrphids-diptera,432
17_1_arroyo_correa_new_zealand_2019_1,9,3_4_Lepidoptera_Non-syrphids-diptera_Bee,428
17_1_arroyo_correa_new_zealand_2019_1,9,4_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,427
17_1_arroyo_correa_new_zealand_2019_1,10,2_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,426
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Bee_Lepidoptera_Lepidoptera,414
17_1_arroyo_correa_new_zealand_2019_1,9,3_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,393
17_1_arroyo_correa_new_zealand_2019_1,9,1_4_Bee_Bee_Bee,392
17_1_arroyo_correa_new_zealand_2019_1,9,2_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,384
17_1_arroyo_correa_new_zealand_2019_1,9,4_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,379
17_1_arroyo_correa_new_zealand_2019_1,4,4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,374
17_1_arroyo_correa_new_zealand_2019_1,10,2_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,368
17_1_arroyo_correa_new_zealand_2019_1,10,2_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,348
17_1_arroyo_correa_new_zealand_2019_1,9,1_4_Bee_Lepidoptera_Bee,344
17_1_arroyo_correa_new_zealand_2019_1,9,3_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,337
17_1_arroyo_correa_new_zealand_2019_1,8,4_Bee_Coleoptera_Lepidoptera_Non-syrphids-diptera,336
17_1_arroyo_correa_new_zealand_2019_1,9,3_2_Coleoptera_Non-syrphids-diptera_Bee,336
17_1_arroyo_correa_new_zealand_2019_1,9,3_2_Non-syrphids-diptera_Syrphids_Bee,336
17_1_arroyo_correa_new_zealand_2019_1,9,4_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,323
17_1_arroyo_correa_new_zealand_2019_1,9,1_2_Bee_Non-syrphids-diptera_Bee,318
17_1_arroyo_correa_new_zealand_2019_1,9,1_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,318
17_1_arroyo_correa_new_zealand_2019_1,8,4_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,308
17_1_arroyo_correa_new_zealand_2019_1,9,5_4_Bee_Non-syrphids-diptera_Bee,304
17_1_arroyo_correa_new_zealand_2019_1,11,4_2_Non-syrphids-diptera_Bee_Non-syrphids-diptera,298
17_1_arroyo_correa_new_zealand_2019_1,9,2_4_Bee_Bee_Bee,297
17_1_arroyo_correa_new_zealand_2019_1,9,2_4_Bee_Lepidoptera_Bee,297
17_1_arroyo_correa_new_zealand_2019_1,9,4_4_Bee_Bee_Non-syrphids-diptera,297
17_1_arroyo_correa_new_zealand_2019_1,8,2_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,294
17_1_arroyo_correa_new_zealand_2019_1,4,2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,290
17_1_arroyo_correa_new_zealand_2019_1,9,NA_4_Bee_Bee_Non-syrphids-diptera,287
17_1_arroyo_correa_new_zealand_2019_1,8,2_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,286
17_1_arroyo_correa_new_zealand_2019_1,8,2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_NA,286
17_1_arroyo_correa_new_zealand_2019_1,9,1_4_Lepidoptera_Non-syrphids-diptera_Bee,286
17_1_arroyo_correa_new_zealand_2019_1,10,2_4_Lepidoptera_Non-syrphids-diptera_Bee,284
17_1_arroyo_correa_new_zealand_2019_1,4,4_Bee_Bee_Lepidoptera,282
17_1_arroyo_correa_new_zealand_2019_1,8,2_Bee_Bee_Lepidoptera_Non-syrphids-diptera,281
17_1_arroyo_correa_new_zealand_2019_1,9,2_4_Lepidoptera_Non-syrphids-diptera_Bee,278
17_1_arroyo_correa_new_zealand_2019_1,4,2_Bee_Bee_Non-syrphids-diptera,277
