Network_id,Motif_pattern_id,Motif_functional_ID,Counts
1_5_bartomeus_spain_2008_miqop_1_2,8,1_Bee_Bee_Coleoptera_Non-syrphids-diptera,215
1_5_bartomeus_spain_2008_miqop_1_2,8,1_Bee_Coleoptera_Coleoptera_Non-syrphids-diptera,198
1_5_bartomeus_spain_2008_miqop_1_2,8,1_Bee_Bee_Coleoptera_Coleoptera,165
1_5_bartomeus_spain_2008_miqop_1_2,8,1_Bee_Bee_Bee_Coleoptera,120
1_5_bartomeus_spain_2008_miqop_1_2,4,1_Bee_Coleoptera_Non-syrphids-diptera,118
1_5_bartomeus_spain_2008_miqop_1_2,4,1_Bee_Bee_Coleoptera,115
1_5_bartomeus_spain_2008_miqop_1_2,10,1_1_Bee_Non-syrphids-diptera_Coleoptera,112
1_5_bartomeus_spain_2008_miqop_1_2,10,1_5_Bee_Non-syrphids-diptera_Coleoptera,110
1_5_bartomeus_spain_2008_miqop_1_2,9,1_1_Bee_Non-syrphids-diptera_Coleoptera,99
1_5_bartomeus_spain_2008_miqop_1_2,9,3_1_Bee_Coleoptera_Bee,93
1_5_bartomeus_spain_2008_miqop_1_2,10,1_1_Bee_Coleoptera_Coleoptera,91
1_5_bartomeus_spain_2008_miqop_1_2,10,1_1_Bee_Bee_Coleoptera,90
1_5_bartomeus_spain_2008_miqop_1_2,10,1_5_Bee_Non-syrphids-diptera_Bee,90
1_5_bartomeus_spain_2008_miqop_1_2,4,1_Bee_Coleoptera_Coleoptera,88
1_5_bartomeus_spain_2008_miqop_1_2,8,1_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,80
1_5_bartomeus_spain_2008_miqop_1_2,8,5_Bee_Bee_Coleoptera_Non-syrphids-diptera,80
1_5_bartomeus_spain_2008_miqop_1_2,9,1_1_Bee_Coleoptera_Coleoptera,78
1_5_bartomeus_spain_2008_miqop_1_2,9,3_1_Coleoptera_Non-syrphids-diptera_Bee,73
1_5_bartomeus_spain_2008_miqop_1_2,9,1_5_Bee_Non-syrphids-diptera_Coleoptera,72
1_5_bartomeus_spain_2008_miqop_1_2,9,1_1_Bee_Bee_Coleoptera,71
1_5_bartomeus_spain_2008_miqop_1_2,9,5_1_Bee_Coleoptera_Coleoptera,71
1_5_bartomeus_spain_2008_miqop_1_2,8,1_Bee_Coleoptera_Coleoptera_Coleoptera,66
1_5_bartomeus_spain_2008_miqop_1_2,11,1_1_Bee_Bee_Coleoptera,65
1_5_bartomeus_spain_2008_miqop_1_2,10,1_5_Bee_Bee_Coleoptera,62
1_5_bartomeus_spain_2008_miqop_1_2,8,1_Bee_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,60
1_5_bartomeus_spain_2008_miqop_1_2,8,5_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,60
1_5_bartomeus_spain_2008_miqop_1_2,8,5_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,60
1_5_bartomeus_spain_2008_miqop_1_2,9,5_1_Bee_Non-syrphids-diptera_Coleoptera,59
1_5_bartomeus_spain_2008_miqop_1_2,3,1_Bee_Coleoptera,58
1_5_bartomeus_spain_2008_miqop_1_2,10,1_1_Bee_Non-syrphids-diptera_Bee,58
1_5_bartomeus_spain_2008_miqop_1_2,9,1_5_Bee_Non-syrphids-diptera_Bee,56
1_5_bartomeus_spain_2008_miqop_1_2,9,1_1_Coleoptera_Non-syrphids-diptera_Coleoptera,54
1_5_bartomeus_spain_2008_miqop_1_2,4,1_Bee_Bee_Non-syrphids-diptera,53
1_5_bartomeus_spain_2008_miqop_1_2,8,1_Bee_Bee_Bee_Non-syrphids-diptera,52
