Network_id,Motif_pattern_id,Motif_functional_ID,Counts
3_2_dupont_2009_denmark_ib,8,1_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,1296
3_2_dupont_2009_denmark_ib,8,1_Bee_Bee_Bee_Non-syrphids-diptera,756
3_2_dupont_2009_denmark_ib,8,1_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,756
3_2_dupont_2009_denmark_ib,8,1_Bee_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,648
3_2_dupont_2009_denmark_ib,8,1_Bee_Bee_Non-syrphids-diptera_Syrphids,648
3_2_dupont_2009_denmark_ib,8,1_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,648
3_2_dupont_2009_denmark_ib,8,1_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,648
3_2_dupont_2009_denmark_ib,4,1_Bee_Bee_Non-syrphids-diptera,324
3_2_dupont_2009_denmark_ib,4,1_Bee_Non-syrphids-diptera_Non-syrphids-diptera,324
3_2_dupont_2009_denmark_ib,8,1_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,324
3_2_dupont_2009_denmark_ib,8,1_Bee_Bee_Bee_Non-bee-Hymenoptera,168
3_2_dupont_2009_denmark_ib,8,1_Bee_Bee_Bee_Syrphids,168
3_2_dupont_2009_denmark_ib,8,1_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,168
3_2_dupont_2009_denmark_ib,8,1_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,168
3_2_dupont_2009_denmark_ib,4,1_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,162
3_2_dupont_2009_denmark_ib,4,1_Bee_Non-syrphids-diptera_Syrphids,162
3_2_dupont_2009_denmark_ib,8,1_Bee_Bee_Non-bee-Hymenoptera_Syrphids,144
3_2_dupont_2009_denmark_ib,8,1_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,144
3_2_dupont_2009_denmark_ib,8,1_Bee_Bee_Bee_Bee,126
3_2_dupont_2009_denmark_ib,8,1_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,126
3_2_dupont_2009_denmark_ib,8,2_Bee_Syrphids_Syrphids_Syrphids,108
3_2_dupont_2009_denmark_ib,4,1_Bee_Bee_Bee,84
3_2_dupont_2009_denmark_ib,4,1_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,84
3_2_dupont_2009_denmark_ib,8,2_Bee_Bee_Syrphids_Syrphids,82
3_2_dupont_2009_denmark_ib,3,1_Bee_Non-syrphids-diptera,81
3_2_dupont_2009_denmark_ib,8,1_Bee_Non-bee-Hymenoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,81
3_2_dupont_2009_denmark_ib,8,1_Bee_Non-syrphids-diptera_Syrphids_Syrphids,81
3_2_dupont_2009_denmark_ib,8,2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,81
3_2_dupont_2009_denmark_ib,8,3_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,80
3_2_dupont_2009_denmark_ib,4,2_Bee_Syrphids_Syrphids,77
3_2_dupont_2009_denmark_ib,8,2_Bee_Lepidoptera_Non-bee-Hymenoptera_Syrphids,74
3_2_dupont_2009_denmark_ib,4,1_Bee_Bee_Non-bee-Hymenoptera,72
3_2_dupont_2009_denmark_ib,4,1_Bee_Bee_Syrphids,72
3_2_dupont_2009_denmark_ib,4,1_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,72
3_2_dupont_2009_denmark_ib,4,1_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,72
3_2_dupont_2009_denmark_ib,8,2_Bee_Bee_Non-bee-Hymenoptera_Syrphids,67
3_2_dupont_2009_denmark_ib,8,3_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids_Syrphids,60
3_2_dupont_2009_denmark_ib,8,3_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids_Syrphids,60
3_2_dupont_2009_denmark_ib,8,2_Bee_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,54
3_2_dupont_2009_denmark_ib,8,2_Bee_Lepidoptera_Non-syrphids-diptera_Syrphids,54
3_2_dupont_2009_denmark_ib,8,2_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,54
3_2_dupont_2009_denmark_ib,4,2_Bee_Bee_Syrphids,50
3_2_dupont_2009_denmark_ib,4,2_Bee_Non-bee-Hymenoptera_Syrphids,47
3_2_dupont_2009_denmark_ib,3,2_Bee_Syrphids,40
3_2_dupont_2009_denmark_ib,4,3_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,4,3_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,8,3_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,8,3_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,8,3_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,8,3_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,8,3_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,8,3_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,8,3_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,40
3_2_dupont_2009_denmark_ib,8,2_Bee_Bee_Lepidoptera_Non-bee-Hymenoptera,38
3_2_dupont_2009_denmark_ib,8,2_Bee_Bee_Lepidoptera_Syrphids,38
3_2_dupont_2009_denmark_ib,8,2_Bee_Non-bee-Hymenoptera_Non-bee-Hymenoptera_Syrphids,37
3_2_dupont_2009_denmark_ib,8,2_Bee_Non-bee-Hymenoptera_Syrphids_Syrphids,37
3_2_dupont_2009_denmark_ib,3,1_Bee_Bee,36
3_2_dupont_2009_denmark_ib,3,1_Non-syrphids-diptera_Non-syrphids-diptera,36
3_2_dupont_2009_denmark_ib,4,1_Bee_Non-bee-Hymenoptera_Syrphids,36
