Network_id,Motif_pattern_id,Motif_functional_ID,Counts
7_1_lundgren_2005_greenland,8,3_Non-syrphids-diptera_Syrphids_NA_NA,225
7_1_lundgren_2005_greenland,8,3_Non-syrphids-diptera_Syrphids_Syrphids_NA,180
7_1_lundgren_2005_greenland,8,3_Syrphids_Syrphids_NA_NA,150
7_1_lundgren_2005_greenland,9,2_3_Syrphids_NA_NA,120
7_1_lundgren_2005_greenland,9,1_3_Syrphids_NA_NA,117
7_1_lundgren_2005_greenland,8,3_Syrphids_NA_NA_NA,100
7_1_lundgren_2005_greenland,9,1_3_Non-syrphids-diptera_Syrphids_NA,99
7_1_lundgren_2005_greenland,4,3_Non-syrphids-diptera_Syrphids_NA,90
7_1_lundgren_2005_greenland,8,3_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids_NA,90
7_1_lundgren_2005_greenland,9,2_3_Non-syrphids-diptera_NA_NA,84
7_1_lundgren_2005_greenland,9,2_3_Non-syrphids-diptera_Syrphids_NA,78
7_1_lundgren_2005_greenland,4,3_Syrphids_NA_NA,75
7_1_lundgren_2005_greenland,9,1_3_Non-syrphids-diptera_NA_NA,75
7_1_lundgren_2005_greenland,9,1_3_Syrphids_Syrphids_NA,62
7_1_lundgren_2005_greenland,4,3_Syrphids_Syrphids_NA,60
7_1_lundgren_2005_greenland,8,3_Non-syrphids-diptera_NA_NA_NA,60
7_1_lundgren_2005_greenland,8,3_Syrphids_Syrphids_Syrphids_NA,60
7_1_lundgren_2005_greenland,9,2_3_Non-syrphids-diptera_NA_Syrphids,60
7_1_lundgren_2005_greenland,9,2_3_Syrphids_NA_Syrphids,60
7_1_lundgren_2005_greenland,9,2_3_NA_NA_NA,52
7_1_lundgren_2005_greenland,9,3_3_Syrphids_NA_NA,50
7_1_lundgren_2005_greenland,9,2_3_Syrphids_Syrphids_NA,46
7_1_lundgren_2005_greenland,4,3_Non-syrphids-diptera_NA_NA,45
7_1_lundgren_2005_greenland,8,3_Non-syrphids-diptera_Non-syrphids-diptera_NA_NA,45
7_1_lundgren_2005_greenland,10,2_3_Non-syrphids-diptera_NA_Syrphids,42
7_1_lundgren_2005_greenland,9,2_3_NA_NA_Syrphids,40
7_1_lundgren_2005_greenland,9,NA_3_Non-syrphids-diptera_Syrphids_NA,40
7_1_lundgren_2005_greenland,9,NA_3_Syrphids_NA_NA,40
7_1_lundgren_2005_greenland,9,NA_3_Syrphids_Syrphids_NA,40
7_1_lundgren_2005_greenland,10,1_3_Syrphids_NA_NA,38
7_1_lundgren_2005_greenland,9,2_3_Non-syrphids-diptera_Syrphids_Syrphids,36
7_1_lundgren_2005_greenland,9,4_3_Syrphids_NA_NA,36
7_1_lundgren_2005_greenland,5,1_3_Syrphids_NA,33
7_1_lundgren_2005_greenland,9,1_3_NA_NA_NA,33
7_1_lundgren_2005_greenland,10,1_3_Non-syrphids-diptera_NA_NA,33
7_1_lundgren_2005_greenland,3,3_Syrphids_NA,30
7_1_lundgren_2005_greenland,4,3_Non-syrphids-diptera_Syrphids_Syrphids,30
7_1_lundgren_2005_greenland,8,3_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids_Syrphids,30
7_1_lundgren_2005_greenland,8,3_Non-syrphids-diptera_Syrphids_Syrphids_Syrphids,30
7_1_lundgren_2005_greenland,9,3_3_Non-syrphids-diptera_NA_NA,30
7_1_lundgren_2005_greenland,9,3_3_Non-syrphids-diptera_Syrphids_NA,30
7_1_lundgren_2005_greenland,11,NA_3_Syrphids_NA_NA,30
7_1_lundgren_2005_greenland,13,1_NA_3_Syrphids_NA,29
7_1_lundgren_2005_greenland,5,2_3_NA_NA,28
7_1_lundgren_2005_greenland,4,2_Non-syrphids-diptera_Syrphids_NA,27
7_1_lundgren_2005_greenland,8,2_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids_NA,27
7_1_lundgren_2005_greenland,8,2_Non-syrphids-diptera_Syrphids_NA_NA,27
7_1_lundgren_2005_greenland,8,2_Non-syrphids-diptera_Syrphids_Syrphids_NA,27
7_1_lundgren_2005_greenland,5,2_3_Syrphids_NA,26
7_1_lundgren_2005_greenland,10,1_3_NA_NA_NA,26
7_1_lundgren_2005_greenland,13,1_2_3_Syrphids_NA,26
7_1_lundgren_2005_greenland,14,1_2_3_NA_NA,26
7_1_lundgren_2005_greenland,5,1_3_NA_NA,25
7_1_lundgren_2005_greenland,9,5_3_Syrphids_NA_NA,25
7_1_lundgren_2005_greenland,9,3_3_Syrphids_NA_Syrphids,24
7_1_lundgren_2005_greenland,9,4_3_Non-syrphids-diptera_Syrphids_NA,24
7_1_lundgren_2005_greenland,10,2_3_Non-syrphids-diptera_Syrphids_Syrphids,24
7_1_lundgren_2005_greenland,11,1_3_Syrphids_NA_NA,24
7_1_lundgren_2005_greenland,14,1_2_3_Syrphids_NA,24
7_1_lundgren_2005_greenland,10,2_3_Syrphids_NA_Syrphids,22
7_1_lundgren_2005_greenland,5,1_3_Non-syrphids-diptera_NA,21
7_1_lundgren_2005_greenland,9,1_3_Non-syrphids-diptera_Non-syrphids-diptera_NA,21
7_1_lundgren_2005_greenland,9,3_2_Non-syrphids-diptera_NA_Syrphids,21
7_1_lundgren_2005_greenland,10,2_3_Non-syrphids-diptera_NA_NA,21
7_1_lundgren_2005_greenland,4,3_NA_NA_NA,20
7_1_lundgren_2005_greenland,5,2_3_NA_Syrphids,20
7_1_lundgren_2005_greenland,5,NA_3_Syrphids_NA,20
7_1_lundgren_2005_greenland,9,3_3_NA_NA_NA,20
7_1_lundgren_2005_greenland,9,3_3_Syrphids_Syrphids_NA,20
7_1_lundgren_2005_greenland,10,1_NA_NA_NA_NA,20
7_1_lundgren_2005_greenland,10,2_3_NA_NA_Syrphids,20
7_1_lundgren_2005_greenland,10,2_NA_Syrphids_NA_NA,20
7_1_lundgren_2005_greenland,10,3_NA_Syrphids_NA_NA,20
7_1_lundgren_2005_greenland,11,2_3_NA_Syrphids_NA,20
7_1_lundgren_2005_greenland,11,NA_3_Syrphids_Non-syrphids-diptera_NA,20
7_1_lundgren_2005_greenland,13,1_2_3_NA_NA,20
7_1_lundgren_2005_greenland,13,1_4_3_Syrphids_NA,19
7_1_lundgren_2005_greenland,3,3_Non-syrphids-diptera_NA,18
7_1_lundgren_2005_greenland,4,3_Non-syrphids-diptera_Non-syrphids-diptera_NA,18
7_1_lundgren_2005_greenland,5,2_3_Non-syrphids-diptera_NA,18
7_1_lundgren_2005_greenland,9,2_3_Non-syrphids-diptera_Non-syrphids-diptera_NA,18
7_1_lundgren_2005_greenland,9,2_NA_NA_NA_NA,18
7_1_lundgren_2005_greenland,9,3_3_Non-syrphids-diptera_NA_Syrphids,18
7_1_lundgren_2005_greenland,9,4_3_Non-syrphids-diptera_NA_NA,18
7_1_lundgren_2005_greenland,9,4_3_Syrphids_Syrphids_NA,18
7_1_lundgren_2005_greenland,10,2_3_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,18
7_1_lundgren_2005_greenland,13,1_1_3_Syrphids_NA,18
7_1_lundgren_2005_greenland,13,1_2_3_Non-syrphids-diptera_NA,18
7_1_lundgren_2005_greenland,5,1_1_NA_NA,17
7_1_lundgren_2005_greenland,11,1_3_NA_NA_NA,17
7_1_lundgren_2005_greenland,5,1_NA_NA_NA,16
7_1_lundgren_2005_greenland,9,1_3_Syrphids_NA_Syrphids,16
7_1_lundgren_2005_greenland,9,1_NA_Non-syrphids-diptera_NA_NA,16
7_1_lundgren_2005_greenland,9,NA_3_Non-syrphids-diptera_NA_NA,16
7_1_lundgren_2005_greenland,13,2_3_1_NA_NA,16
7_1_lundgren_2005_greenland,13,2_NA_3_Syrphids_NA,16
7_1_lundgren_2005_greenland,14,1_2_1_NA_NA,16
7_1_lundgren_2005_greenland,14,2_2_3_Syrphids_NA,16
7_1_lundgren_2005_greenland,3,3_NA_NA,15
