Network_id,Motif_pattern_id,Motif_functional_ID,Counts
9_1_small_1976_canada,8,8_1_Bee_Bee_Bee_Syrphids,990
9_1_small_1976_canada,8,8_3_Bee_Bee_Bee_Bee,911
9_1_small_1976_canada,10,10_2_3_Bee_Syrphids_Bee,882
9_1_small_1976_canada,8,8_1_Bee_Bee_Syrphids_Syrphids,825
9_1_small_1976_canada,9,9_2_3_Bee_Bee_Bee,761
9_1_small_1976_canada,8,8_3_Bee_Bee_Bee_Syrphids,706
9_1_small_1976_canada,11,11_2_3_Bee_Bee_Bee,614
9_1_small_1976_canada,8,8_2_Bee_Bee_Bee_Syrphids,500
9_1_small_1976_canada,10,10_2_4_Bee_Syrphids_Bee,497
9_1_small_1976_canada,9,9_2_1_Bee_Syrphids_Bee,470
9_1_small_1976_canada,4,4_3_Bee_Bee_Bee,426
9_1_small_1976_canada,8,8_3_Bee_Bee_Syrphids_Syrphids,420
9_1_small_1976_canada,10,10_3_4_Bee_Syrphids_Bee,415
9_1_small_1976_canada,10,10_3_3_Bee_Syrphids_Bee,400
9_1_small_1976_canada,11,11_3_1_Syrphids_Bee_Bee,395
9_1_small_1976_canada,11,11_4_3_Bee_Bee_Bee,385
9_1_small_1976_canada,9,9_2_3_Bee_Syrphids_Bee,363
9_1_small_1976_canada,10,10_2_4_Bee_Bee_Bee,362
9_1_small_1976_canada,10,10_2_2_Bee_Syrphids_Bee,350
9_1_small_1976_canada,11,11_3_3_Bee_Bee_Bee,349
9_1_small_1976_canada,10,10_2_3_Bee_Bee_Bee,345
9_1_small_1976_canada,9,9_2_2_Bee_Bee_Bee,344
9_1_small_1976_canada,9,9_2_1_Bee_Bee_Bee,342
9_1_small_1976_canada,8,8_2_Bee_Bee_Bee_Bee,341
9_1_small_1976_canada,10,10_3_4_Bee_Bee_Bee,336
9_1_small_1976_canada,4,4_1_Bee_Bee_Syrphids,330
9_1_small_1976_canada,8,8_1_Bee_Bee_Bee_Bee,330
9_1_small_1976_canada,9,9_4_1_Bee_Syrphids_Bee,318
9_1_small_1976_canada,9,9_2_4_Bee_Bee_Bee,311
9_1_small_1976_canada,5,5_2_3_Bee_Bee,308
9_1_small_1976_canada,9,9_2_2_Bee_Syrphids_Bee,306
9_1_small_1976_canada,11,11_2_1_Bee_Bee_Syrphids,298
9_1_small_1976_canada,8,8_2_Bee_Bee_Syrphids_Syrphids,294
9_1_small_1976_canada,4,4_3_Bee_Bee_Syrphids,282
9_1_small_1976_canada,8,8_4_Bee_Bee_Bee_Bee,280
9_1_small_1976_canada,15,15_2_2_3_Bee_Bee,279
9_1_small_1976_canada,9,9_4_3_Bee_Syrphids_Bee,275
9_1_small_1976_canada,10,10_1_3_Bee_Syrphids_Bee,274
9_1_small_1976_canada,11,11_3_2_Syrphids_Bee_Bee,270
9_1_small_1976_canada,12,12_2_3_Bee_Bee_Bee,261
9_1_small_1976_canada,11,11_2_3_Bee_Bee_Syrphids,255
9_1_small_1976_canada,10,10_2_3_Bee_Non-syrphids-diptera_Bee,248
9_1_small_1976_canada,11,11_3_2_Bee_Bee_Bee,247
9_1_small_1976_canada,13,13_2_2_3_Bee_Bee,244
9_1_small_1976_canada,10,10_2_4_Bee_Non-syrphids-diptera_Bee,243
9_1_small_1976_canada,4,4_2_Bee_Bee_Syrphids,241
9_1_small_1976_canada,9,9_4_3_Bee_Bee_Bee,234
9_1_small_1976_canada,11,11_2_1_Bee_Bee_Bee,234
9_1_small_1976_canada,11,11_2_2_Bee_Bee_Bee,234
9_1_small_1976_canada,15,15_2_3_4_Bee_Bee,234
9_1_small_1976_canada,8,8_4_Bee_Bee_Bee_Non-syrphids-diptera,232
9_1_small_1976_canada,9,9_3_3_Bee_Bee_Bee,231
9_1_small_1976_canada,9,9_3_1_Bee_Syrphids_Bee,230
9_1_small_1976_canada,11,11_2_4_Bee_Bee_Bee,227
9_1_small_1976_canada,11,11_3_3_Syrphids_Bee_Bee,227
9_1_small_1976_canada,9,9_4_2_Bee_Syrphids_Bee,226
9_1_small_1976_canada,9,9_3_3_Bee_Syrphids_Bee,225
9_1_small_1976_canada,8,8_1_Bee_Syrphids_Syrphids_Syrphids,220
9_1_small_1976_canada,10,10_1_4_Bee_Syrphids_Bee,216
9_1_small_1976_canada,4,4_2_Bee_Bee_Bee,215
9_1_small_1976_canada,10,10_1_2_Bee_Syrphids_Bee,212
9_1_small_1976_canada,15,15_2_1_3_Bee_Bee,212
9_1_small_1976_canada,10,10_1_2_Bee_Bee_Bee,204
9_1_small_1976_canada,11,11_3_1_Bee_Bee_Bee,204
9_1_small_1976_canada,9,9_2_4_Bee_Non-syrphids-diptera_Bee,202
9_1_small_1976_canada,11,11_4_1_Syrphids_Bee_Bee,201
