Network_id,Type_network,Node_id,Node_FG,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Andrena hispania,Bee,0,2,0,1,0,12,0,39,0,0,7,10,0,1,0,0,0,85,0,0,30,29,0,12,16,0,0,1,10,0,0,0,0,6,0,0,0,1,0,0,3,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Andrena sp.,Bee,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Apis mellifera,Bee,0,5,0,10,0,17,0,45,0,0,0,64,0,2,0,10,0,89,0,0,0,165,0,0,74,0,0,0,15,0,0,0,0,0,90,0,0,0,0,0,0,6,0,0,0,5
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Bombus terrestris,Bee,0,2,0,1,0,7,0,9,0,0,7,5,0,1,0,0,0,5,0,0,15,4,0,27,6,0,0,1,5,0,0,0,0,6,0,0,0,1,0,0,3,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Bombylius sp.,Non-syrphids-diptera,0,1,0,0,0,4,0,6,0,0,5,0,0,0,0,-0,0,4,0,0,13,0,0,14,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Bombylius torquatus,Non-syrphids-diptera,0,1,0,0,0,4,0,6,0,0,5,0,0,0,0,-0,0,4,0,0,13,0,0,14,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Colletes nigricans,Bee,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Dasypoda crassicornis,Bee,0,1,0,0,0,4,0,6,0,0,5,0,0,0,0,-0,0,4,0,0,13,0,0,14,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Heliotaurus ruficollis,Coleoptera,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,observed,Lasioglossum bimaculatus,Bee,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
