Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
12_7_bartomeus_spain_2008_Esparragal_unp,1,np1,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,2,np1,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,3,np1,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,5,np1,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np1,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np1,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np1,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Syrphids,np1,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,1,np2,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np2,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np2,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np2,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np2,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np2,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np2,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Non-bee-Hymenoptera,np2,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Syrphids,np2,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,1,np3,1,0.6624841575091575,0.41281963728166815,0.504,0.86575
12_7_bartomeus_spain_2008_Esparragal_unp,2,np3,0.23076923076923078,0.24028302099754248,0.41281963728166815,0.509,0.28125
12_7_bartomeus_spain_2008_Esparragal_unp,3,np3,0.3333333333333333,0.3185950431288824,0.41281963728166815,0.573,0.46425
12_7_bartomeus_spain_2008_Esparragal_unp,5,np3,0.5,0.42991632749109027,0.41281963728166815,0.594,0.65325
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np3,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np3,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np3,0,NA,NA,NA,NA
