Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,1,2,82,0.004357993197278911,1,1,0.20971867007672634
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,2,3,225,0.011957908163265306,0.4945054945054945,1,0.0719309462915601
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,3,3,230,0.012223639455782313,0.5054945054945055,1,0.053475935828877004
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,4,4,502,0.02667942176870748,0.18044572250179727,1,0.0166738632211778
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,5,4,1467,0.07796556122448979,0.5273184759166067,0.8747763864042933,0.04263543362008835
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,6,4,210,0.011160714285714286,0.07548526240115025,0.1252236135957066,0.006103231806556615
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,7,4,603,0.03204719387755102,0.21675053918044573,1,0.038554987212276216
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,8,5,869,0.04618409863945578,0.05607536942634058,1,0.00577274388016076
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,9,5,3211,0.17065263605442177,0.20720139381815836,0.500857900483544,0.013331617231872987
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,10,5,1660,0.08822278911564625,0.10711750661418339,0.2589299641241616,0.006892084897199987
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,11,5,1359,0.07222576530612244,0.08769439246305737,0.21197941038839493,0.005642375527286013
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,12,5,181,0.009619472789115647,0.011679679938052526,0.028232725003899548,7.51486365297107e-4
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,13,5,4405,0.234109268707483,0.28424856423823963,0.6437235130790588,0.025604510578935133
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,14,5,797,0.042357568027210885,0.051429308898496486,0.11646938477276049,0.004632643571262497
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,15,5,1427,0.07583971088435375,0.09208233851713235,0.2085342685956452,0.008294582655196467
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,16,5,214,0.011373299319727892,0.013809124346647739,0.03127283355253544,0.0012438967681934433
13_2_kaiser-bunbury_2011_seychelles_casse_dent,observed,17,5,1374,0.07302295918367346,0.08866232173969155,1,0.025100474972597736
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,1,2,82,0.006370911351099371,1,1,0.20971867007672634
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,2,3,184,0.014295703519540051,0.48677248677248675,1,0.058823529411764705
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,3,3,194,0.015072643928210706,0.5132275132275133,1,0.045105789351313645
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,4,4,313,0.0243182347913915,0.1568922305764411,1,0.010396253363005281
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,5,4,1209,0.09393209540828218,0.606015037593985,0.9179954441913439,0.03513717740060451
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,6,4,108,0.008390956413643074,0.05413533834586466,0.08200455580865604,0.003138804929086259
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,7,4,365,0.028358324916478907,0.18295739348370926,1,0.023337595907928388
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,8,5,395,0.03068914614249087,0.03792242703533026,1,0.0026239744909821636
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,9,5,2158,0.16766374019112734,0.20718125960061443,0.46619140203067616,0.008959710366359983
13_2_kaiser-bunbury_2011_seychelles_casse_dent,random 1,10,5,1737,0.13495454898609277,0.16676267281105991,0.3752430330524951,0.007211777991829143
