Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
9_1_small_1976_canada,observed,1,2,133,0.0021310004486316736,1,1,0.31971153846153844
9_1_small_1976_canada,observed,2,3,305,0.004886880728065116,0.2858481724461106,1,0.12219551282051282
9_1_small_1976_canada,observed,3,3,762,0.012209190540280716,0.7141518275538894,1,0.11817617866004963
9_1_small_1976_canada,observed,4,4,2885,0.04622508491956675,0.36658195679796696,1,0.04474255583126551
9_1_small_1976_canada,observed,5,4,3636,0.05825802730244184,0.46200762388818295,0.8116071428571429,0.09398263027295285
9_1_small_1976_canada,observed,6,4,844,0.013523040440940845,0.10724269377382466,0.18839285714285714,0.021815550041356494
9_1_small_1976_canada,observed,7,4,505,0.0080913926808947,0.06416772554002541,1,0.05517919580419581
9_1_small_1976_canada,observed,8,5,7818,0.12526437223610845,0.14656368340144726,1,0.016723710105245145
9_1_small_1976_canada,observed,9,5,11331,0.1815516246875601,0.21242173146863635,0.3498409953996727,0.02928815136476427
9_1_small_1976_canada,observed,10,5,10117,0.16210023713388452,0.18966292977391175,0.31235913427398193,0.026150227460711332
9_1_small_1976_canada,observed,11,5,9308,0.14913798628468883,0.174496644295302,0.2873815184167464,0.024059139784946237
9_1_small_1976_canada,observed,12,5,1633,0.026164840094853554,0.030613775261520003,0.05041835190959894,0.0042209470636889995
9_1_small_1976_canada,observed,13,5,5482,0.0878356726270589,0.10277079974504143,0.43943887775551105,0.03864482291901647
9_1_small_1976_canada,observed,14,5,2611,0.04183490354419022,0.04894829590191594,0.20929859719438879,0.018405989172118203
9_1_small_1976_canada,observed,15,5,3642,0.05835416266102673,0.06827640508417382,0.2919438877755511,0.025673922851342207
9_1_small_1976_canada,observed,16,5,740,0.011856694225469462,0.013872745678827191,0.0593186372745491,0.005216557635912475
9_1_small_1976_canada,observed,17,5,660,0.010574889444337628,0.012372989389224251,1,0.028846153846153848
9_1_small_1976_canada,random 1,1,2,133,0.001958791734782545,1,1,0.31971153846153844
9_1_small_1976_canada,random 1,2,3,278,0.0040943165584176495,0.2650142993326978,1,0.11137820512820513
9_1_small_1976_canada,random 1,3,3,771,0.011355100958777007,0.7349857006673022,1,0.11957196029776675
9_1_small_1976_canada,random 1,4,4,3246,0.047806300534617596,0.40158357045651366,1,0.05034119106699752
9_1_small_1976_canada,random 1,5,4,3824,0.05631894431434925,0.47309167388345913,0.8608734804142278,0.09884201819685691
9_1_small_1976_canada,random 1,6,4,618,0.009101754075906862,0.07645676110355067,0.13912651958577218,0.015973945409429282
9_1_small_1976_canada,random 1,7,4,395,0.005817464174730114,0.04886799455647656,1,0.04315996503496503
9_1_small_1976_canada,random 1,8,5,10860,0.1599434454115672,0.1852167684278746,1,0.023230940361084966
9_1_small_1976_canada,random 1,9,5,15562,0.22919336072696211,0.26540914827574447,0.4405378627034678,0.04022435897435898
9_1_small_1976_canada,random 1,10,5,10044,0.14792559536959307,0.17129992836920557,0.2843312101910828,0.025961538461538463
9_1_small_1976_canada,random 1,11,5,8649,0.12738037379048292,0.14750827165126035,0.2448407643312102,0.02235576923076923
9_1_small_1976_canada,random 1,12,5,1070,0.015758700422686636,0.018248797625950813,0.030290162774239206,0.0027657154673283706
9_1_small_1976_canada,random 1,13,5,5203,0.07662852177498933,0.08873691032506736,0.4330059920106525,0.03667803970223325
9_1_small_1976_canada,random 1,14,5,3577,0.052681188235467385,0.061005559914043044,0.2976864181091877,0.025215711707647193
9_1_small_1976_canada,random 1,15,5,2900,0.0427104964727021,0.049459358051642394,0.24134487350199735,0.020443266411008347
9_1_small_1976_canada,random 1,16,5,336,0.004948526487871692,0.0057304635535696015,0.02796271637816245,0.002368599142792691
9_1_small_1976_canada,random 1,17,5,433,0.006377118956096555,0.007384793805641778,1,0.018924825174825174
9_1_small_1976_canada,random 2,1,2,133,0.0020771513353115725,1,1,0.31971153846153844
9_1_small_1976_canada,random 2,2,3,300,0.00468530376386069,0.28169014084507044,1,0.1201923076923077
9_1_small_1976_canada,random 2,3,3,765,0.01194752459784476,0.7183098591549296,1,0.11864143920595534
9_1_small_1976_canada,random 2,4,4,2947,0.04602530064032485,0.3695761223977928,1,0.04570409429280397
9_1_small_1976_canada,random 2,5,4,3759,0.05870685616117445,0.4714070729872084,0.8245229216933538,0.09716191066997519
9_1_small_1976_canada,random 2,6,4,800,0.012494143370295174,0.10032605969400551,0.1754770783066462,0.0206782464846981
9_1_small_1976_canada,random 2,7,4,468,0.007309073871622677,0.05869074492099323,1,0.05113636363636364
9_1_small_1976_canada,random 2,8,5,8248,0.12881461814774325,0.15035181741951947,1,0.017643535552323095
9_1_small_1976_canada,random 2,9,5,12032,0.18791191628923942,0.21932990630354735,0.3587893245862532,0.03110008271298594
9_1_small_1976_canada,random 2,10,5,10369,0.16193971575823832,0.18901527580298225,0.30919934396898763,0.026801592224979322
9_1_small_1976_canada,random 2,11,5,9678,0.15114789942214588,0.1764191184512742,0.28859400626211423,0.025015508684863522
9_1_small_1976_canada,random 2,12,5,1456,0.022739340933937216,0.026541251959604797,0.043417325182644996,0.003763440860215054
9_1_small_1976_canada,random 2,13,5,5450,0.08511635171013587,0.09934740603011412,0.4342629482071713,0.03841924204827431
9_1_small_1976_canada,random 2,14,5,2986,0.04663439012962674,0.054431441175398304,0.23792828685258965,0.021049515001127905
9_1_small_1976_canada,random 2,15,5,3434,0.053631110416992034,0.06259798023989209,0.27362549800796815,0.024207647191518158
9_1_small_1976_canada,random 2,16,5,680,0.010620021864750898,0.012395639651463779,0.054183266932270914,0.004793593503270923
9_1_small_1976_canada,random 2,17,5,525,0.008199281586756209,0.009570162966203654,1,0.022945804195804196
9_1_small_1976_canada,random 3,1,2,133,0.002253626135285346,1,1,0.31971153846153844
9_1_small_1976_canada,random 3,2,3,273,0.004625864172427816,0.27492447129909364,1,0.109375
9_1_small_1976_canada,random 3,3,3,720,0.012200081333875559,0.7250755287009063,1,0.11166253101736973
9_1_small_1976_canada,random 3,4,4,2570,0.04354751253897248,0.3567957795363043,1,0.039857320099255585
9_1_small_1976_canada,random 3,5,4,3711,0.06288125254168361,0.5152019991670137,0.8723554301833568,0.0959212158808933
9_1_small_1976_canada,random 3,6,4,543,0.009200894672631152,0.07538525614327364,0.12764456981664316,0.014035359801488834
9_1_small_1976_canada,random 3,7,4,379,0.006421987257692829,0.0526169651534083,1,0.04141171328671329
9_1_small_1976_canada,random 3,8,5,6537,0.11076657177714518,0.12896797995541262,1,0.013983485924531532
9_1_small_1976_canada,random 3,9,5,12605,0.2135861461298631,0.24868309428453056,0.39297293926923554,0.03258116211745244
