Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
10_1_souza_2017_brazil_chaco,1,2,1,1,0
10_1_souza_2017_brazil_chaco,2,3,0.4231433506044905,0.4227567893538381,0.496
10_1_souza_2017_brazil_chaco,3,3,0.5768566493955095,0.5772432106461619,0.504
10_1_souza_2017_brazil_chaco,4,4,0.3528386454183267,0.3092398262131491,0.727
10_1_souza_2017_brazil_chaco,5,4,0.438496015936255,0.5225947685335458,0.038
10_1_souza_2017_brazil_chaco,6,4,0.007719123505976096,0.008877684753484997,0.386
10_1_souza_2017_brazil_chaco,7,4,0.20094621513944222,0.1592877204998201,0.782
10_1_souza_2017_brazil_chaco,8,5,0.17180431351920042,0.1426435580429325,0.716
10_1_souza_2017_brazil_chaco,9,5,0.3621602665263896,0.3368395353020909,0.663
10_1_souza_2017_brazil_chaco,10,5,0.06400140277047169,0.11438787281100349,0.006
10_1_souza_2017_brazil_chaco,11,5,0.018025600561108187,0.018290300170373964,0.524
10_1_souza_2017_brazil_chaco,12,5,2.8055409433631423e-4,3.6220638133725383e-4,0.572
10_1_souza_2017_brazil_chaco,13,5,0.22854637909871997,0.22964745586750193,0.504
10_1_souza_2017_brazil_chaco,14,5,0.05726810450640014,0.0890168633124921,0.039
10_1_souza_2017_brazil_chaco,15,5,0.01066105558477994,0.012257867506741824,0.414
10_1_souza_2017_brazil_chaco,16,5,2.454848325442749e-4,1.8610003697475076e-4,0.732
10_1_souza_2017_brazil_chaco,17,5,0.08700683850604944,0.05636824056855133,0.821
