Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
12_3_bartomeus_spain_2008_Bonares_unp,1,2,1,1,0
12_3_bartomeus_spain_2008_Bonares_unp,2,3,0.25333333333333335,0.1353750500057938,0.999
12_3_bartomeus_spain_2008_Bonares_unp,3,3,0.7466666666666667,0.8646249499942062,0.001
12_3_bartomeus_spain_2008_Bonares_unp,4,4,0.288135593220339,0.5380214066171227,0.001
12_3_bartomeus_spain_2008_Bonares_unp,5,4,0.5706214689265536,0.43920791572151735,0.98
12_3_bartomeus_spain_2008_Bonares_unp,6,4,0.022598870056497175,0.006012717630413128,0.979
12_3_bartomeus_spain_2008_Bonares_unp,7,4,0.11864406779661017,0.01675796003094681,0.998
12_3_bartomeus_spain_2008_Bonares_unp,8,5,0.05708245243128964,0.22373927674428762,0.003
12_3_bartomeus_spain_2008_Bonares_unp,9,5,0.22832980972515857,0.3394548884349369,0.005
12_3_bartomeus_spain_2008_Bonares_unp,10,5,0.2769556025369979,0.3122995943355731,0.283
12_3_bartomeus_spain_2008_Bonares_unp,11,5,0.040169133192389,0.017867596961100067,0.889
12_3_bartomeus_spain_2008_Bonares_unp,12,5,0,1.4345048266804777e-4,0
12_3_bartomeus_spain_2008_Bonares_unp,13,5,0.33192389006342493,0.064025311046551,0.997
12_3_bartomeus_spain_2008_Bonares_unp,14,5,0.004228329809725159,0.038028725060639645,0.001
12_3_bartomeus_spain_2008_Bonares_unp,15,5,0.02748414376321353,0.0027126814645961387,1
12_3_bartomeus_spain_2008_Bonares_unp,16,5,0.0021141649048625794,3.651880407382598e-5,0.991
12_3_bartomeus_spain_2008_Bonares_unp,17,5,0.03171247357293869,0.0016919566655737115,0.998
