Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
12_6_bartomeus_spain_2008_Elpozo_unp,1,2,1,1,0
12_6_bartomeus_spain_2008_Elpozo_unp,2,3,0.16216216216216217,0.11075606111624145,0.976
12_6_bartomeus_spain_2008_Elpozo_unp,3,3,0.8378378378378378,0.8892439388837585,0.024
12_6_bartomeus_spain_2008_Elpozo_unp,4,4,0.5955555555555555,0.6456997746356239,0.258
12_6_bartomeus_spain_2008_Elpozo_unp,5,4,0.3511111111111111,0.33306850564871854,0.6
12_6_bartomeus_spain_2008_Elpozo_unp,6,4,0.008888888888888889,0.013395044496802054,0.355
12_6_bartomeus_spain_2008_Elpozo_unp,7,4,0.044444444444444446,0.00783667521885548,0.989
12_6_bartomeus_spain_2008_Elpozo_unp,8,5,0.3444976076555024,0.3715335857893254,0.435
12_6_bartomeus_spain_2008_Elpozo_unp,9,5,0.3157894736842105,0.3194747940969,0.411
12_6_bartomeus_spain_2008_Elpozo_unp,10,5,0.15311004784688995,0.20826529430495877,0.268
12_6_bartomeus_spain_2008_Elpozo_unp,11,5,0.023923444976076555,0.04422037108515329,0.236
12_6_bartomeus_spain_2008_Elpozo_unp,12,5,0,0.0011987637814067401,0
12_6_bartomeus_spain_2008_Elpozo_unp,13,5,0.14354066985645933,0.029962677619812684,0.987
12_6_bartomeus_spain_2008_Elpozo_unp,14,5,0.001594896331738437,0.021395054810387594,0.018
12_6_bartomeus_spain_2008_Elpozo_unp,15,5,0.009569377990430622,0.0035066293637394815,0.89
12_6_bartomeus_spain_2008_Elpozo_unp,16,5,0,3.912520353981572e-5,0
12_6_bartomeus_spain_2008_Elpozo_unp,17,5,0.007974481658692184,4.0370394477625733e-4,0.99
