Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,1,2,40,0.010224948875255624,1,1,0.12987012987012986
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,2,3,42,0.010736196319018405,0.2485207100591716,1,0.02727272727272727
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,3,3,127,0.03246421267893661,0.7514792899408284,1,0.030543530543530543
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,4,4,363,0.09279141104294479,0.5048678720445062,1,0.010073260073260074
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,5,4,264,0.06748466257668712,0.3671766342141864,0.9777777777777777,0.012698412698412698
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,6,4,6,0.0015337423312883436,0.008344923504867872,0.022222222222222223,2.886002886002886e-4
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,7,4,86,0.02198364008179959,0.11961057023643949,1,0.018614718614718615
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,8,5,800,0.20449897750511248,0.2680965147453083,1,0.003552003552003552
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,9,5,892,0.2280163599182004,0.29892761394101874,0.7056962025316456,0.004950604950604951
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,10,5,328,0.08384458077709611,0.10991957104557641,0.25949367088607594,0.0018204018204018204
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,11,5,44,0.011247443762781187,0.014745308310991957,0.03481012658227848,2.442002442002442e-4
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,12,5,0,0,0,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,13,5,756,0.19325153374233128,0.25335120643431636,0.9521410579345088,0.012121212121212121
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,14,5,0,0,0,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,15,5,36,0.009202453987730062,0.012064343163538873,0.04534005037783375,5.772005772005772e-4
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,16,5,2,5.112474437627812e-4,6.702412868632708e-4,0.0025188916876574307,3.20666987333654e-5
12_1_bartomeus_spain_2008_Aznalcazar_unp,observed,17,5,126,0.032208588957055216,0.04222520107238606,1,0.013636363636363636
12_1_bartomeus_spain_2008_Aznalcazar_unp,random 1,1,2,40,0.019221528111484865,1,1,0.12987012987012986
