Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,1,2,90,0.0031642231832085224,1,1,0.20361990950226244
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,2,3,277,0.009738775797208452,0.4928825622775801,1,0.07833710407239819
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,3,3,285,0.01002004008016032,0.5071174377224199,1,0.051583710407239816
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,4,4,804,0.0282670604366628,0.20893970893970895,1,0.018190045248868778
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,5,4,1914,0.06729247969623457,0.4974012474012474,0.8844731977818854,0.04330316742081448
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,6,4,250,0.008789508842245896,0.06496881496881497,0.11552680221811461,0.005656108597285068
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,7,4,880,0.03093907112470555,0.2286902286902287,1,0.049773755656108594
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,8,5,2103,0.07393734838097248,0.08783360481142714,1,0.008274640960062954
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,9,5,5234,0.18401715712126007,0.21860251430480726,0.5505996212918157,0.014802036199095023
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,10,5,2167,0.07618746264458742,0.09050661988890281,0.22796128760782663,0.006128393665158371
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,11,5,1946,0.06841753682804205,0.08127636469949463,0.20471281296023564,0.005503393665158371
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,12,5,159,0.00559012762366839,0.006640771833103621,0.01672627814012203,4.496606334841629e-4
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,13,5,6897,0.24248496993987975,0.28805914045858916,0.6933051869722557,0.03120814479638009
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,14,5,812,0.028548324719614666,0.03391387879547258,0.08162444712505026,0.00367420814479638
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,15,5,1873,0.06585100024610625,0.07822745687674895,0.18827905106554083,0.008475113122171946
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,16,5,366,0.012867840945047991,0.015286304974313996,0.0367913148371532,0.0016561085972850679
13_1_kaiser-bunbury_2011_seychelles_bernica,observed,17,5,2386,0.08388707239039482,0.09965334335713988,1,0.03855850032320621
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,1,2,90,0.004149186298464801,1,1,0.20361990950226244
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,2,3,210,0.009681434696417869,0.4259634888438134,1,0.05938914027149321
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,3,3,283,0.013046885805172652,0.5740365111561866,1,0.05122171945701357
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,4,4,719,0.03314738831773547,0.23604727511490478,1,0.016266968325791855
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,5,4,1696,0.07818911069107003,0.556795797767564,0.9157667386609071,0.0383710407239819
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,6,4,156,0.0071919229173389885,0.05121470781352593,0.08423326133909287,0.0035294117647058825
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,7,4,475,0.02189848324189756,0.15594221930400526,1,0.026866515837104074
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,8,5,1527,0.07039786086395279,0.08454213265419112,1,0.006008262836907338
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,9,5,4649,0.21432852335069844,0.2573912080611228,0.5349211828328155,0.013147624434389141
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,10,5,2553,0.11769858466645153,0.14134647325877533,0.29375215740421123,0.007220022624434389
13_1_kaiser-bunbury_2011_seychelles_bernica,random 1,11,5,1407,0.06486561246599973,0.07789835012733916,0.16189161201242666,0.003979072398190045
