Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,1,2,81,0.004368696402567283,1,1,0.2109375
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,2,3,226,0.012189202308397606,0.4988962472406181,1,0.07847222222222222
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,3,3,227,0.01224313683188609,0.5011037527593819,1,0.051403985507246376
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,4,4,472,0.02545709508656491,0.1734656376332231,1,0.01457509881422925
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,5,4,1450,0.07820505905830322,0.5328923190003675,0.8884803921568627,0.043780193236714976
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,6,4,182,0.009816083274904266,0.06688717383314957,0.11151960784313726,0.0054951690821256035
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,7,4,617,0.03327760099239523,0.22675486953325982,1,0.0459077380952381
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,8,5,778,0.04196105927404131,0.050896244930001305,1,0.004576039902126859
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,9,5,3060,0.16503964187476403,0.20018317414627765,0.49442559379544354,0.012598814229249012
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,10,5,1856,0.10010247559462812,0.12141829124689259,0.2998868961059945,0.007641633728590251
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,11,5,1170,0.06310339248152742,0.07654062540887087,0.18904507998061076,0.004817193675889328
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,12,5,103,0.0055552559193139525,0.006738191809498888,0.016642430117951204,4.2407773386034253e-4
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,13,5,4573,0.2466425759128418,0.29916263247415936,0.66055178390871,0.02958721532091097
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,14,5,881,0.047516315193355266,0.057634436739500194,0.1272569695218836,0.005700051759834368
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,15,5,1253,0.06757995793107167,0.08197043045924375,0.18099089989888775,0.008106884057971015
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,16,5,216,0.011649857073512756,0.014130576998560775,0.03120034667051856,0.0013975155279503106
13_5_kaiser-bunbury_2011_seychelles_tea_plantation,observed,17,5,1396,0.07529259478992503,0.09132539578699464,1,0.03195970695970696
