Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
14_1_kaiser-bunbury_2010_mauritius_control,observed,1,2,303,5.205273302617067e-4,1,1,0.11649365628604383
14_1_kaiser-bunbury_2010_mauritius_control,observed,2,3,1870,0.0032124954045854508,0.5285472018089316,1,0.02875816993464052
14_1_kaiser-bunbury_2010_mauritius_control,observed,3,3,1668,0.0028654771844109795,0.4714527981910684,1,0.025651672433679353
14_1_kaiser-bunbury_2010_mauritius_control,observed,4,4,8177,0.014047366269141834,0.18307399529833202,1,0.007699079631852741
14_1_kaiser-bunbury_2010_mauritius_control,observed,5,4,22753,0.03908765130509773,0.5094145303929251,0.8919597004978636,0.013996462898885044
14_1_kaiser-bunbury_2010_mauritius_control,observed,6,4,2756,0.00473456541980615,0.06170379491772081,0.1080402995021365,0.001695347943098808
14_1_kaiser-bunbury_2010_mauritius_control,observed,7,4,10979,0.018860955640076824,0.24580767939102205,1,0.010337311395146294
14_1_kaiser-bunbury_2010_mauritius_control,observed,8,5,33318,0.057237391385015,0.062440498054708055,1,0.002614222159452016
14_1_kaiser-bunbury_2010_mauritius_control,observed,9,5,115314,0.19809930218415328,0.21610731714630543,0.5585322025196285,0.004342970129228162
14_1_kaiser-bunbury_2010_mauritius_control,observed,10,5,45467,0.07810830404293406,0.08520865973508047,0.2202229013993093,0.0017123837770402278
14_1_kaiser-bunbury_2010_mauritius_control,observed,11,5,41273,0.07090338119436113,0.0773487807254927,0.1999089407582135,0.0015544288303556717
14_1_kaiser-bunbury_2010_mauritius_control,observed,12,5,4405,0.0075674022765769575,0.008255309260189357,0.021335955322848606,1.6590165477955887e-4
14_1_kaiser-bunbury_2010_mauritius_control,observed,13,5,140111,0.2406983655785412,0.2625788049385678,0.5920024675396011,0.0052768778099475085
14_1_kaiser-bunbury_2010_mauritius_control,observed,14,5,45727,0.07855496115801011,0.08569591975951844,0.1932075057146358,0.0017221759291952076
14_1_kaiser-bunbury_2010_mauritius_control,observed,15,5,45679,0.07847250138291914,0.08560596406269912,0.19300469424057667,0.0017203681472589035
14_1_kaiser-bunbury_2010_mauritius_control,observed,16,5,5156,0.008857554174354323,0.009662741100008245,0.02178533250518648,1.9418590965798084e-4
14_1_kaiser-bunbury_2010_mauritius_control,observed,17,5,57146,0.0981717980697541,0.10709600521743042,1,0.004483832748785789
14_1_kaiser-bunbury_2010_mauritius_control,random 1,1,2,303,7.964399397544442e-4,1,1,0.11649365628604383
14_1_kaiser-bunbury_2010_mauritius_control,random 1,2,3,1538,0.004042655535783284,0.5383269163458173,1,0.023652441368704345
14_1_kaiser-bunbury_2010_mauritius_control,random 1,3,3,1319,0.0034670108268518543,0.4616730836541827,1,0.020284505959246444
14_1_kaiser-bunbury_2010_mauritius_control,random 1,4,4,4609,0.012114824034086579,0.14554583635961726,1,0.004339618200221265
14_1_kaiser-bunbury_2010_mauritius_control,random 1,5,4,18502,0.04863277810342154,0.5842675340259577,0.9090998427672956,0.011381468665897732
14_1_kaiser-bunbury_2010_mauritius_control,random 1,6,4,1850,0.004862752107411623,0.05842043767960337,0.0909001572327044,0.0011380238369857747
14_1_kaiser-bunbury_2010_mauritius_control,random 1,7,4,6706,0.017626819260703967,0.21176619193482174,1,0.006314055033778217
14_1_kaiser-bunbury_2010_mauritius_control,random 1,8,5,12837,0.03374224259613135,0.03714237766770057,1,0.0010072264199797567
14_1_kaiser-bunbury_2010_mauritius_control,random 1,9,5,72083,0.18947122170732542,0.20856383963705383,0.5107777557325472,0.002714798860720759
14_1_kaiser-bunbury_2010_mauritius_control,random 1,10,5,42734,0.11232694516655584,0.12364589602333226,0.3028117116861767,0.0016094531930419226
