Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
18_1_bundgaard_2003_denmark,observed,1,2,48,0.009365853658536585,1,1,0.4444444444444444
18_1_bundgaard_2003_denmark,observed,2,3,141,0.02751219512195122,0.597457627118644,1,0.23737373737373738
18_1_bundgaard_2003_denmark,observed,3,3,95,0.018536585365853658,0.4025423728813559,1,0.2199074074074074
18_1_bundgaard_2003_denmark,observed,4,4,125,0.024390243902439025,0.12147716229348883,1,0.12400793650793651
18_1_bundgaard_2003_denmark,observed,5,4,469,0.09151219512195122,0.4557823129251701,0.7739273927392739,0.1973905723905724
18_1_bundgaard_2003_denmark,observed,6,4,137,0.02673170731707317,0.13313896987366375,0.22607260726072606,0.05765993265993266
18_1_bundgaard_2003_denmark,observed,7,4,298,0.05814634146341464,0.28960155490767736,1,0.1505050505050505
18_1_bundgaard_2003_denmark,observed,8,5,118,0.02302439024390244,0.030954879328436515,1,0.07804232804232804
18_1_bundgaard_2003_denmark,observed,9,5,540,0.10536585365853658,0.1416579223504722,0.43373493975903615,0.09740259740259741
18_1_bundgaard_2003_denmark,observed,10,5,196,0.03824390243902439,0.05141657922350472,0.157429718875502,0.03535353535353535
18_1_bundgaard_2003_denmark,observed,11,5,427,0.08331707317073171,0.11201469045120671,0.3429718875502008,0.07702020202020202
18_1_bundgaard_2003_denmark,observed,12,5,82,0.016,0.021511017838405037,0.06586345381526104,0.01479076479076479
18_1_bundgaard_2003_denmark,observed,13,5,915,0.17853658536585365,0.24003147953830012,0.465412004069176,0.11553030303030302
18_1_bundgaard_2003_denmark,observed,14,5,317,0.061853658536585365,0.08315844700944386,0.1612410986775178,0.040025252525252526
18_1_bundgaard_2003_denmark,observed,15,5,581,0.11336585365853659,0.15241343126967472,0.2955239064089522,0.07335858585858586
18_1_bundgaard_2003_denmark,observed,16,5,153,0.029853658536585365,0.040136411332633785,0.07782299084435401,0.019318181818181818
18_1_bundgaard_2003_denmark,observed,17,5,483,0.09424390243902439,0.12670514165792235,1,0.10841750841750841
18_1_bundgaard_2003_denmark,random 1,1,2,48,0.010690423162583519,1,1,0.4444444444444444
18_1_bundgaard_2003_denmark,random 1,2,3,134,0.029844097995545656,0.6036036036036037,1,0.2255892255892256
18_1_bundgaard_2003_denmark,random 1,3,3,88,0.019599109131403118,0.3963963963963964,1,0.2037037037037037
18_1_bundgaard_2003_denmark,random 1,4,4,96,0.021380846325167038,0.10468920392584515,1,0.09523809523809523
18_1_bundgaard_2003_denmark,random 1,5,4,471,0.10489977728285078,0.5136314067611778,0.7956081081081081,0.19823232323232323
18_1_bundgaard_2003_denmark,random 1,6,4,121,0.02694877505567929,0.13195201744820065,0.20439189189189189,0.05092592592592592
18_1_bundgaard_2003_denmark,random 1,7,4,229,0.051002227171492207,0.24972737186477645,1,0.11565656565656565
18_1_bundgaard_2003_denmark,random 1,8,5,67,0.014922048997772828,0.020284589766878594,1,0.04431216931216931
18_1_bundgaard_2003_denmark,random 1,9,5,390,0.08685968819599109,0.11807447774750227,0.34330985915492956,0.07034632034632035
18_1_bundgaard_2003_denmark,random 1,10,5,290,0.0645879732739421,0.0877989706327581,0.25528169014084506,0.05230880230880231
18_1_bundgaard_2003_denmark,random 1,11,5,400,0.08908685968819599,0.12110202845897669,0.352112676056338,0.07215007215007214
18_1_bundgaard_2003_denmark,random 1,12,5,56,0.012472160356347439,0.016954283984256736,0.04929577464788732,0.010101010101010102
18_1_bundgaard_2003_denmark,random 1,13,5,632,0.14075723830734965,0.19134120496518317,0.34273318872017355,0.0797979797979798
18_1_bundgaard_2003_denmark,random 1,14,5,530,0.11804008908685969,0.1604601877081441,0.2874186550976139,0.06691919191919192
18_1_bundgaard_2003_denmark,random 1,15,5,577,0.12850779510022273,0.17468967605207386,0.3129067245119306,0.07285353535353535
18_1_bundgaard_2003_denmark,random 1,16,5,105,0.02338530066815145,0.03178928247048138,0.056941431670282,0.013257575757575758
18_1_bundgaard_2003_denmark,random 1,17,5,256,0.057015590200445436,0.07750529821374508,1,0.0574635241301908
18_1_bundgaard_2003_denmark,random 2,1,2,48,0.01183723797780518,1,1,0.4444444444444444
18_1_bundgaard_2003_denmark,random 2,2,3,112,0.027620221948212082,0.5628140703517588,1,0.18855218855218855
18_1_bundgaard_2003_denmark,random 2,3,3,87,0.021454993834771886,0.4371859296482412,1,0.2013888888888889
18_1_bundgaard_2003_denmark,random 2,4,4,97,0.023921085080147966,0.12079701120797011,1,0.09623015873015874
18_1_bundgaard_2003_denmark,random 2,5,4,470,0.1159062885326757,0.5853051058530511,0.8468468468468469,0.1978114478114478
18_1_bundgaard_2003_denmark,random 2,6,4,85,0.02096177558569667,0.10585305105853052,0.15315315315315314,0.03577441077441077
18_1_bundgaard_2003_denmark,random 2,7,4,151,0.03723797780517879,0.18804483188044832,1,0.07626262626262627
18_1_bundgaard_2003_denmark,random 2,8,5,72,0.01775585696670777,0.02396006655574043,1,0.047619047619047616
18_1_bundgaard_2003_denmark,random 2,9,5,468,0.1154130702836005,0.15574043261231282,0.38741721854304634,0.08441558441558442
18_1_bundgaard_2003_denmark,random 2,10,5,384,0.09469790382244143,0.12778702163061564,0.31788079470198677,0.06926406926406926
18_1_bundgaard_2003_denmark,random 2,11,5,316,0.0779284833538841,0.10515806988352745,0.26158940397350994,0.056998556998557
18_1_bundgaard_2003_denmark,random 2,12,5,40,0.009864364981504316,0.013311148086522463,0.033112582781456956,0.007215007215007215
18_1_bundgaard_2003_denmark,random 2,13,5,546,0.1346485819975339,0.1816971713810316,0.342534504391468,0.06893939393939394
18_1_bundgaard_2003_denmark,random 2,14,5,595,0.1467324290998767,0.19800332778702162,0.37327478042659973,0.07512626262626262
18_1_bundgaard_2003_denmark,random 2,15,5,406,0.1001233045622688,0.135108153078203,0.2547051442910916,0.05126262626262626
18_1_bundgaard_2003_denmark,random 2,16,5,47,0.011590628853267572,0.015640599001663893,0.029485570890840654,0.005934343434343434
18_1_bundgaard_2003_denmark,random 2,17,5,131,0.032305795314426636,0.04359400998336106,1,0.029405162738496072
18_1_bundgaard_2003_denmark,random 3,1,2,48,0.011264961276695611,1,1,0.4444444444444444
18_1_bundgaard_2003_denmark,random 3,2,3,123,0.028866463271532503,0.6,1,0.20707070707070707
18_1_bundgaard_2003_denmark,random 3,3,3,82,0.019244308847688334,0.4,1,0.18981481481481483
