Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
2_2_dicks_2002_england_hicklingbroad,observed,1,2,53,0.0053905614320585845,1,1,0.17666666666666667
2_2_dicks_2002_england_hicklingbroad,observed,2,3,62,0.006305939788445891,0.2108843537414966,1,0.037575757575757575
2_2_dicks_2002_england_hicklingbroad,observed,3,3,232,0.023596419853539462,0.7891156462585034,1,0.06444444444444444
2_2_dicks_2002_england_hicklingbroad,observed,4,4,934,0.0949959316517494,0.5733578882750153,1,0.033840579710144925
2_2_dicks_2002_england_hicklingbroad,observed,5,4,565,0.05746541903986981,0.34683855125844076,0.9098228663446055,0.028535353535353535
2_2_dicks_2002_england_hicklingbroad,observed,6,4,56,0.005695687550854353,0.03437691835481891,0.09017713365539452,0.0028282828282828283
2_2_dicks_2002_england_hicklingbroad,observed,7,4,74,0.007526444263628967,0.04542664211172499,1,0.013454545454545455
2_2_dicks_2002_england_hicklingbroad,observed,8,5,2823,0.2871236777868186,0.3593431771894094,1,0.018596837944664033
2_2_dicks_2002_england_hicklingbroad,observed,9,5,2477,0.25193246541903985,0.31530040733197556,0.641211493657779,0.01631752305665349
2_2_dicks_2002_england_hicklingbroad,observed,10,5,643,0.0653986981285598,0.08184826883910387,0.1664509448615066,0.004235836627140975
2_2_dicks_2002_england_hicklingbroad,observed,11,5,653,0.06641578519121237,0.08312118126272912,0.1690396065234274,0.004301712779973649
2_2_dicks_2002_england_hicklingbroad,observed,12,5,90,0.009153783563873067,0.011456211812627291,0.023297954957287082,5.928853754940712e-4
2_2_dicks_2002_england_hicklingbroad,observed,13,5,741,0.07536615134255492,0.09432281059063137,0.6773308957952467,0.011227272727272728
2_2_dicks_2002_england_hicklingbroad,observed,14,5,180,0.018307567127746133,0.022912423625254582,0.16453382084095064,0.0027272727272727275
2_2_dicks_2002_england_hicklingbroad,observed,15,5,166,0.016883645240032545,0.021130346232179225,0.15173674588665448,0.002515151515151515
2_2_dicks_2002_england_hicklingbroad,observed,16,5,7,7.119609438567941e-4,8.910386965376783e-4,0.006398537477148081,1.0606060606060606e-4
2_2_dicks_2002_england_hicklingbroad,observed,17,5,76,0.007729861676159479,0.009674134419551934,1,0.006141414141414141
2_2_dicks_2002_england_hicklingbroad,random 1,1,2,53,0.008895602551191675,1,1,0.17666666666666667
2_2_dicks_2002_england_hicklingbroad,random 1,2,3,54,0.00906344410876133,0.2317596566523605,1,0.03272727272727273
2_2_dicks_2002_england_hicklingbroad,random 1,3,3,179,0.03004363880496811,0.7682403433476395,1,0.04972222222222222
2_2_dicks_2002_england_hicklingbroad,random 1,4,4,531,0.0891238670694864,0.49672591206735267,1,0.01923913043478261
2_2_dicks_2002_england_hicklingbroad,random 1,5,4,465,0.07804632426988922,0.43498596819457436,0.93,0.023484848484848483
2_2_dicks_2002_england_hicklingbroad,random 1,6,4,35,0.005874454514937899,0.03274087932647334,0.07,0.0017676767676767678
2_2_dicks_2002_england_hicklingbroad,random 1,7,4,38,0.006377979187646861,0.03554724041159962,1,0.006909090909090909
2_2_dicks_2002_england_hicklingbroad,random 1,8,5,1249,0.20963410540449814,0.2713447751466435,1,0.008227931488801054
2_2_dicks_2002_england_hicklingbroad,random 1,9,5,1480,0.2484055052030883,0.32152943732348466,0.565533053114253,0.009749670619235836
2_2_dicks_2002_england_hicklingbroad,random 1,10,5,764,0.12823094998321585,0.16597870953725832,0.2919373328238441,0.0050329380764163375
2_2_dicks_2002_england_hicklingbroad,random 1,11,5,358,0.06008727760993622,0.07777536389311318,0.13679786014520443,0.0023583662714097495
2_2_dicks_2002_england_hicklingbroad,random 1,12,5,15,0.0025176233635448137,0.00325874429719748,0.00573175391669851,9.881422924901186e-5
2_2_dicks_2002_england_hicklingbroad,random 1,13,5,374,0.06277274253105068,0.08125135781012383,0.5172890733056709,0.005666666666666667
2_2_dicks_2002_england_hicklingbroad,random 1,14,5,246,0.041289023162134945,0.05344340647403867,0.34024896265560167,0.003727272727272727
2_2_dicks_2002_england_hicklingbroad,random 1,15,5,95,0.015944947969117152,0.020638713882250706,0.1313969571230982,0.0014393939393939393
2_2_dicks_2002_england_hicklingbroad,random 1,16,5,8,0.001342732460557234,0.0017379969585053225,0.011065006915629323,1.2121212121212121e-4
2_2_dicks_2002_england_hicklingbroad,random 1,17,5,14,0.0023497818059751594,0.0030414946773843145,1,0.0011313131313131313
2_2_dicks_2002_england_hicklingbroad,random 2,1,2,53,0.0067250348940489785,1,1,0.17666666666666667
2_2_dicks_2002_england_hicklingbroad,random 2,2,3,45,0.005709935287400076,0.17716535433070865,1,0.02727272727272727
2_2_dicks_2002_england_hicklingbroad,random 2,3,3,209,0.026519477223702577,0.8228346456692913,1,0.058055555555555555
2_2_dicks_2002_england_hicklingbroad,random 2,4,4,755,0.09580002537749016,0.5693815987933635,1,0.027355072463768115
2_2_dicks_2002_england_hicklingbroad,random 2,5,4,505,0.06407816266971196,0.3808446455505279,0.9300184162062615,0.025505050505050506
2_2_dicks_2002_england_hicklingbroad,random 2,6,4,38,0.004821723131582287,0.02865761689291101,0.06998158379373849,0.0019191919191919192
2_2_dicks_2002_england_hicklingbroad,random 2,7,4,28,0.0035528486232711586,0.021116138763197588,1,0.005090909090909091
2_2_dicks_2002_england_hicklingbroad,random 2,8,5,2083,0.26430656008120795,0.33338668373879643,1,0.013722002635046113
2_2_dicks_2002_england_hicklingbroad,random 2,9,5,2282,0.28955716279659943,0.3652368758002561,0.6505131128848347,0.015032938076416338
2_2_dicks_2002_england_hicklingbroad,random 2,10,5,690,0.08755234107346783,0.11043533930857874,0.1966932725199544,0.004545454545454545
2_2_dicks_2002_england_hicklingbroad,random 2,11,5,496,0.06293617561223196,0.0793854033290653,0.14139110604332952,0.0032674571805006588
2_2_dicks_2002_england_hicklingbroad,random 2,12,5,40,0.0050754980332445125,0.006402048655569782,0.011402508551881414,2.6350461133069827e-4
2_2_dicks_2002_england_hicklingbroad,random 2,13,5,323,0.04098464661844944,0.051696542893725994,0.5039001560062403,0.004893939393939394
2_2_dicks_2002_england_hicklingbroad,random 2,14,5,229,0.02905722624032483,0.036651728553137,0.35725429017160687,0.00346969696969697
2_2_dicks_2002_england_hicklingbroad,random 2,15,5,87,0.011039208222306814,0.013924455825864277,0.1357254290171607,0.0013181818181818182
2_2_dicks_2002_england_hicklingbroad,random 2,16,5,2,2.537749016622256e-4,3.201024327784891e-4,0.0031201248049922,3.0303030303030302e-5
2_2_dicks_2002_england_hicklingbroad,random 2,17,5,16,0.0020301992132978047,0.002560819462227913,1,0.001292929292929293
2_2_dicks_2002_england_hicklingbroad,random 3,1,2,53,0.00610036832412523,1,1,0.17666666666666667
2_2_dicks_2002_england_hicklingbroad,random 3,2,3,53,0.00610036832412523,0.1948529411764706,1,0.03212121212121212
2_2_dicks_2002_england_hicklingbroad,random 3,3,3,219,0.02520718232044199,0.8051470588235294,1,0.060833333333333336
2_2_dicks_2002_england_hicklingbroad,random 3,4,4,854,0.09829650092081031,0.583732057416268,1,0.030942028985507245
2_2_dicks_2002_england_hicklingbroad,random 3,5,4,519,0.05973756906077348,0.3547505126452495,0.9218472468916519,0.02621212121212121
2_2_dicks_2002_england_hicklingbroad,random 3,6,4,44,0.0050644567219152855,0.03007518796992481,0.07815275310834814,0.0022222222222222222
2_2_dicks_2002_england_hicklingbroad,random 3,7,4,46,0.005294659300184162,0.03144224196855776,1,0.008363636363636363
2_2_dicks_2002_england_hicklingbroad,random 3,8,5,2536,0.2918968692449355,0.367536231884058,1,0.016706192358366272
2_2_dicks_2002_england_hicklingbroad,random 3,9,5,2285,0.2630064456721915,0.33115942028985507,0.6528571428571428,0.015052700922266139
2_2_dicks_2002_england_hicklingbroad,random 3,10,5,629,0.0723987108655617,0.09115942028985508,0.17971428571428572,0.004143610013175231
2_2_dicks_2002_england_hicklingbroad,random 3,11,5,501,0.05766574585635359,0.07260869565217391,0.14314285714285716,0.003300395256916996
2_2_dicks_2002_england_hicklingbroad,random 3,12,5,85,0.009783609576427255,0.012318840579710146,0.024285714285714285,5.599472990777338e-4
2_2_dicks_2002_england_hicklingbroad,random 3,13,5,515,0.05927716390423573,0.0746376811594203,0.6219806763285024,0.007803030303030303
2_2_dicks_2002_england_hicklingbroad,random 3,14,5,208,0.02394106813996317,0.030144927536231884,0.25120772946859904,0.0031515151515151517
2_2_dicks_2002_england_hicklingbroad,random 3,15,5,104,0.011970534069981584,0.015072463768115942,0.12560386473429952,0.0015757575757575758
2_2_dicks_2002_england_hicklingbroad,random 3,16,5,1,1.1510128913443831e-4,1.4492753623188405e-4,0.0012077294685990338,1.5151515151515151e-5
2_2_dicks_2002_england_hicklingbroad,random 3,17,5,36,0.004143646408839779,0.0052173913043478265,1,0.002909090909090909
2_2_dicks_2002_england_hicklingbroad,random 4,1,2,53,0.01183299843715115,1,1,0.17666666666666667
2_2_dicks_2002_england_hicklingbroad,random 4,2,3,41,0.009153828979682964,0.205,1,0.02484848484848485
2_2_dicks_2002_england_hicklingbroad,random 4,3,3,159,0.03549899531145345,0.795,1,0.04416666666666667
2_2_dicks_2002_england_hicklingbroad,random 4,4,4,410,0.09153828979682965,0.49516908212560384,1,0.014855072463768116
2_2_dicks_2002_england_hicklingbroad,random 4,5,4,376,0.08394730966733646,0.45410628019323673,0.9330024813895782,0.01898989898989899
2_2_dicks_2002_england_hicklingbroad,random 4,6,4,27,0.006028131279303416,0.03260869565217391,0.06699751861042183,0.0013636363636363637
2_2_dicks_2002_england_hicklingbroad,random 4,7,4,15,0.003348961821835231,0.018115942028985508,1,0.0027272727272727275
2_2_dicks_2002_england_hicklingbroad,random 4,8,5,863,0.19267693681625364,0.25397292525014714,1,0.005685111989459816
2_2_dicks_2002_england_hicklingbroad,random 4,9,5,1258,0.28086626479124804,0.37021777516185994,0.5950804162724692,0.008287220026350461
2_2_dicks_2002_england_hicklingbroad,random 4,10,5,570,0.12726054922973878,0.16774573278399058,0.2696310312204352,0.0037549407114624506
2_2_dicks_2002_england_hicklingbroad,random 4,11,5,275,0.06139763340031257,0.0809299587992937,0.13008514664143803,0.0018115942028985507
2_2_dicks_2002_england_hicklingbroad,random 4,12,5,11,0.002455905336012503,0.003237198351971748,0.005203405865657522,7.246376811594203e-5
2_2_dicks_2002_england_hicklingbroad,random 4,13,5,153,0.03415941058271936,0.045026486168334316,0.36515513126491644,0.002318181818181818
2_2_dicks_2002_england_hicklingbroad,random 4,14,5,219,0.048894842598794376,0.0644496762801648,0.522673031026253,0.003318181818181818
2_2_dicks_2002_england_hicklingbroad,random 4,15,5,45,0.010046885465505693,0.013243084167157151,0.10739856801909307,6.818181818181819e-4
2_2_dicks_2002_england_hicklingbroad,random 4,16,5,2,4.4652824291136416e-4,5.885815185403178e-4,0.00477326968973747,3.0303030303030302e-5
2_2_dicks_2002_england_hicklingbroad,random 4,17,5,2,4.4652824291136416e-4,5.885815185403178e-4,1,1.6161616161616162e-4
2_2_dicks_2002_england_hicklingbroad,random 5,1,2,53,0.006683480453972258,1,1,0.17666666666666667
2_2_dicks_2002_england_hicklingbroad,random 5,2,3,46,0.005800756620428752,0.17100371747211895,1,0.027878787878787878
2_2_dicks_2002_england_hicklingbroad,random 5,3,3,223,0.028121059268600253,0.828996282527881,1,0.06194444444444445
2_2_dicks_2002_england_hicklingbroad,random 5,4,4,824,0.10390920554854981,0.6063281824871228,1,0.029855072463768118
2_2_dicks_2002_england_hicklingbroad,random 5,5,4,472,0.05952080706179067,0.34731420161883736,0.932806324110672,0.02383838383838384
2_2_dicks_2002_england_hicklingbroad,random 5,6,4,34,0.004287515762925599,0.025018395879323033,0.06719367588932806,0.0017171717171717172
2_2_dicks_2002_england_hicklingbroad,random 5,7,4,29,0.003656998738965952,0.021339220014716703,1,0.005272727272727273
2_2_dicks_2002_england_hicklingbroad,random 5,8,5,2352,0.2965952080706179,0.3763802208353337,1,0.01549407114624506
2_2_dicks_2002_england_hicklingbroad,random 5,9,5,1913,0.2412358133669609,0.3061289806369019,0.5878918254456054,0.012602108036890646
2_2_dicks_2002_england_hicklingbroad,random 5,10,5,846,0.10668348045397226,0.13538166106577051,0.2599877074370006,0.005573122529644268
2_2_dicks_2002_england_hicklingbroad,random 5,11,5,455,0.05737704918032787,0.07281164986397824,0.1398279041180086,0.002997364953886693
2_2_dicks_2002_england_hicklingbroad,random 5,12,5,40,0.005044136191677175,0.006401024163866218,0.012292562999385371,2.6350461133069827e-4
2_2_dicks_2002_england_hicklingbroad,random 5,13,5,345,0.043505674653215635,0.055208833413346134,0.5502392344497608,0.005227272727272727
2_2_dicks_2002_england_hicklingbroad,random 5,14,5,224,0.02824716267339218,0.035845735317650826,0.3572567783094099,0.003393939393939394
2_2_dicks_2002_england_hicklingbroad,random 5,15,5,57,0.007187894073139975,0.009121459433509362,0.09090909090909091,8.636363636363636e-4
2_2_dicks_2002_england_hicklingbroad,random 5,16,5,1,1.2610340479192938e-4,1.6002560409665546e-4,0.001594896331738437,1.5151515151515151e-5
2_2_dicks_2002_england_hicklingbroad,random 5,17,5,16,0.00201765447667087,0.0025604096655464873,1,0.001292929292929293
2_2_dicks_2002_england_hicklingbroad,random 6,1,2,53,0.008691374221056083,1,1,0.17666666666666667
2_2_dicks_2002_england_hicklingbroad,random 6,2,3,58,0.009511315185306658,0.2577777777777778,1,0.03515151515151515
2_2_dicks_2002_england_hicklingbroad,random 6,3,3,167,0.02738602820596917,0.7422222222222222,1,0.04638888888888889
2_2_dicks_2002_england_hicklingbroad,random 6,4,4,461,0.07559855690390292,0.4328638497652582,1,0.016702898550724637
2_2_dicks_2002_england_hicklingbroad,random 6,5,4,511,0.08379796654640866,0.47981220657276996,0.9393382352941176,0.025808080808080808
2_2_dicks_2002_england_hicklingbroad,random 6,6,4,33,0.005411610364053788,0.030985915492957747,0.06066176470588235,0.0016666666666666668
2_2_dicks_2002_england_hicklingbroad,random 6,7,4,60,0.009839291571006888,0.056338028169014086,1,0.01090909090909091
2_2_dicks_2002_england_hicklingbroad,random 6,8,5,995,0.16316825188586423,0.2092534174553102,1,0.00655467720685112
2_2_dicks_2002_england_hicklingbroad,random 6,9,5,1673,0.27435224663824204,0.35184016824395375,0.6099161502005104,0.011021080368906457
2_2_dicks_2002_england_hicklingbroad,random 6,10,5,675,0.11069203017382749,0.14195583596214512,0.24608093328472475,0.004446640316205534
2_2_dicks_2002_england_hicklingbroad,random 6,11,5,372,0.0610036077402427,0.07823343848580441,0.13561793656580387,0.002450592885375494
2_2_dicks_2002_england_hicklingbroad,random 6,12,5,23,0.00377172843555264,0.00483701366982124,0.008384979948960992,1.5151515151515152e-4
2_2_dicks_2002_england_hicklingbroad,random 6,13,5,614,0.10068875040997048,0.1291272344900105,0.6349534643226473,0.009303030303030303
2_2_dicks_2002_england_hicklingbroad,random 6,14,5,218,0.03574942604132503,0.04584647739221872,0.22543950361944157,0.003303030303030303
2_2_dicks_2002_england_hicklingbroad,random 6,15,5,132,0.02164644145621515,0.0277602523659306,0.13650465356773525,0.002
2_2_dicks_2002_england_hicklingbroad,random 6,16,5,3,4.919645785503444e-4,6.309148264984228e-4,0.0031023784901758012,4.545454545454545e-5
2_2_dicks_2002_england_hicklingbroad,random 6,17,5,50,0.008199409642505739,0.010515247108307046,1,0.00404040404040404
2_2_dicks_2002_england_hicklingbroad,random 7,1,2,53,0.008181537511577647,1,1,0.17666666666666667
2_2_dicks_2002_england_hicklingbroad,random 7,2,3,45,0.006946588453226305,0.1939655172413793,1,0.02727272727272727
2_2_dicks_2002_england_hicklingbroad,random 7,3,3,187,0.02886693423896264,0.8060344827586207,1,0.051944444444444446
2_2_dicks_2002_england_hicklingbroad,random 7,4,4,604,0.0932386539055264,0.5412186379928315,1,0.021884057971014493
2_2_dicks_2002_england_hicklingbroad,random 7,5,4,462,0.07131830811979006,0.41397849462365593,0.9447852760736196,0.023333333333333334
2_2_dicks_2002_england_hicklingbroad,random 7,6,4,27,0.004167953071935782,0.024193548387096774,0.05521472392638037,0.0013636363636363637
2_2_dicks_2002_england_hicklingbroad,random 7,7,4,23,0.0035504785427601113,0.02060931899641577,1,0.0041818181818181815
2_2_dicks_2002_england_hicklingbroad,random 7,8,5,1587,0.24498301945044768,0.3125861729367737,1,0.010454545454545454
2_2_dicks_2002_england_hicklingbroad,random 7,9,5,1824,0.2815683853041062,0.3592672838290329,0.6302695231513477,0.012015810276679842
2_2_dicks_2002_england_hicklingbroad,random 7,10,5,741,0.11438715652979314,0.1459523340555446,0.256046993780235,0.004881422924901186
2_2_dicks_2002_england_hicklingbroad,random 7,11,5,317,0.048934856437171964,0.06243844790230451,0.10953697304768487,0.002088274044795784
2_2_dicks_2002_england_hicklingbroad,random 7,12,5,12,0.0018524235875270144,0.0023636005515067955,0.00414651002073255,7.905138339920949e-5
2_2_dicks_2002_england_hicklingbroad,random 7,13,5,271,0.04183389935165174,0.05337797912152846,0.4601018675721562,0.004106060606060606
