Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
5_1_fang_2008_china,observed,1,2,472,2.7082388988025223e-4,1,1,0.07641249797636393
5_1_fang_2008_china,observed,2,3,4561,0.002617007969796251,0.7265052564510991,1,0.017171728580518127
5_1_fang_2008_china,observed,3,3,1717,9.851792773821887e-4,0.2734947435489009,1,0.007941904299359375
5_1_fang_2008_china,observed,4,4,5076,0.0029125043750681365,0.04955385907023059,1,0.0010208175590273273
5_1_fang_2008_china,observed,5,4,42220,0.024224967438017476,0.41216783489856884,0.9255118593537639,0.004541550290785074
5_1_fang_2008_china,observed,6,4,3398,0.0019497024953667311,0.03317257941699045,0.07448814064623613,3.655184246349522e-4
5_1_fang_2008_china,observed,7,4,51740,0.029687347589839513,0.5051057266142102,1,0.006875158209030588
5_1_fang_2008_china,observed,8,5,12122,0.006955354222729698,0.007420212212437701,1,1.4340089985779984e-4
5_1_fang_2008_china,observed,9,5,135052,0.07749005927141488,0.08266907273668836,0.5147661955510833,6.316246677559634e-4
5_1_fang_2008_china,observed,10,5,88168,0.05058898458254678,0.05397007674857344,0.33606244949610453,4.123528989330612e-4
5_1_fang_2008_china,observed,11,5,36822,0.021127706087225948,0.02253976687727941,0.14035127841558798,1.7221280333582683e-4
5_1_fang_2008_china,observed,12,5,2314,0.0013277255957264908,0.0014164635422851707,0.00882007653722423,1.0822346068087102e-5
5_1_fang_2008_china,observed,13,5,535763,0.3074097875294779,0.32795538323480117,0.6599740820947186,0.002034046820666439
5_1_fang_2008_china,observed,14,5,149830,0.08596937165414871,0.09171509617138597,0.1845665279615272,5.688359127831758e-4
5_1_fang_2008_china,observed,15,5,114698,0.06581135279975672,0.07020982513959573,0.14128953897170957,4.3545579339521255e-4
5_1_fang_2008_china,observed,16,5,11503,0.006600184756975724,0.007041305154237822,0.014169850972044632,4.3671624539443845e-5
5_1_fang_2008_china,observed,17,5,547374,0.3140719404646466,0.3350627981827152,1,0.0034635474529330803
5_1_fang_2008_china,random 1,1,2,472,5.140195567016933e-4,1,1,0.07641249797636393
5_1_fang_2008_china,random 1,2,3,3243,0.0035317064033550667,0.6787358727501046,1,0.012209584693405016
5_1_fang_2008_china,random 1,3,3,1535,0.0016716525837650407,0.32126412724989534,1,0.007100071694535026
5_1_fang_2008_china,random 1,4,4,3776,0.0041121564536135465,0.06051669978844798,1,7.593788618769086e-4
5_1_fang_2008_china,random 1,5,4,33203,0.036158879960098145,0.5321334700942368,0.9491181430980762,0.00357160337055748
5_1_fang_2008_china,random 1,6,4,1780,0.001938463582476725,0.02852746970959677,0.05088185690192379,1.9147227658923335e-4
5_1_fang_2008_china,random 1,7,4,23637,0.025741271741012553,0.37882236040771844,1,0.0031408603515047546
5_1_fang_2008_china,random 1,8,5,7192,0.007832264092793598,0.00845513850697208,1,8.507995972424488e-5
5_1_fang_2008_china,random 1,9,5,98396,0.10715565318055045,0.11567739273248398,0.499221203557603,4.601882297819786e-4
5_1_fang_2008_china,random 1,10,5,78217,0.08518022810706853,0.0919543337875188,0.3968411813352681,3.658130693204705e-4
5_1_fang_2008_china,random 1,11,5,19767,0.021526746985852482,0.0232386989526303,0.10028970212938676,9.244827775621337e-5
5_1_fang_2008_china,random 1,12,5,719,7.830086043824524e-4,8.452787244873366e-4,0.00364791297774215,3.362690934725422e-6
5_1_fang_2008_china,random 1,13,5,304485,0.33159162017439636,0.3579620200633195,0.6246307419624834,0.0011559901415189567
5_1_fang_2008_china,random 1,14,5,126902,0.13819938513677604,0.1491899314254409,0.2603310193162982,4.817887939932628e-4
5_1_fang_2008_china,random 1,15,5,52728,0.05742208302069256,0.0619886739704705,0.10816798778986755,2.0018407534693513e-4
5_1_fang_2008_china,random 1,16,5,3349,0.0036471429987160403,0.00393718838429498,0.006870250931350828,1.2714619715082799e-5
