Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
8_1_olesen_2002_azores,observed,1,2,23,0.039792387543252594,1,1,0.23
8_1_olesen_2002_azores,observed,2,3,22,0.03806228373702422,0.4074074074074074,1,0.04888888888888889
8_1_olesen_2002_azores,observed,3,3,32,0.05536332179930796,0.5925925925925926,1,0.07111111111111111
8_1_olesen_2002_azores,observed,4,4,40,0.06920415224913495,0.27972027972027974,1,0.03333333333333333
8_1_olesen_2002_azores,observed,5,4,85,0.14705882352941177,0.5944055944055944,0.9239130434782609,0.04197530864197531
8_1_olesen_2002_azores,observed,6,4,7,0.012110726643598616,0.04895104895104895,0.07608695652173914,0.0034567901234567903
8_1_olesen_2002_azores,observed,7,4,11,0.01903114186851211,0.07692307692307693,1,0.009166666666666667
8_1_olesen_2002_azores,observed,8,5,36,0.06228373702422145,0.1005586592178771,1,0.017142857142857144
8_1_olesen_2002_azores,observed,9,5,147,0.25432525951557095,0.4106145251396648,0.7313432835820896,0.02722222222222222
8_1_olesen_2002_azores,observed,10,5,26,0.04498269896193772,0.07262569832402235,0.12935323383084577,0.004814814814814815
8_1_olesen_2002_azores,observed,11,5,27,0.04671280276816609,0.07541899441340782,0.13432835820895522,0.005
8_1_olesen_2002_azores,observed,12,5,1,0.0017301038062283738,0.002793296089385475,0.004975124378109453,1.8518518518518518e-4
8_1_olesen_2002_azores,observed,13,5,57,0.0986159169550173,0.15921787709497207,0.4789915966386555,0.010555555555555556
8_1_olesen_2002_azores,observed,14,5,51,0.08823529411764706,0.1424581005586592,0.42857142857142855,0.009444444444444445
8_1_olesen_2002_azores,observed,15,5,10,0.01730103806228374,0.027932960893854747,0.08403361344537816,0.001851851851851852
8_1_olesen_2002_azores,observed,16,5,1,0.0017301038062283738,0.002793296089385475,0.008403361344537815,1.8518518518518518e-4
8_1_olesen_2002_azores,observed,17,5,2,0.0034602076124567475,0.00558659217877095,1,9.523809523809524e-4
8_1_olesen_2002_azores,random 1,1,2,23,0.0465587044534413,1,1,0.23
8_1_olesen_2002_azores,random 1,2,3,23,0.0465587044534413,0.46938775510204084,1,0.051111111111111114
8_1_olesen_2002_azores,random 1,3,3,26,0.05263157894736842,0.5306122448979592,1,0.057777777777777775
8_1_olesen_2002_azores,random 1,4,4,21,0.04251012145748988,0.1721311475409836,1,0.0175
8_1_olesen_2002_azores,random 1,5,4,86,0.17408906882591094,0.7049180327868853,0.9772727272727273,0.04246913580246914
8_1_olesen_2002_azores,random 1,6,4,2,0.004048582995951417,0.01639344262295082,0.022727272727272728,9.876543209876543e-4
8_1_olesen_2002_azores,random 1,7,4,13,0.02631578947368421,0.10655737704918032,1,0.010833333333333334
8_1_olesen_2002_azores,random 1,8,5,10,0.020242914979757085,0.03333333333333333,1,0.004761904761904762
8_1_olesen_2002_azores,random 1,9,5,89,0.18016194331983806,0.2966666666666667,0.5741935483870968,0.016481481481481482
8_1_olesen_2002_azores,random 1,10,5,57,0.11538461538461539,0.19,0.36774193548387096,0.010555555555555556
8_1_olesen_2002_azores,random 1,11,5,9,0.018218623481781375,0.03,0.05806451612903226,0.0016666666666666668
8_1_olesen_2002_azores,random 1,12,5,0,0,0,0,0
8_1_olesen_2002_azores,random 1,13,5,66,0.13360323886639677,0.22,0.5,0.012222222222222223
8_1_olesen_2002_azores,random 1,14,5,58,0.11740890688259109,0.19333333333333333,0.4393939393939394,0.01074074074074074
8_1_olesen_2002_azores,random 1,15,5,8,0.016194331983805668,0.02666666666666667,0.06060606060606061,0.0014814814814814814
8_1_olesen_2002_azores,random 1,16,5,0,0,0,0,0
8_1_olesen_2002_azores,random 1,17,5,3,0.006072874493927126,0.01,1,0.0014285714285714286
8_1_olesen_2002_azores,random 2,1,2,23,0.03859060402684564,1,1,0.23
8_1_olesen_2002_azores,random 2,2,3,24,0.040268456375838924,0.4528301886792453,1,0.05333333333333334
8_1_olesen_2002_azores,random 2,3,3,29,0.04865771812080537,0.5471698113207547,1,0.06444444444444444
8_1_olesen_2002_azores,random 2,4,4,36,0.06040268456375839,0.2517482517482518,1,0.03
8_1_olesen_2002_azores,random 2,5,4,87,0.14597315436241612,0.6083916083916084,0.9560439560439561,0.04296296296296296
8_1_olesen_2002_azores,random 2,6,4,4,0.006711409395973154,0.027972027972027972,0.04395604395604396,0.0019753086419753087
8_1_olesen_2002_azores,random 2,7,4,16,0.026845637583892617,0.11188811188811189,1,0.013333333333333334
8_1_olesen_2002_azores,random 2,8,5,35,0.0587248322147651,0.09283819628647215,1,0.016666666666666666
8_1_olesen_2002_azores,random 2,9,5,154,0.25838926174496646,0.40848806366047746,0.7586206896551724,0.02851851851851852
8_1_olesen_2002_azores,random 2,10,5,33,0.05536912751677853,0.08753315649867374,0.1625615763546798,0.006111111111111111
8_1_olesen_2002_azores,random 2,11,5,16,0.026845637583892617,0.042440318302387266,0.07881773399014778,0.002962962962962963
8_1_olesen_2002_azores,random 2,12,5,0,0,0,0,0
8_1_olesen_2002_azores,random 2,13,5,75,0.12583892617449666,0.1989389920424403,0.5639097744360902,0.013888888888888888
8_1_olesen_2002_azores,random 2,14,5,48,0.08053691275167785,0.1273209549071618,0.3609022556390977,0.008888888888888889
8_1_olesen_2002_azores,random 2,15,5,10,0.016778523489932886,0.026525198938992044,0.07518796992481203,0.001851851851851852
8_1_olesen_2002_azores,random 2,16,5,0,0,0,0,0
8_1_olesen_2002_azores,random 2,17,5,6,0.010067114093959731,0.015915119363395226,1,0.002857142857142857
8_1_olesen_2002_azores,random 3,1,2,23,0.0610079575596817,1,1,0.23
8_1_olesen_2002_azores,random 3,2,3,22,0.058355437665782495,0.5,1,0.04888888888888889
8_1_olesen_2002_azores,random 3,3,3,22,0.058355437665782495,0.5,1,0.04888888888888889
8_1_olesen_2002_azores,random 3,4,4,13,0.034482758620689655,0.13541666666666666,1,0.010833333333333334
8_1_olesen_2002_azores,random 3,5,4,71,0.1883289124668435,0.7395833333333334,0.9861111111111112,0.03506172839506173
8_1_olesen_2002_azores,random 3,6,4,1,0.002652519893899204,0.010416666666666666,0.013888888888888888,4.938271604938272e-4
8_1_olesen_2002_azores,random 3,7,4,11,0.029177718832891247,0.11458333333333333,1,0.009166666666666667
8_1_olesen_2002_azores,random 3,8,5,5,0.013262599469496022,0.02336448598130841,1,0.002380952380952381
8_1_olesen_2002_azores,random 3,9,5,53,0.14058355437665782,0.24766355140186916,0.5196078431372549,0.009814814814814814
8_1_olesen_2002_azores,random 3,10,5,46,0.1220159151193634,0.21495327102803738,0.45098039215686275,0.008518518518518519
8_1_olesen_2002_azores,random 3,11,5,3,0.007957559681697613,0.014018691588785047,0.029411764705882353,5.555555555555556e-4
8_1_olesen_2002_azores,random 3,12,5,0,0,0,0,0
8_1_olesen_2002_azores,random 3,13,5,52,0.13793103448275862,0.24299065420560748,0.49523809523809526,0.00962962962962963
8_1_olesen_2002_azores,random 3,14,5,51,0.13527851458885942,0.2383177570093458,0.4857142857142857,0.009444444444444445
8_1_olesen_2002_azores,random 3,15,5,2,0.005305039787798408,0.009345794392523364,0.01904761904761905,3.7037037037037035e-4
8_1_olesen_2002_azores,random 3,16,5,0,0,0,0,0
8_1_olesen_2002_azores,random 3,17,5,2,0.005305039787798408,0.009345794392523364,1,9.523809523809524e-4
8_1_olesen_2002_azores,random 4,1,2,23,0.028151774785801713,1,1,0.23
8_1_olesen_2002_azores,random 4,2,3,25,0.030599755201958383,0.38461538461538464,1,0.05555555555555555
8_1_olesen_2002_azores,random 4,3,3,40,0.04895960832313342,0.6153846153846154,1,0.08888888888888889
8_1_olesen_2002_azores,random 4,4,4,66,0.08078335373317014,0.34196891191709844,1,0.055
8_1_olesen_2002_azores,random 4,5,4,100,0.12239902080783353,0.5181347150259067,0.9523809523809523,0.04938271604938271
8_1_olesen_2002_azores,random 4,6,4,5,0.006119951040391677,0.025906735751295335,0.047619047619047616,0.0024691358024691358
8_1_olesen_2002_azores,random 4,7,4,22,0.02692778457772338,0.11398963730569948,1,0.018333333333333333
8_1_olesen_2002_azores,random 4,8,5,75,0.09179926560587515,0.13992537313432835,1,0.03571428571428571
8_1_olesen_2002_azores,random 4,9,5,231,0.2827417380660955,0.43097014925373134,0.7725752508361204,0.042777777777777776
8_1_olesen_2002_azores,random 4,10,5,34,0.0416156670746634,0.06343283582089553,0.11371237458193979,0.006296296296296296
8_1_olesen_2002_azores,random 4,11,5,33,0.04039167686658507,0.061567164179104475,0.11036789297658862,0.006111111111111111
