Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
10_1_souza_2017_brazil_chaco,1,2,1,1,0
10_1_souza_2017_brazil_chaco,2,3,0.4253164556962025,0.4192688646651359,0.541
10_1_souza_2017_brazil_chaco,3,3,0.5746835443037974,0.5807311353348641,0.459
10_1_souza_2017_brazil_chaco,4,4,0.34410888983411314,0.3025771359280922,0.689
10_1_souza_2017_brazil_chaco,5,4,0.43088047639302424,0.5335994390192457,0.039
10_1_souza_2017_brazil_chaco,6,4,0.008081667375584857,0.009011426061619232,0.425
10_1_souza_2017_brazil_chaco,7,4,0.21692896639727777,0.1548119989910429,0.84
10_1_souza_2017_brazil_chaco,8,5,0.16430534996828083,0.1348745049580537,0.707
10_1_souza_2017_brazil_chaco,9,5,0.3328399238739691,0.3345432657011126,0.452
10_1_souza_2017_brazil_chaco,10,5,0.06731514767040248,0.12317359115276962,0.027
10_1_souza_2017_brazil_chaco,11,5,0.017974201733981815,0.018167284205140827,0.531
10_1_souza_2017_brazil_chaco,12,5,3.5243532811729045e-4,3.2254772543473525e-4,0.699
10_1_souza_2017_brazil_chaco,13,5,0.2550222034256714,0.22952286964080956,0.645
10_1_souza_2017_brazil_chaco,14,5,0.05152604497074787,0.09343792370312076,0.024
10_1_souza_2017_brazil_chaco,15,5,0.011771339959117501,0.012246691585602912,0.515
10_1_souza_2017_brazil_chaco,16,5,3.5243532811729045e-4,1.694313304159451e-4,0.866
10_1_souza_2017_brazil_chaco,17,5,0.09854091774159442,0.05354188999753935,0.876
